row ID,row m/z,row retention time,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
4,195.8101705,8.455138889,25542073.03,28075800.93,29621181.79,30452995.05,28542716.56,28278359.72
5,397.1864929,3.527283333,83400694.48,0.0,0.0,0.0,0.0,0.0
8,199.8041153,8.455138889,14886236.19,16603504.42,17655864.78,18094447.01,16515410.54,16750770.75
9,595.120185,7.475188889,38451831.22,39983089.46,59578805.42,0.0,0.0,0.0
10,235.9255142,8.536766667,105347327.0,105777568.7,116689068.0,102187320.9,101382817.8,110675668.2
13,205.8390249,8.457427778,13264041.51,15531663.54,15587825.62,14774168.92,15875961.97,15261666.22
15,207.9304504,8.555575,78472386.85,76939752.17,76718170.42,0.0,0.0,78238291.22
17,190.9274996,8.549309259,79384329.01,75943451.13,79088634.73,70343491.06,79105131.51,74517877.74
19,231.9310997,8.426743333,30183717.7,30066740.2,31007834.44,27563440.16,29767519.34,30410217.0
20,507.1212921,6.166883333,14526374.58,11382145.22,121596812.8,27123822.0,3065080.8039999995,11428838.79
24,174.95500790000003,0.0931166669999999,33418905.81,0.0,0.0,0.0,27564182.34,29341640.44
25,304.913854,8.429544444,4779400.213,4736984.324,4162834.33,4089846.386,4313824.915,4756948.637
29,194.0814601,3.703842857,13954586.78,14299256.72,11830474.09,13521112.07,12199721.06,11663961.88
31,387.1578522,3.519483333,15404837.07,0.0,0.0,0.0,0.0,0.0
35,369.1917725,2.800333333,17134526.16,0.0,0.0,0.0,0.0,0.0
39,461.1158791,6.166233332999999,6521008.191000001,4526343.716,49357644.78,11160028.3,1198728.562,2729015.251
40,789.1442627,7.42732,5432813.938999999,10098912.25,6878906.112000001,8013658.153,0.0,0.0
41,414.1767273,3.527283333,17223268.11,0.0,0.0,0.0,0.0,0.0
43,192.9279424,8.425698485,4800151.233,4594236.654,4737537.914,4804602.72,0.0,4312828.164
46,789.1445719,7.623627777999999,6813728.029,0.0,7875055.171,0.0,1543185.955,0.0
47,299.91895750000003,8.419966667,3807884.002,3435357.2860000003,3289658.228,3327480.416,0.0,0.0
49,206.9720417,8.515122222,15933704.64,16256157.33,15815449.03,14515560.44,17021375.5,16027371.55
50,145.9295872,8.548383333,16406919.62,17994698.71,17197762.86,15296521.4,18511570.08,16422085.7
51,187.9408592,8.426623333,8125076.061000001,7749184.647999999,8040894.663,6995345.406,7843813.736,8017046.976
53,187.9278158,8.504361111,14556180.66,17042775.67,16499260.88,15754537.67,15455094.33,16701189.35
59,182.9018784,8.499183333,5323029.455,5760751.708,6124598.051,4895194.868,5994365.387999999,5927507.246
60,369.1917419,3.527283333,5158639.717,0.0,0.0,0.0,0.0,0.0
63,352.8534058,8.546526667,11026854.42,10906005.22,10834724.12,10505671.39,10636032.5,10434204.54
68,248.9599121,0.2320166669999999,1680118.904,2553849.157,1502714.314,2822250.055,7264463.291,1527446.332
69,239.9024378,8.597083332999999,9814719.021,10439483.29,10372402.78,0.0,0.0,10357517.03
70,316.9477081,0.2315125,1245348.555,1853637.789,1118111.029,2424957.631,6569902.812000001,1105467.104
71,143.93795649999998,8.508477778,8204516.172999999,9632756.416,8807667.115,7943839.655,0.0,8748517.181
73,239.9024099,8.89445,7261337.005,6795429.362000001,7504447.081,6889150.687000001,6774221.612000001,5327435.062
75,413.1816254,2.738433333,2628795.821,0.0,0.0,0.0,0.0,0.0
77,369.1916809,2.04125,3114641.03,0.0,0.0,0.0,0.0,0.0
78,184.9288925,7.538116667000001,3468910.6560000004,11358729.1,0.0,0.0,0.0,4826511.788
80,567.0880814,7.631238889,2884255.417,2241865.082,3915002.46,0.0,0.0,2092518.393
81,394.8904088,0.231216667,1040356.271,1062671.148,0.0,1676781.345,0.0,723763.4240000001
82,222.8402557,8.412825,1352970.769,1402110.0669999998,0.0,996991.6045,0.0,0.0
83,328.8100739,8.413722222,2796214.691,3060784.691,0.0,1427369.556,0.0,0.0
84,326.90318080000003,0.234559524,1512013.444,1480962.231,0.0,1834936.393,0.0,981515.2639
85,893.1560567,7.259977778,2677696.1980000003,5443064.34,4084721.731,5003127.549,0.0,1890719.941
86,430.1717224,2.738433333,2220614.741,0.0,0.0,0.0,0.0,0.0
88,293.17667850000004,3.418448333,3520210.4960000003,1062802.072,145861.9035,975488.2555,0.0,808092.2124
89,355.1757424,3.194086364,2001599.254,0.0,0.0,0.0,0.0,0.0
91,239.0589161,7.588808332999999,2663090.812,0.0,0.0,0.0,0.0,0.0
92,384.93502810000007,0.231585417,559251.0744,928728.9239,475606.2096,1198268.816,4150871.923,442464.6843
93,142.927809,8.416722222,2419293.832,2429605.71,1513087.295,2045350.203,1771482.102,1514135.989
94,743.1395193,8.074503846,2032641.731,1604778.049,2874533.204,3080594.769,1589227.575,1615086.851
95,239.9024527,0.069114286,3876803.556,0.0,3666570.433,4998780.808999999,3607906.66,3829984.057
96,173.9253292,3.483141667,3577987.913,0.0,0.0,2573674.342,0.0,0.0
97,291.160436,3.558988889,2555142.801,0.0,0.0,0.0,0.0,0.0
98,265.147998,3.527396667,4126176.891,0.0,0.0,592847.4187,0.0,0.0
99,160.9171467,8.405902082999999,1993864.031,1800146.885,1586460.41,1662958.175,2168374.5840000003,1699037.671
100,258.9158159,8.649665152,4563719.572,0.0,0.0,0.0,0.0,0.0
101,244.8481572,8.40475,1181964.74,1466177.2219999998,1366579.404,1265433.72,1457133.434,1500567.802
103,378.9180405,0.231493333,806518.0965,1109234.992,0.0,1010060.401,0.0,1130952.579
105,171.9461835,3.527708333,3324865.026,0.0,0.0,0.0,0.0,0.0
107,194.9053345,3.602986667,3001151.666,0.0,0.0,836445.6027,0.0,0.0
113,184.8628807,8.405647222,829783.4554,951024.9136,991800.7423,918458.4251,0.0,0.0
114,151.0389873,0.10982619,2915998.253,0.0,0.0,8809923.218,818107.5119,708252.0703
116,186.1125463,1.260161111,1078648.038,1502257.0269999998,724778.1218,1020061.268,808408.5243,594471.5547
117,521.0812352,7.468947222000001,1897552.147,1897308.976,3096238.539,0.0,0.0,0.0
119,228.993782,8.333886111,2584467.844,0.0,0.0,0.0,1462220.6430000002,2829347.0160000003
120,239.0590958,8.3677,1848944.65,0.0,0.0,0.0,0.0,0.0
121,134.8640459,0.261994444,1669528.1619999998,0.0,1404425.0880000002,0.0,1191779.371,2384599.8340000003
122,132.866518,0.258795833,1641685.5990000002,1404790.115,0.0,0.0,1207068.5259999998,2326193.603
123,180.9724706,0.066472222,2621403.222,0.0,0.0,1768954.397,0.0,3007409.044
124,1025.162623,7.942414368,1162008.607,0.0,1443545.737,1919743.535,679469.5146,843952.6826
127,452.92243,0.231735417,292373.4029,0.0,243836.537,775772.4756,3046054.716,220829.7949
132,243.0428505,3.438191667,1791870.707,0.0,0.0,0.0,0.0,0.0
133,162.8379239,0.258493939,451475.4148,0.0,165570.7103,3781620.177,0.0,284733.088
134,160.8409095,0.260035897,454500.6347,0.0,198717.2803,3973448.231,0.0,291379.6728
135,146.9598737,0.11772619,2057252.375,0.0,0.0,0.0,0.0,1855906.526
136,815.1790643999999,7.630806944,1180582.654,862284.6665,1806060.644,0.0,0.0,0.0
138,313.0790749,8.362563889,1340280.082,0.0,494844.3904,0.0,0.0,690164.8506
139,544.0387306,6.164214583,813272.7157,593912.3648,0.0,0.0,0.0,0.0
141,145.9295845,0.06235,1608871.858,1688911.273,1643201.971,2288602.223,0.0,0.0
143,231.9312248,0.0720555559999999,1693872.227,0.0,0.0,2558765.314,0.0,0.0
144,521.0830061,6.712318519,548233.5017,0.0,1680897.747,0.0,509166.8162,763801.6437
145,223.0277125,7.58525,953577.8859,0.0,0.0,0.0,0.0,0.0
146,217.8093465,0.255633333,354428.3565,0.0,196264.2367,0.0,0.0,1018988.561
147,817.159317,7.942734091,895378.6426,653097.4918,1260364.321,1498838.98,0.0,677707.8057
148,239.05891040000003,7.336647222000001,702384.2729999999,3271931.1980000003,682285.7963,0.0,0.0,0.0
150,215.8679901,0.259498889,300550.967,0.0,0.0,2389478.961,0.0,397693.7563
151,191.9452849,0.274677564,575561.3239,571604.8044,545513.9943,526480.8714,0.0,679117.5487
152,351.18303530000003,3.487636667,851488.4119,0.0,0.0,0.0,0.0,0.0
153,192.9972831,3.470924074,980972.6232,0.0,0.0,0.0,0.0,0.0
154,803.1961263,7.333208332999999,444683.7489,1575030.759,530599.2129,0.0,0.0,0.0
155,353.1980794,3.373938889,621219.4971,0.0,0.0,0.0,0.0,0.0
156,671.1000137,7.011204167000001,670064.662,1654067.3469999998,913260.3607,0.0,0.0,0.0
157,697.1453687999999,6.549075926,389492.471,505002.2533,538477.7124,0.0,0.0,0.0
158,336.8593572,0.0291777779999999,916807.1339,0.0,568847.164,1063529.572,0.0,0.0
159,165.0400289,8.362573148,661067.0232,0.0,363403.6031,433977.6685,0.0,399228.3769
161,535.1351143999999,6.678621429,362593.4156,788295.1773,759471.4920000001,0.0,0.0,0.0
162,230.9557642,8.879490476,958216.9044,0.0,0.0,0.0,0.0,0.0
164,381.1740479,6.35776,496828.4424,512175.0770000001,2187859.418,0.0,0.0,0.0
165,611.1334339,6.545027273,231296.255,0.0,926820.274,0.0,0.0,0.0
168,244.96096040000003,0.3399083329999999,155047.6986,0.0,0.0,75530.68234,0.0,0.0
169,951.2352261,7.669877777999999,354865.4399,1560428.667,1659391.322,1634888.898,3393827.514,702747.4065
170,126.903608,0.2819595239999999,168957.6686,274774.6481,215354.7573,3724586.509,0.0,0.0
171,224.8029505,0.27585,156397.4846,198335.5294,135361.3651,3142916.905,0.0,0.0
173,195.0657785,3.62522619,412779.2129,0.0,0.0,896430.9083,0.0,0.0
174,1025.254712,8.2401225,159418.2911,0.0,224506.7166,196075.3232,0.0,106110.7409
175,250.1446387,4.907367391,200608.1503,132274.5558,208536.7318,163754.3958,515643.8995,338483.696
176,226.8006706,0.275808333,101431.0447,133752.1309,107170.809,2272926.558,0.0,0.0
178,343.0829442,3.580741667,243156.4302,0.0,0.0,0.0,0.0,0.0
179,277.9363098,0.329633333,63245.29951,0.0,0.0,0.0,0.0,0.0
180,435.082151,4.595114103,115687.2187,84350.35621,135835.3574,205747.4597,0.0,131658.3989
181,243.042572,8.301825,340619.9575,0.0,0.0,0.0,0.0,0.0
182,285.2072673,4.107198039,133561.2483,128865.8501,132383.755,0.0,0.0,300051.0988
183,381.1950623,6.780513332999999,90456.0999,97422.91433,104440.4272,0.0,1796249.7219999998,0.0
184,441.1921886,4.325416667,100231.1574,98152.4325,85410.15677999999,162075.6562,83589.96558999999,86576.60548
185,214.9277344,0.329633333,69760.78541,0.0,0.0,0.0,0.0,0.0
186,255.2326406,6.262377777999999,87506.9389,0.0,6349199.297,48980.02909,1638057.134,315880.6944
187,139.0059045,0.387662121,56437.04064,0.0,0.0,1046623.063,0.0,0.0
188,227.1653086,3.6028111110000003,142420.948,0.0,0.0,0.0,0.0,0.0
