Index,feature_id,mz,rt,TIC,charge,status
0,4.0,195.8102,507.308,7044000.0,1.0,singleton
1,8.0,199.8041,507.308,3041000.0,1.0,singleton
2,10.0,235.9255,512.206,902000.0,-1.0,precursor
3,13.0,205.839,507.446,2666400.0,1.0,singleton
4,17.0,190.9275,512.959,2713000.0,1.0,fragment
5,19.0,231.9311,505.605,918200.0,-1.0,fragment
6,20.0,507.1213,370.013,8398000.0,-1.0,singleton
7,25.0,304.9139,505.773,366900.0,-1.0,precursor
8,29.0,194.0815,222.231,720000.0,-1.0,singleton
9,39.0,461.1159,369.974,1362000.0,-1.0,singleton
10,40.0,789.1443,445.639,574700.0,-1.0,precursor
11,43.0,192.9279,505.542,440600.0,1.0,fragment
12,47.0,299.919,505.198,163600.0,-1.0,precursor
13,49.0,206.972,510.907,414000.0,1.0,singleton
14,50.0,145.9296,512.903,130800.0,1.0,fragment
15,51.0,187.9409,505.597,471100.0,-1.0,fragment
16,53.0,187.9278,510.262,889500.0,-1.0,precursor
17,59.0,182.9019,509.951,383100.0,1.0,singleton
18,63.0,352.8534,512.792,247500.0,-1.0,precursor
19,68.0,248.9599,13.921,439100.0,1.0,singleton
20,70.0,316.9477,13.891,756400.0,-1.0,singleton
21,71.0,143.938,510.509,339100.0,1.0,fragment
22,73.0,239.9024,533.667,137300.0,-1.0,fragment
23,81.0,394.8904,13.873,208200.0,-1.0,singleton
24,82.0,222.8403,504.77,68100.0,-1.0,fragment
25,83.0,328.8101,504.823,570700.0,1.0,precursor
26,84.0,326.9032,14.074,192200.0,-1.0,singleton
27,85.0,893.1561,435.599,426500.0,-1.0,singleton
28,88.0,293.1767,205.107,475100.0,-1.0,singleton
29,92.0,384.935,13.895,532300.0,-1.0,singleton
30,93.0,142.9278,505.003,731100.0,1.0,singleton
31,94.0,743.1395,484.47,240800.0,-1.0,singleton
32,95.0,239.9025,4.147,107300.0,-1.0,singleton
33,96.0,173.9253,208.988,242500.0,1.0,singleton
34,98.0,265.148,211.644,155800.0,-1.0,singleton
35,99.0,160.9171,504.354,328600.0,-1.0,singleton
36,101.0,244.8482,504.285,321300.0,-1.0,singleton
37,103.0,378.918,13.89,155700.0,-1.0,singleton
38,107.0,194.9053,216.179,154100.0,-1.0,singleton
39,113.0,184.8629,504.339,467400.0,1.0,singleton
40,114.0,151.039,6.59,326100.0,-1.0,singleton
41,116.0,186.1125,75.61,78400.0,-1.0,singleton
42,123.0,180.9725,3.988,114700.0,1.0,singleton
43,124.0,1025.1626,476.545,335300.0,-1.0,singleton
44,127.0,452.9224,13.904,402500.0,-1.0,singleton
45,133.0,162.8379,15.51,53200.0,-1.0,singleton
46,134.0,160.8409,15.602,158900.0,-1.0,singleton
47,141.0,145.9296,3.741,32100.0,1.0,singleton
48,143.0,231.9312,4.323,33300.0,-1.0,singleton
49,147.0,817.1593,476.564,160900.0,-1.0,singleton
50,150.0,215.868,15.57,171100.0,1.0,singleton
51,151.0,191.9453,16.481,170800.0,1.0,singleton
52,158.0,336.8594,1.751,107700.0,-1.0,precursor
53,159.0,165.04,501.754,75100.0,-1.0,singleton
54,168.0,244.961,20.394,236400.0,-1.0,singleton
55,169.0,951.2352,460.193,696200.0,-1.0,singleton
56,170.0,126.9036,16.918,1006300.0,1.0,singleton
57,171.0,224.803,16.551,199800.0,1.0,singleton
58,173.0,195.0658,217.514,10192000.0,1.0,singleton
59,174.0,1025.2547,494.407,327200.0,-1.0,singleton
60,175.0,250.1446,294.442,165800.0,-1.0,singleton
61,176.0,226.8007,16.549,129100.0,1.0,singleton
62,180.0,435.0822,275.707,216900.0,-1.0,singleton
63,184.0,441.1922,259.525,3111000.0,-1.0,singleton
64,186.0,255.2326,375.743,126800.0,-1.0,singleton
65,187.0,139.0059,23.26,187000.0,1.0,singleton
66,196.0,521.0831,403.296,223700.0,-1.0,singleton
67,200.0,328.8302,506.425,287000.0,1.0,precursor
68,203.0,657.139,394.54,302500.0,-1.0,singleton
69,204.0,611.1332,394.453,300400.0,-1.0,precursor
70,209.0,258.916,532.713,123600.0,-1.0,singleton
71,210.0,145.9297,537.309,55300.0,1.0,singleton
72,213.0,567.0883,430.724,95600.0,-1.0,singleton
73,219.0,228.994,502.082,461400.0,1.0,singleton
74,221.0,265.1477,266.382,442000.0,1.0,singleton
75,241.0,235.9255,534.496,273500.0,-1.0,precursor
76,242.0,212.9102,504.809,104900.0,-1.0,singleton
77,249.0,320.8862,535.199,145300.0,-1.0,precursor
78,270.0,463.152,377.239,151200.0,-1.0,precursor
79,275.0,195.0653,160.824,4618000.0,-1.0,singleton
