Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,4,22,4.0,21.0,0.19,-0.6970000000000027,89.9959,frag_edge,,89.9959
1,4,147,3.0,26.0,0.12,-1.6359999999999673,88.9881,frag_edge,,88.9881
2,7,147,3.0,24.0,0.12,-0.8830000000000382,43.99010000000001,frag_edge,CO2,CO2
3,8,23,9.0,42.0,0.21,0.008000000000038199,43.99019999999999,frag_edge,CO2,CO2
4,8,140,5.0,28.0,0.18,0.8090000000000259,87.00889999999998,frag_edge,,87.0089
5,11,139,3.0,18.0,0.17,0.05400000000003047,129.959,frag_edge,,129.959
6,16,123,8.0,40.0,0.2,7.535000000000025,46.005100000000084,frag_edge,HCOOH,HCOOH
7,20,8,9.0,36.0,0.25,-0.4070000000000391,67.9879,frag_edge,,67.9879
8,20,23,6.0,35.0,0.17,-0.3990000000000009,111.97809999999998,frag_edge,,111.9781
9,23,140,5.0,31.0,0.16,0.8009999999999877,43.018699999999995,frag_edge,,43.0187
10,24,31,4.0,28.0,0.14,-0.2470000000000141,43.9898,frag_edge,CO2,CO2
11,27,7,4.0,17.0,0.24,-0.16699999999991633,161.9259,frag_edge,,161.9259
12,27,147,3.0,26.0,0.12,-1.0499999999999545,205.91600000000003,frag_edge,,205.916
13,39,18,6.0,34.0,0.18,-0.7189999999999941,135.88219999999998,frag_edge,,135.8822
14,39,140,5.0,24.0,0.21,0.026999999999986812,183.88789999999997,frag_edge,,183.8879
15,75,140,6.0,18.0,0.33,-3.041999999999973,168.15689999999998,frag_edge,,168.1569
16,75,145,4.0,20.0,0.2,-2.492999999999995,112.22089999999997,frag_edge,,112.2209
17,75,155,5.0,16.0,0.31,-3.4729999999999563,180.15689999999998,frag_edge,,180.1569
18,92,131,4.0,20.0,0.2,-1.154,145.93189999999998,frag_edge,,145.9319
19,92,180,3.0,26.0,0.12,-0.5150000000000001,189.9218,frag_edge,,189.9218
20,94,136,4.0,25.0,0.16,-0.02800000000002001,90.05039999999997,frag_edge,,90.0504
21,121,120,8.0,33.0,0.24,0.0,90.05060000000003,frag_edge,,90.0506
22,122,120,7.0,32.0,0.22,-1.406000000000006,136.05650000000003,frag_edge,,136.0565
23,129,180,4.0,25.0,0.16,0.6629999999999998,88.9879,frag_edge,,88.9879
24,131,180,5.0,22.0,0.23,0.6389999999999998,43.989900000000006,frag_edge,CO2,CO2
25,140,155,5.0,17.0,0.29,-0.4309999999999832,12.0,frag_edge,,12.0
26,142,38,3.0,28.0,0.11,-0.005999999999971806,89.99599999999998,frag_edge,,89.996
27,142,140,5.0,20.0,0.25,-0.031999999999982265,167.9141,frag_edge,,167.9141
28,142,145,4.0,23.0,0.17,0.5169999999999959,111.97809999999998,frag_edge,,111.9781
29,150,7,4.0,16.0,0.25,-0.01899999999989177,145.9312,frag_edge,,145.9312
30,150,147,3.0,26.0,0.12,-0.90199999999993,189.9213,frag_edge,,189.9213
31,151,139,3.0,20.0,0.15,-0.031999999999982265,147.93189999999998,frag_edge,,147.9319
32,153,139,3.0,16.0,0.19,-0.5059999999999718,67.9881,frag_edge,,67.9881
33,160,139,3.0,25.0,0.12,5.370999999999981,145.93129999999996,frag_edge,,145.9313
34,168,32,3.0,27.0,0.11,-0.4390000000000782,46.00619999999998,frag_edge,HCOOH,HCOOH
35,182,10,3.0,27.0,0.11,-2.3339999999999996,145.93119999999996,frag_edge,,145.9312
36,0,0,,,,0.0,0.0,singleton,,0.0
37,1,1,,,,0.0,0.0,singleton,,0.0
38,2,2,,,,0.0,0.0,singleton,,0.0
39,3,3,,,,0.0,0.0,singleton,,0.0
40,5,5,,,,0.0,0.0,singleton,,0.0
41,6,6,,,,0.0,0.0,singleton,,0.0
42,9,9,,,,0.0,0.0,singleton,,0.0
43,12,12,,,,0.0,0.0,singleton,,0.0
44,13,13,,,,0.0,0.0,singleton,,0.0
45,14,14,,,,0.0,0.0,singleton,,0.0
46,15,15,,,,0.0,0.0,singleton,,0.0
47,17,17,,,,0.0,0.0,singleton,,0.0
48,19,19,,,,0.0,0.0,singleton,,0.0
49,21,21,,,,0.0,0.0,singleton,,0.0
50,25,25,,,,0.0,0.0,singleton,,0.0
51,26,26,,,,0.0,0.0,singleton,,0.0
52,28,28,,,,0.0,0.0,singleton,,0.0
53,29,29,,,,0.0,0.0,singleton,,0.0
54,30,30,,,,0.0,0.0,singleton,,0.0
55,33,33,,,,0.0,0.0,singleton,,0.0
56,34,34,,,,0.0,0.0,singleton,,0.0
57,35,35,,,,0.0,0.0,singleton,,0.0
58,36,36,,,,0.0,0.0,singleton,,0.0
59,37,37,,,,0.0,0.0,singleton,,0.0
60,40,40,,,,0.0,0.0,singleton,,0.0
61,41,41,,,,0.0,0.0,singleton,,0.0
62,42,42,,,,0.0,0.0,singleton,,0.0
63,43,43,,,,0.0,0.0,singleton,,0.0
64,44,44,,,,0.0,0.0,singleton,,0.0
65,45,45,,,,0.0,0.0,singleton,,0.0
66,46,46,,,,0.0,0.0,singleton,,0.0
67,47,47,,,,0.0,0.0,singleton,,0.0
68,48,48,,,,0.0,0.0,singleton,,0.0
69,49,49,,,,0.0,0.0,singleton,,0.0
70,50,50,,,,0.0,0.0,singleton,,0.0
71,51,51,,,,0.0,0.0,singleton,,0.0
72,52,52,,,,0.0,0.0,singleton,,0.0
73,53,53,,,,0.0,0.0,singleton,,0.0
74,54,54,,,,0.0,0.0,singleton,,0.0
75,55,55,,,,0.0,0.0,singleton,,0.0
76,56,56,,,,0.0,0.0,singleton,,0.0
77,57,57,,,,0.0,0.0,singleton,,0.0
78,58,58,,,,0.0,0.0,singleton,,0.0
79,59,59,,,,0.0,0.0,singleton,,0.0
80,60,60,,,,0.0,0.0,singleton,,0.0
81,61,61,,,,0.0,0.0,singleton,,0.0
82,62,62,,,,0.0,0.0,singleton,,0.0
83,63,63,,,,0.0,0.0,singleton,,0.0
84,64,64,,,,0.0,0.0,singleton,,0.0
85,65,65,,,,0.0,0.0,singleton,,0.0
86,66,66,,,,0.0,0.0,singleton,,0.0
87,67,67,,,,0.0,0.0,singleton,,0.0
88,68,68,,,,0.0,0.0,singleton,,0.0
89,69,69,,,,0.0,0.0,singleton,,0.0
90,70,70,,,,0.0,0.0,singleton,,0.0
91,71,71,,,,0.0,0.0,singleton,,0.0
92,72,72,,,,0.0,0.0,singleton,,0.0
93,73,73,,,,0.0,0.0,singleton,,0.0
94,74,74,,,,0.0,0.0,singleton,,0.0
95,76,76,,,,0.0,0.0,singleton,,0.0
96,77,77,,,,0.0,0.0,singleton,,0.0
97,78,78,,,,0.0,0.0,singleton,,0.0
98,79,79,,,,0.0,0.0,singleton,,0.0
99,80,80,,,,0.0,0.0,singleton,,0.0
100,81,81,,,,0.0,0.0,singleton,,0.0
101,82,82,,,,0.0,0.0,singleton,,0.0
102,83,83,,,,0.0,0.0,singleton,,0.0
103,84,84,,,,0.0,0.0,singleton,,0.0
104,85,85,,,,0.0,0.0,singleton,,0.0
105,86,86,,,,0.0,0.0,singleton,,0.0
106,87,87,,,,0.0,0.0,singleton,,0.0
107,88,88,,,,0.0,0.0,singleton,,0.0
108,89,89,,,,0.0,0.0,singleton,,0.0
109,90,90,,,,0.0,0.0,singleton,,0.0
110,91,91,,,,0.0,0.0,singleton,,0.0
111,93,93,,,,0.0,0.0,singleton,,0.0
112,95,95,,,,0.0,0.0,singleton,,0.0
113,96,96,,,,0.0,0.0,singleton,,0.0
114,97,97,,,,0.0,0.0,singleton,,0.0
115,98,98,,,,0.0,0.0,singleton,,0.0
116,99,99,,,,0.0,0.0,singleton,,0.0
117,100,100,,,,0.0,0.0,singleton,,0.0
118,101,101,,,,0.0,0.0,singleton,,0.0
119,102,102,,,,0.0,0.0,singleton,,0.0
120,103,103,,,,0.0,0.0,singleton,,0.0
121,104,104,,,,0.0,0.0,singleton,,0.0
122,105,105,,,,0.0,0.0,singleton,,0.0
123,106,106,,,,0.0,0.0,singleton,,0.0
124,107,107,,,,0.0,0.0,singleton,,0.0
125,108,108,,,,0.0,0.0,singleton,,0.0
