Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,3,16,4.0,21.0,0.19,-0.6970000000000027,89.9959,frag_edge,,89.9959
1,3,135,3.0,26.0,0.12,-1.6359999999999673,88.9881,frag_edge,,88.9881
2,6,135,3.0,24.0,0.12,-0.8830000000000382,43.99010000000001,frag_edge,CO2,CO2
3,7,17,9.0,42.0,0.21,0.008000000000038199,43.99019999999999,frag_edge,CO2,CO2
4,7,128,5.0,28.0,0.18,0.8090000000000259,87.00889999999998,frag_edge,,87.0089
5,9,127,3.0,18.0,0.17,0.05400000000003047,129.959,frag_edge,,129.959
6,12,113,8.0,40.0,0.2,7.535000000000025,46.005100000000084,frag_edge,HCOOH,HCOOH
7,14,7,9.0,36.0,0.25,-0.4070000000000391,67.9879,frag_edge,,67.9879
8,14,17,6.0,35.0,0.17,-0.3990000000000009,111.97809999999998,frag_edge,,111.9781
9,17,128,5.0,31.0,0.16,0.8009999999999877,43.018699999999995,frag_edge,,43.0187
10,18,24,4.0,28.0,0.14,-0.2470000000000141,43.9898,frag_edge,CO2,CO2
11,20,6,4.0,17.0,0.24,-0.16699999999991633,161.9259,frag_edge,,161.9259
12,20,135,3.0,26.0,0.12,-1.0499999999999545,205.91600000000003,frag_edge,,205.916
13,30,13,6.0,34.0,0.18,-0.7189999999999941,135.88219999999998,frag_edge,,135.8822
14,30,128,5.0,24.0,0.21,0.026999999999986812,183.88789999999997,frag_edge,,183.8879
15,53,124,4.0,25.0,0.16,-0.02800000000002001,90.05039999999997,frag_edge,,90.0504
16,64,102,3.0,16.0,0.19,0.016999999999995907,43.9898,frag_edge,CO2,CO2
17,72,128,5.0,22.0,0.23,1.629000000000019,183.908,frag_edge,,183.908
18,87,64,5.0,28.0,0.18,-1.842999999999961,67.9887,frag_edge,,67.9887
19,92,64,4.0,21.0,0.19,-1.3629999999999995,73.0163,frag_edge,,73.0163
20,92,102,3.0,17.0,0.18,-1.3460000000000036,117.0061,frag_edge,,117.0061
21,98,161,4.0,30.0,0.13,-8.821000000000026,73.0179,frag_edge,,73.0179
22,112,111,8.0,33.0,0.24,0.0,90.05060000000003,frag_edge,,90.0506
23,128,143,5.0,17.0,0.29,-0.4309999999999832,12.0,frag_edge,,12.0
24,130,29,3.0,28.0,0.11,-0.005999999999971806,89.99599999999998,frag_edge,,89.996
25,130,128,5.0,20.0,0.25,-0.031999999999982265,167.9141,frag_edge,,167.9141
26,130,133,4.0,23.0,0.17,0.5169999999999959,111.97809999999998,frag_edge,,111.9781
27,138,6,4.0,16.0,0.25,-0.01899999999989177,145.9312,frag_edge,,145.9312
