Index,feature_id,mz,rt,TIC,charge,status
0,4.0,195.8102,507.308,7044000.0,1.0,singleton
1,8.0,199.8041,507.308,3041000.0,1.0,singleton
2,9.0,595.1202,448.511,1863000.0,-1.0,singleton
3,10.0,235.9255,512.206,902000.0,-1.0,precursor
4,13.0,205.839,507.446,2666400.0,1.0,singleton
5,15.0,207.9305,513.335,1112000.0,-1.0,singleton
6,17.0,190.9275,512.959,2713000.0,1.0,fragment
7,19.0,231.9311,505.605,918200.0,-1.0,fragment
8,20.0,507.1213,370.013,8398000.0,-1.0,singleton
9,25.0,304.9139,505.773,366900.0,-1.0,precursor
10,29.0,194.0815,222.231,720000.0,-1.0,singleton
11,39.0,461.1159,369.974,1362000.0,-1.0,singleton
12,40.0,789.1443,445.639,574700.0,-1.0,precursor
13,43.0,192.9279,505.542,440600.0,1.0,fragment
14,47.0,299.919,505.198,163600.0,-1.0,precursor
15,49.0,206.972,510.907,414000.0,1.0,singleton
16,50.0,145.9296,512.903,130800.0,1.0,fragment
17,51.0,187.9409,505.597,471100.0,-1.0,fragment
18,53.0,187.9278,510.262,889500.0,-1.0,precursor
19,59.0,182.9019,509.951,383100.0,1.0,singleton
20,63.0,352.8534,512.792,247500.0,-1.0,precursor
21,68.0,248.9599,13.921,439100.0,1.0,singleton
22,69.0,239.9024,515.825,172000.0,1.0,singleton
23,70.0,316.9477,13.891,756400.0,-1.0,singleton
24,71.0,143.938,510.509,339100.0,1.0,fragment
25,73.0,239.9024,533.667,137300.0,-1.0,fragment
26,78.0,184.9289,452.287,649000.0,-1.0,singleton
27,80.0,567.0881,457.874,155800.0,-1.0,singleton
28,81.0,394.8904,13.873,208200.0,-1.0,singleton
29,82.0,222.8403,504.77,68100.0,-1.0,fragment
30,83.0,328.8101,504.823,570700.0,1.0,precursor
31,84.0,326.9032,14.074,192200.0,-1.0,singleton
32,85.0,893.1561,435.599,426500.0,-1.0,singleton
33,88.0,293.1767,205.107,475100.0,-1.0,singleton
34,92.0,384.935,13.895,532300.0,-1.0,singleton
35,93.0,142.9278,505.003,731100.0,1.0,singleton
36,94.0,743.1395,484.47,240800.0,-1.0,singleton
37,99.0,160.9171,504.354,328600.0,-1.0,singleton
38,101.0,244.8482,504.285,321300.0,-1.0,singleton
39,103.0,378.918,13.89,155700.0,-1.0,singleton
40,113.0,184.8629,504.339,467400.0,1.0,singleton
41,116.0,186.1125,75.61,78400.0,-1.0,singleton
42,117.0,521.0812,448.137,108900.0,-1.0,singleton
43,122.0,132.8665,15.528,246300.0,1.0,singleton
44,136.0,815.1791,457.848,167500.0,-1.0,singleton
45,139.0,544.0387,369.853,74000.0,-1.0,singleton
46,141.0,145.9296,3.741,32100.0,1.0,singleton
47,147.0,817.1593,476.564,160900.0,-1.0,singleton
48,148.0,239.0589,440.199,80200.0,-1.0,singleton
49,151.0,191.9453,16.481,170800.0,1.0,singleton
50,154.0,803.1961,439.993,240200.0,-1.0,singleton
51,156.0,671.1,420.672,229800.0,-1.0,singleton
52,157.0,697.1454,392.945,180400.0,-1.0,singleton
53,161.0,535.1351,400.717,165600.0,-1.0,precursor
54,164.0,381.174,381.466,160200.0,-1.0,singleton
55,169.0,951.2352,460.193,696200.0,-1.0,singleton
56,170.0,126.9036,16.918,1006300.0,1.0,singleton
57,171.0,224.803,16.551,199800.0,1.0,singleton
58,175.0,250.1446,294.442,165800.0,-1.0,singleton
59,176.0,226.8007,16.549,129100.0,1.0,singleton
60,180.0,435.0822,275.707,216900.0,-1.0,singleton
61,182.0,285.2073,246.432,104200.0,-1.0,singleton
62,183.0,381.1951,406.831,235100.0,1.0,singleton
63,184.0,441.1922,259.525,3111000.0,-1.0,singleton
64,189.0,367.2487,276.806,97200000.0,-1.0,fragment
65,190.0,192.9976,435.907,644300.0,-1.0,singleton
66,191.0,297.7332,507.512,60900.0,-1.0,singleton
67,192.0,312.8363,444.291,417000.0,-1.0,singleton
68,194.0,252.9169,442.868,274500.0,-1.0,singleton
69,196.0,521.0831,403.296,223700.0,-1.0,singleton
70,197.0,134.8933,444.647,458700.0,-1.0,singleton
71,198.0,192.9971,450.953,259500.0,1.0,singleton
72,200.0,328.8302,506.425,287000.0,1.0,precursor
73,201.0,248.96,437.449,63700.0,1.0,singleton
74,202.0,169.981,440.641,208900.0,1.0,singleton
75,203.0,657.139,394.54,302500.0,-1.0,singleton
76,204.0,611.1332,394.453,300400.0,-1.0,singleton
77,205.0,157.0104,439.198,171800.0,1.0,singleton
78,206.0,316.9477,437.449,43000.0,-1.0,singleton
79,208.0,208.9266,442.849,113400.0,-1.0,singleton
