Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,3,17,4.0,21.0,0.19,-0.6970000000000027,89.9959,frag_edge,,89.9959
1,3,133,3.0,26.0,0.12,-1.6359999999999673,88.9881,frag_edge,,88.9881
2,6,133,3.0,24.0,0.12,-0.8830000000000382,43.99010000000001,frag_edge,CO2,CO2
3,7,18,9.0,42.0,0.21,0.008000000000038199,43.99019999999999,frag_edge,CO2,CO2
4,7,127,5.0,28.0,0.18,0.8090000000000259,87.00889999999998,frag_edge,,87.0089
5,9,126,3.0,18.0,0.17,0.05400000000003047,129.959,frag_edge,,129.959
6,12,110,8.0,40.0,0.2,7.535000000000025,46.005100000000084,frag_edge,HCOOH,HCOOH
7,15,7,9.0,36.0,0.25,-0.4070000000000391,67.9879,frag_edge,,67.9879
8,15,18,6.0,35.0,0.17,-0.3990000000000009,111.97809999999998,frag_edge,,111.9781
9,18,127,5.0,31.0,0.16,0.8009999999999877,43.018699999999995,frag_edge,,43.0187
10,19,25,4.0,28.0,0.14,-0.2470000000000141,43.9898,frag_edge,CO2,CO2
11,21,6,4.0,17.0,0.24,-0.16699999999991633,161.9259,frag_edge,,161.9259
12,21,133,3.0,26.0,0.12,-1.0499999999999545,205.91600000000003,frag_edge,,205.916
13,45,127,6.0,18.0,0.33,-3.041999999999973,168.15689999999998,frag_edge,,168.1569
14,45,131,4.0,20.0,0.2,-2.492999999999995,112.22089999999997,frag_edge,,112.2209
15,45,140,5.0,16.0,0.31,-3.4729999999999563,180.15689999999998,frag_edge,,180.1569
16,55,166,3.0,26.0,0.12,-0.5150000000000001,189.9218,frag_edge,,189.9218
17,57,123,4.0,25.0,0.16,-0.02800000000002001,90.05039999999997,frag_edge,,90.0504
18,74,71,5.0,28.0,0.18,-1.842999999999961,67.9887,frag_edge,,67.9887
19,102,128,3.0,21.0,0.14,2.0429999999999495,107.99379999999996,frag_edge,,107.9938
20,108,107,8.0,33.0,0.24,0.0,90.05060000000003,frag_edge,,90.0506
21,109,107,7.0,32.0,0.22,-1.406000000000006,136.05650000000003,frag_edge,,136.0565
22,116,166,4.0,25.0,0.16,0.6629999999999998,88.9879,frag_edge,,88.9879
23,127,140,5.0,17.0,0.29,-0.4309999999999832,12.0,frag_edge,,12.0
24,129,127,5.0,20.0,0.25,-0.031999999999982265,167.9141,frag_edge,,167.9141
25,129,131,4.0,23.0,0.17,0.5169999999999959,111.97809999999998,frag_edge,,111.9781
26,136,6,4.0,16.0,0.25,-0.01899999999989177,145.9312,frag_edge,,145.9312
27,136,133,3.0,26.0,0.12,-0.90199999999993,189.9213,frag_edge,,189.9213
28,137,126,3.0,20.0,0.15,-0.031999999999982265,147.93189999999998,frag_edge,,147.9319
29,139,126,3.0,16.0,0.19,-0.5059999999999718,67.9881,frag_edge,,67.9881
30,145,126,3.0,25.0,0.12,5.370999999999981,145.93129999999996,frag_edge,,145.9313
31,154,26,3.0,27.0,0.11,-0.4390000000000782,46.00619999999998,frag_edge,HCOOH,HCOOH
32,0,0,,,,0.0,0.0,singleton,,0.0
33,1,1,,,,0.0,0.0,singleton,,0.0
34,2,2,,,,0.0,0.0,singleton,,0.0
35,4,4,,,,0.0,0.0,singleton,,0.0
36,5,5,,,,0.0,0.0,singleton,,0.0
37,8,8,,,,0.0,0.0,singleton,,0.0
38,10,10,,,,0.0,0.0,singleton,,0.0
39,11,11,,,,0.0,0.0,singleton,,0.0
40,13,13,,,,0.0,0.0,singleton,,0.0
