Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,2,13,4.0,21.0,0.19,-0.6970000000000027,89.9959,frag_edge,,89.9959
1,2,103,3.0,26.0,0.12,-1.6359999999999673,88.9881,frag_edge,,88.9881
2,4,103,3.0,24.0,0.12,-0.8830000000000382,43.99010000000001,frag_edge,CO2,CO2
3,5,14,9.0,42.0,0.21,0.008000000000038199,43.99019999999999,frag_edge,CO2,CO2
4,5,91,5.0,28.0,0.18,0.8090000000000259,87.00889999999998,frag_edge,,87.0089
5,5,163,5.0,30.0,0.17,-0.47100000000000364,101.99609999999998,frag_edge,,101.9961
6,8,90,3.0,18.0,0.17,0.05400000000003047,129.959,frag_edge,,129.959
7,14,91,5.0,31.0,0.16,0.8009999999999877,43.018699999999995,frag_edge,,43.0187
8,14,163,4.0,31.0,0.13,-0.47900000000004184,58.0059,frag_edge,,58.0059
9,17,4,4.0,17.0,0.24,-0.16699999999991633,161.9259,frag_edge,,161.9259
10,17,103,3.0,26.0,0.12,-1.0499999999999545,205.91600000000003,frag_edge,,205.916
11,46,71,3.0,31.0,0.1,-2.105000000000018,88.9879,frag_edge,,88.9879
12,54,94,3.0,21.0,0.14,2.0429999999999495,107.99379999999996,frag_edge,,107.9938
13,57,56,8.0,33.0,0.24,0.0,90.05060000000003,frag_edge,,90.0506
14,58,56,7.0,32.0,0.22,-1.406000000000006,136.05650000000003,frag_edge,,136.0565
15,67,265,4.0,25.0,0.16,0.6629999999999998,88.9879,frag_edge,,88.9879
16,68,71,4.0,34.0,0.12,-0.26499999999998636,43.99000000000001,frag_edge,CO2,CO2
17,70,265,5.0,22.0,0.23,0.6389999999999998,43.989900000000006,frag_edge,CO2,CO2
18,72,163,5.0,26.0,0.19,0.1069999999999709,43.990099999999984,frag_edge,CO2,CO2
19,80,7,3.0,20.0,0.15,3.4610000000000003,129.9591,frag_edge,,129.9591
20,88,86,3.0,19.0,0.16,-0.4619999999999891,372.2877,frag_edge,,372.2877
21,91,126,5.0,17.0,0.29,-0.4309999999999832,12.0,frag_edge,,12.0
22,95,91,5.0,20.0,0.25,-0.031999999999982265,167.9141,frag_edge,,167.9141
23,95,99,4.0,23.0,0.17,0.5169999999999959,111.97809999999998,frag_edge,,111.9781
24,95,165,3.0,25.0,0.12,0.07300000000003593,89.99599999999998,frag_edge,,89.996
25,110,89,4.0,28.0,0.14,-3.738999999999976,408.2829999999999,frag_edge,,408.283
26,112,4,4.0,16.0,0.25,-0.01899999999989177,145.9312,frag_edge,,145.9312
27,112,103,3.0,26.0,0.12,-0.90199999999993,189.9213,frag_edge,,189.9213
28,114,90,3.0,20.0,0.15,-0.031999999999982265,147.93189999999998,frag_edge,,147.9319
29,118,90,3.0,16.0,0.19,-0.5059999999999718,67.9881,frag_edge,,67.9881
30,134,152,4.0,29.0,0.14,-1.8000000000000114,184.14690000000002,frag_edge,,184.1469
31,136,5,8.0,40.0,0.2,-0.5860000000000127,67.98800000000003,frag_edge,,67.988
32,136,14,4.0,40.0,0.1,-0.5779999999999745,111.97820000000002,frag_edge,,111.9782
33,142,181,4.0,21.0,0.19,8.749000000000024,371.2803,frag_edge,,371.2803
34,148,61,7.0,29.0,0.24,-1.1949999999999363,145.9307,frag_edge,,145.9307
35,149,91,5.0,18.0,0.28,0.03000000000002956,183.888,frag_edge,,183.888
36,149,99,4.0,19.0,0.21,0.5790000000000077,127.952,frag_edge,,127.952
37,150,90,3.0,25.0,0.12,5.370999999999981,145.93129999999996,frag_edge,,145.9313
38,155,157,3.0,22.0,0.14,-7.629000000000019,408.28520000000003,frag_edge,,408.2852
39,161,91,6.0,24.0,0.25,1.5570000000000164,183.90810000000002,frag_edge,,183.9081
40,161,99,4.0,28.0,0.14,2.1059999999999945,127.97210000000001,frag_edge,,127.9721
41,161,126,5.0,20.0,0.25,1.1260000000000332,195.90810000000002,frag_edge,,195.9081
42,167,73,6.0,28.0,0.21,0.1449999999999818,107.99380000000002,frag_edge,,107.9938
43,175,169,3.0,27.0,0.11,8.18199999999996,0.03249999999997044,frag_edge,,0.0325
44,189,75,4.0,27.0,0.15,8.670999999999992,16.031499999999994,frag_edge,,16.0315
45,192,20,3.0,27.0,0.11,-0.4390000000000782,46.00619999999998,frag_edge,HCOOH,HCOOH
46,205,94,5.0,20.0,0.25,-0.07300000000003593,378.14769999999993,frag_edge,,378.1477
47,207,94,6.0,22.0,0.27,-0.07300000000003593,67.9871,frag_edge,,67.9871
48,243,62,3.0,17.0,0.18,7.126999999999981,67.9881,frag_edge,,67.9881
49,0,0,,,,0.0,0.0,singleton,,0.0
50,1,1,,,,0.0,0.0,singleton,,0.0
51,3,3,,,,0.0,0.0,singleton,,0.0
52,6,6,,,,0.0,0.0,singleton,,0.0
53,9,9,,,,0.0,0.0,singleton,,0.0
54,10,10,,,,0.0,0.0,singleton,,0.0
55,11,11,,,,0.0,0.0,singleton,,0.0
56,12,12,,,,0.0,0.0,singleton,,0.0
57,15,15,,,,0.0,0.0,singleton,,0.0
58,16,16,,,,0.0,0.0,singleton,,0.0
59,18,18,,,,0.0,0.0,singleton,,0.0
60,19,19,,,,0.0,0.0,singleton,,0.0
61,21,21,,,,0.0,0.0,singleton,,0.0
62,22,22,,,,0.0,0.0,singleton,,0.0
63,23,23,,,,0.0,0.0,singleton,,0.0
64,24,24,,,,0.0,0.0,singleton,,0.0
65,25,25,,,,0.0,0.0,singleton,,0.0
66,26,26,,,,0.0,0.0,singleton,,0.0
67,27,27,,,,0.0,0.0,singleton,,0.0
68,28,28,,,,0.0,0.0,singleton,,0.0
69,29,29,,,,0.0,0.0,singleton,,0.0
70,30,30,,,,0.0,0.0,singleton,,0.0
71,31,31,,,,0.0,0.0,singleton,,0.0
72,32,32,,,,0.0,0.0,singleton,,0.0
73,33,33,,,,0.0,0.0,singleton,,0.0
74,34,34,,,,0.0,0.0,singleton,,0.0
75,35,35,,,,0.0,0.0,singleton,,0.0
76,36,36,,,,0.0,0.0,singleton,,0.0
77,37,37,,,,0.0,0.0,singleton,,0.0
78,38,38,,,,0.0,0.0,singleton,,0.0
79,39,39,,,,0.0,0.0,singleton,,0.0
80,40,40,,,,0.0,0.0,singleton,,0.0
81,41,41,,,,0.0,0.0,singleton,,0.0
82,42,42,,,,0.0,0.0,singleton,,0.0
83,43,43,,,,0.0,0.0,singleton,,0.0
84,44,44,,,,0.0,0.0,singleton,,0.0
85,45,45,,,,0.0,0.0,singleton,,0.0
86,47,47,,,,0.0,0.0,singleton,,0.0
87,48,48,,,,0.0,0.0,singleton,,0.0
88,49,49,,,,0.0,0.0,singleton,,0.0
89,50,50,,,,0.0,0.0,singleton,,0.0
90,51,51,,,,0.0,0.0,singleton,,0.0
91,52,52,,,,0.0,0.0,singleton,,0.0
92,53,53,,,,0.0,0.0,singleton,,0.0
93,55,55,,,,0.0,0.0,singleton,,0.0
94,59,59,,,,0.0,0.0,singleton,,0.0
95,60,60,,,,0.0,0.0,singleton,,0.0
96,63,63,,,,0.0,0.0,singleton,,0.0
97,64,64,,,,0.0,0.0,singleton,,0.0
98,65,65,,,,0.0,0.0,singleton,,0.0
99,66,66,,,,0.0,0.0,singleton,,0.0
100,69,69,,,,0.0,0.0,singleton,,0.0
101,74,74,,,,0.0,0.0,singleton,,0.0
102,76,76,,,,0.0,0.0,singleton,,0.0
103,77,77,,,,0.0,0.0,singleton,,0.0
104,78,78,,,,0.0,0.0,singleton,,0.0
105,79,79,,,,0.0,0.0,singleton,,0.0
106,81,81,,,,0.0,0.0,singleton,,0.0
107,82,82,,,,0.0,0.0,singleton,,0.0
108,83,83,,,,0.0,0.0,singleton,,0.0
109,84,84,,,,0.0,0.0,singleton,,0.0
110,85,85,,,,0.0,0.0,singleton,,0.0
111,87,87,,,,0.0,0.0,singleton,,0.0
