Index,feature_id,mz,rt,TIC,charge,status
0,4.0,195.8102,507.308,7044000.0,1.0,singleton
1,8.0,199.8041,507.308,3041000.0,1.0,singleton
2,10.0,235.9255,512.206,902000.0,-1.0,precursor
3,13.0,205.839,507.446,2666400.0,1.0,singleton
4,17.0,190.9275,512.959,2713000.0,1.0,fragment
5,19.0,231.9311,505.605,918200.0,-1.0,fragment
6,20.0,507.1213,370.013,8398000.0,-1.0,singleton
7,24.0,174.955,5.587,784000.0,1.0,fragment
8,25.0,304.9139,505.773,366900.0,-1.0,precursor
9,29.0,194.0815,222.231,720000.0,-1.0,singleton
10,39.0,461.1159,369.974,1362000.0,-1.0,singleton
11,46.0,789.1446,457.418,542200.0,-1.0,singleton
12,49.0,206.972,510.907,414000.0,1.0,singleton
13,50.0,145.9296,512.903,130800.0,1.0,fragment
14,51.0,187.9409,505.597,471100.0,-1.0,fragment
15,53.0,187.9278,510.262,889500.0,-1.0,singleton
16,59.0,182.9019,509.951,383100.0,1.0,singleton
17,63.0,352.8534,512.792,247500.0,-1.0,precursor
18,68.0,248.9599,13.921,439100.0,1.0,singleton
19,70.0,316.9477,13.891,756400.0,-1.0,singleton
20,73.0,239.9024,533.667,137300.0,-1.0,fragment
21,92.0,384.935,13.895,532300.0,-1.0,singleton
22,93.0,142.9278,505.003,731100.0,1.0,singleton
23,94.0,743.1395,484.47,240800.0,-1.0,singleton
24,95.0,239.9025,4.147,107300.0,-1.0,singleton
25,99.0,160.9171,504.354,328600.0,-1.0,singleton
26,101.0,244.8482,504.285,321300.0,-1.0,singleton
27,114.0,151.039,6.59,326100.0,-1.0,singleton
28,116.0,186.1125,75.61,78400.0,-1.0,singleton
29,119.0,228.9938,500.033,142500.0,-1.0,singleton
30,121.0,134.864,15.72,563500.0,1.0,singleton
31,122.0,132.8665,15.528,246300.0,1.0,singleton
32,124.0,1025.1626,476.545,335300.0,-1.0,singleton
33,127.0,452.9224,13.904,402500.0,-1.0,singleton
34,144.0,521.083,402.739,100600.0,-1.0,singleton
35,169.0,951.2352,460.193,696200.0,-1.0,singleton
36,175.0,250.1446,294.442,165800.0,-1.0,singleton
37,183.0,381.1951,406.831,235100.0,1.0,singleton
38,184.0,441.1922,259.525,3111000.0,-1.0,singleton
39,186.0,255.2326,375.743,126800.0,-1.0,singleton
40,192.0,312.8363,444.291,417000.0,-1.0,singleton
41,194.0,252.9169,442.868,274500.0,-1.0,singleton
42,198.0,192.9971,450.953,259500.0,1.0,singleton
43,213.0,567.0883,430.724,95600.0,-1.0,singleton
44,221.0,265.1477,266.382,442000.0,1.0,singleton
45,238.0,200.924,438.179,372500.0,1.0,singleton
46,241.0,235.9255,534.496,273500.0,-1.0,precursor
47,242.0,212.9102,504.809,104900.0,-1.0,singleton
48,243.0,192.9976,340.007,398100.0,-1.0,singleton
49,249.0,320.8862,535.199,145300.0,-1.0,singleton
50,250.0,367.2487,352.421,185100.0,-1.0,singleton
51,256.0,178.9767,4.799,114600.0,1.0,singleton
52,267.0,243.1597,281.108,197700.0,1.0,singleton
53,269.0,315.1814,279.366,74600.0,-1.0,singleton
54,270.0,463.152,377.239,151200.0,-1.0,precursor
55,277.0,197.8072,507.196,10203500.0,1.0,singleton
56,278.0,593.1213,448.027,5341000.0,-1.0,fragment
57,281.0,683.1719,448.027,5113000.0,-1.0,precursor
58,283.0,729.1778,446.621,3172000.0,-1.0,precursor
59,284.0,743.1392,438.104,2821000.0,-1.0,singleton
60,290.0,207.9309,532.13,1084000.0,-1.0,singleton
61,293.0,307.8558,513.661,497900.0,-1.0,fragment
62,301.0,174.9551,183.442,4612000.0,1.0,fragment
63,305.0,209.8331,507.258,439400.0,1.0,singleton
64,306.0,132.8665,508.99,1513000.0,1.0,singleton
65,307.0,833.1891,457.467,1274800.0,-1.0,singleton
66,308.0,178.9768,511.769,483600.0,1.0,singleton
67,309.0,235.9255,2.929,163000.0,-1.0,precursor
68,311.0,190.9276,536.336,932600.0,1.0,precursor
69,316.0,207.9305,2.937,274900.0,-1.0,singleton
70,321.0,190.9275,2.905,922500.0,1.0,precursor
71,324.0,146.9376,536.601,578300.0,1.0,fragment
72,325.0,173.9251,506.183,726200.0,1.0,precursor
73,360.0,383.1894,406.92,3251000.0,-1.0,fragment
74,365.0,180.9723,537.303,160000.0,1.0,singleton
75,368.0,445.0847,400.745,141500.0,-1.0,fragment
76,384.0,375.1096,265.491,385400000.0,-1.0,singleton
77,392.0,234.8194,504.005,119900.0,-1.0,singleton
78,400.0,242.9431,537.098,127500.0,1.0,singleton
79,403.0,285.9086,7.032,161400.0,-1.0,singleton
