Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,2,14,4.0,21.0,0.19,-0.6970000000000027,89.9959,frag_edge,,89.9959
1,2,115,3.0,26.0,0.12,-1.6359999999999673,88.9881,frag_edge,,88.9881
2,5,115,3.0,24.0,0.12,-0.8830000000000382,43.99010000000001,frag_edge,CO2,CO2
3,6,15,9.0,42.0,0.21,0.008000000000038199,43.99019999999999,frag_edge,CO2,CO2
4,6,109,5.0,28.0,0.18,0.8090000000000259,87.00889999999998,frag_edge,,87.0089
5,9,108,3.0,18.0,0.17,0.05400000000003047,129.959,frag_edge,,129.959
6,15,109,5.0,31.0,0.16,0.8009999999999877,43.018699999999995,frag_edge,,43.0187
7,16,22,4.0,28.0,0.14,-0.2470000000000141,43.9898,frag_edge,CO2,CO2
8,18,5,4.0,17.0,0.24,-0.16699999999991633,161.9259,frag_edge,,161.9259
9,18,115,3.0,26.0,0.12,-1.0499999999999545,205.91600000000003,frag_edge,,205.916
10,48,109,6.0,18.0,0.33,-3.041999999999973,168.15689999999998,frag_edge,,168.1569
11,48,113,4.0,20.0,0.2,-2.492999999999995,112.22089999999997,frag_edge,,112.2209
12,48,124,5.0,16.0,0.31,-3.4729999999999563,180.15689999999998,frag_edge,,180.1569
13,70,188,3.0,26.0,0.12,-4.618000000000052,145.93119999999996,frag_edge,,145.9312
14,72,110,3.0,21.0,0.14,2.0429999999999495,107.99379999999996,frag_edge,,107.9938
15,77,76,7.0,32.0,0.22,-1.406000000000006,136.05650000000003,frag_edge,,136.0565
16,83,96,3.0,25.0,0.12,8.879999999999995,312.1078,frag_edge,,312.1078
17,85,211,4.0,25.0,0.16,0.6629999999999998,88.9879,frag_edge,,88.9879
18,88,211,5.0,22.0,0.23,0.6389999999999998,43.989900000000006,frag_edge,CO2,CO2
19,90,8,3.0,20.0,0.15,2.4220000000000006,67.98839999999998,frag_edge,,67.9884
20,91,8,3.0,19.0,0.16,8.045,135.9759,frag_edge,,135.9759
21,101,8,3.0,20.0,0.15,3.4610000000000003,129.9591,frag_edge,,129.9591
22,109,124,5.0,17.0,0.29,-0.4309999999999832,12.0,frag_edge,,12.0
23,111,109,5.0,20.0,0.25,-0.031999999999982265,167.9141,frag_edge,,167.9141
24,111,113,4.0,23.0,0.17,0.5169999999999959,111.97809999999998,frag_edge,,111.9781
25,111,141,3.0,25.0,0.12,0.07300000000003593,89.99599999999998,frag_edge,,89.996
26,118,5,4.0,16.0,0.25,-0.01899999999989177,145.9312,frag_edge,,145.9312
27,118,115,3.0,26.0,0.12,-0.90199999999993,189.9213,frag_edge,,189.9213
28,119,108,3.0,20.0,0.15,-0.031999999999982265,147.93189999999998,frag_edge,,147.9319
29,121,108,3.0,16.0,0.19,-0.5059999999999718,67.9881,frag_edge,,67.9881
30,128,6,8.0,40.0,0.2,-0.5860000000000127,67.98800000000003,frag_edge,,67.988
31,128,15,4.0,40.0,0.1,-0.5779999999999745,111.97820000000002,frag_edge,,111.9782
32,131,80,7.0,29.0,0.24,-1.1949999999999363,145.9307,frag_edge,,145.9307
33,132,109,5.0,18.0,0.28,0.03000000000002956,183.888,frag_edge,,183.888
34,132,113,4.0,19.0,0.21,0.5790000000000077,127.952,frag_edge,,127.952
35,133,108,3.0,25.0,0.12,5.370999999999981,145.93129999999996,frag_edge,,145.9313
36,140,12,5.0,33.0,0.15,0.8110000000000355,135.90240000000003,frag_edge,,135.9024
37,140,109,6.0,24.0,0.25,1.5570000000000164,183.90810000000002,frag_edge,,183.9081
38,140,113,4.0,28.0,0.14,2.1059999999999945,127.97210000000001,frag_edge,,127.9721
39,140,124,5.0,20.0,0.25,1.1260000000000332,195.90810000000002,frag_edge,,195.9081
40,143,93,6.0,28.0,0.21,0.1449999999999818,107.99380000000002,frag_edge,,107.9938
41,150,23,3.0,27.0,0.11,-0.4390000000000782,46.00619999999998,frag_edge,HCOOH,HCOOH
42,173,172,9.0,38.0,0.24,0.117999999999995,402.26220000000006,frag_edge,,402.2622
43,173,177,4.0,29.0,0.14,0.0,496.28800000000007,frag_edge,,496.288
44,173,187,6.0,34.0,0.18,9.62299999999999,434.28710000000007,frag_edge,,434.2871
45,173,194,4.0,37.0,0.11,0.117999999999995,464.26200000000006,frag_edge,,464.262
46,176,76,6.0,41.0,0.15,0.011000000000024102,90.05089999999996,frag_edge,,90.0509
47,178,172,10.0,32.0,0.31,3.2690000000000055,424.24370000000005,frag_edge,,424.2437
48,178,177,3.0,25.0,0.12,3.1510000000000105,518.2695000000001,frag_edge,,518.2695
49,178,194,5.0,33.0,0.15,3.2690000000000055,486.24350000000004,frag_edge,,486.2435
50,181,76,4.0,32.0,0.12,-0.06799999999998363,46.006399999999985,frag_edge,HCOOH,HCOOH
51,187,177,3.0,25.0,0.12,-9.62299999999999,62.0009,frag_edge,,62.0009
52,189,172,9.0,33.0,0.27,5.242999999999995,67.98849999999999,frag_edge,,67.9885
53,189,177,3.0,26.0,0.12,5.125,162.0143,frag_edge,,162.0143
54,189,194,4.0,34.0,0.12,5.242999999999995,129.98829999999998,frag_edge,,129.9883
55,194,177,5.0,27.0,0.19,-0.117999999999995,32.02600000000001,frag_edge,CH3OH,CH3OH
56,198,174,6.0,34.0,0.18,0.08400000000000318,67.9873,frag_edge,,67.9873
57,232,8,3.0,27.0,0.11,-2.3339999999999996,145.93119999999996,frag_edge,,145.9312
58,0,0,,,,0.0,0.0,singleton,,0.0
59,1,1,,,,0.0,0.0,singleton,,0.0
60,3,3,,,,0.0,0.0,singleton,,0.0
61,4,4,,,,0.0,0.0,singleton,,0.0
62,7,7,,,,0.0,0.0,singleton,,0.0
63,10,10,,,,0.0,0.0,singleton,,0.0
64,11,11,,,,0.0,0.0,singleton,,0.0
65,13,13,,,,0.0,0.0,singleton,,0.0
66,17,17,,,,0.0,0.0,singleton,,0.0
67,19,19,,,,0.0,0.0,singleton,,0.0
68,20,20,,,,0.0,0.0,singleton,,0.0
69,21,21,,,,0.0,0.0,singleton,,0.0
70,24,24,,,,0.0,0.0,singleton,,0.0
71,25,25,,,,0.0,0.0,singleton,,0.0
72,26,26,,,,0.0,0.0,singleton,,0.0
73,27,27,,,,0.0,0.0,singleton,,0.0
74,28,28,,,,0.0,0.0,singleton,,0.0
75,29,29,,,,0.0,0.0,singleton,,0.0
76,30,30,,,,0.0,0.0,singleton,,0.0
77,31,31,,,,0.0,0.0,singleton,,0.0
78,32,32,,,,0.0,0.0,singleton,,0.0
79,33,33,,,,0.0,0.0,singleton,,0.0
80,34,34,,,,0.0,0.0,singleton,,0.0
81,35,35,,,,0.0,0.0,singleton,,0.0
82,36,36,,,,0.0,0.0,singleton,,0.0
83,37,37,,,,0.0,0.0,singleton,,0.0
84,38,38,,,,0.0,0.0,singleton,,0.0
85,39,39,,,,0.0,0.0,singleton,,0.0
86,40,40,,,,0.0,0.0,singleton,,0.0
87,41,41,,,,0.0,0.0,singleton,,0.0
88,42,42,,,,0.0,0.0,singleton,,0.0
89,43,43,,,,0.0,0.0,singleton,,0.0
90,44,44,,,,0.0,0.0,singleton,,0.0
91,45,45,,,,0.0,0.0,singleton,,0.0
92,46,46,,,,0.0,0.0,singleton,,0.0
93,47,47,,,,0.0,0.0,singleton,,0.0
94,49,49,,,,0.0,0.0,singleton,,0.0
95,50,50,,,,0.0,0.0,singleton,,0.0
96,51,51,,,,0.0,0.0,singleton,,0.0
97,52,52,,,,0.0,0.0,singleton,,0.0
98,53,53,,,,0.0,0.0,singleton,,0.0
99,54,54,,,,0.0,0.0,singleton,,0.0
100,55,55,,,,0.0,0.0,singleton,,0.0
101,56,56,,,,0.0,0.0,singleton,,0.0
102,57,57,,,,0.0,0.0,singleton,,0.0
103,58,58,,,,0.0,0.0,singleton,,0.0
104,59,59,,,,0.0,0.0,singleton,,0.0
105,60,60,,,,0.0,0.0,singleton,,0.0
106,61,61,,,,0.0,0.0,singleton,,0.0
107,62,62,,,,0.0,0.0,singleton,,0.0
108,63,63,,,,0.0,0.0,singleton,,0.0
109,64,64,,,,0.0,0.0,singleton,,0.0
110,65,65,,,,0.0,0.0,singleton,,0.0
111,66,66,,,,0.0,0.0,singleton,,0.0
112,67,67,,,,0.0,0.0,singleton,,0.0
113,68,68,,,,0.0,0.0,singleton,,0.0
114,69,69,,,,0.0,0.0,singleton,,0.0
115,71,71,,,,0.0,0.0,singleton,,0.0
116,73,73,,,,0.0,0.0,singleton,,0.0
117,74,74,,,,0.0,0.0,singleton,,0.0
118,75,75,,,,0.0,0.0,singleton,,0.0
119,78,78,,,,0.0,0.0,singleton,,0.0
120,79,79,,,,0.0,0.0,singleton,,0.0
121,81,81,,,,0.0,0.0,singleton,,0.0
122,82,82,,,,0.0,0.0,singleton,,0.0
123,84,84,,,,0.0,0.0,singleton,,0.0
124,86,86,,,,0.0,0.0,singleton,,0.0
125,87,87,,,,0.0,0.0,singleton,,0.0
126,89,89,,,,0.0,0.0,singleton,,0.0
127,92,92,,,,0.0,0.0,singleton,,0.0
128,94,94,,,,0.0,0.0,singleton,,0.0
129,95,95,,,,0.0,0.0,singleton,,0.0
130,97,97,,,,0.0,0.0,singleton,,0.0
131,98,98,,,,0.0,0.0,singleton,,0.0
132,99,99,,,,0.0,0.0,singleton,,0.0
133,100,100,,,,0.0,0.0,singleton,,0.0
134,102,102,,,,0.0,0.0,singleton,,0.0
135,103,103,,,,0.0,0.0,singleton,,0.0
136,104,104,,,,0.0,0.0,singleton,,0.0
137,105,105,,,,0.0,0.0,singleton,,0.0
138,106,106,,,,0.0,0.0,singleton,,0.0
139,107,107,,,,0.0,0.0,singleton,,0.0
140,112,112,,,,0.0,0.0,singleton,,0.0
141,114,114,,,,0.0,0.0,singleton,,0.0
142,116,116,,,,0.0,0.0,singleton,,0.0
143,117,117,,,,0.0,0.0,singleton,,0.0
144,120,120,,,,0.0,0.0,singleton,,0.0
145,122,122,,,,0.0,0.0,singleton,,0.0
146,123,123,,,,0.0,0.0,singleton,,0.0
147,125,125,,,,0.0,0.0,singleton,,0.0
148,126,126,,,,0.0,0.0,singleton,,0.0
149,127,127,,,,0.0,0.0,singleton,,0.0
150,129,129,,,,0.0,0.0,singleton,,0.0
151,130,130,,,,0.0,0.0,singleton,,0.0
152,134,134,,,,0.0,0.0,singleton,,0.0
153,135,135,,,,0.0,0.0,singleton,,0.0
154,136,136,,,,0.0,0.0,singleton,,0.0
155,137,137,,,,0.0,0.0,singleton,,0.0
156,138,138,,,,0.0,0.0,singleton,,0.0
157,139,139,,,,0.0,0.0,singleton,,0.0
158,142,142,,,,0.0,0.0,singleton,,0.0
159,144,144,,,,0.0,0.0,singleton,,0.0
160,145,145,,,,0.0,0.0,singleton,,0.0
161,146,146,,,,0.0,0.0,singleton,,0.0
162,147,147,,,,0.0,0.0,singleton,,0.0
163,148,148,,,,0.0,0.0,singleton,,0.0
164,149,149,,,,0.0,0.0,singleton,,0.0
165,151,151,,,,0.0,0.0,singleton,,0.0
166,152,152,,,,0.0,0.0,singleton,,0.0
167,153,153,,,,0.0,0.0,singleton,,0.0
168,154,154,,,,0.0,0.0,singleton,,0.0
169,155,155,,,,0.0,0.0,singleton,,0.0
170,156,156,,,,0.0,0.0,singleton,,0.0
171,157,157,,,,0.0,0.0,singleton,,0.0
172,158,158,,,,0.0,0.0,singleton,,0.0
173,159,159,,,,0.0,0.0,singleton,,0.0
174,160,160,,,,0.0,0.0,singleton,,0.0
175,161,161,,,,0.0,0.0,singleton,,0.0
176,162,162,,,,0.0,0.0,singleton,,0.0
177,163,163,,,,0.0,0.0,singleton,,0.0
178,164,164,,,,0.0,0.0,singleton,,0.0
179,165,165,,,,0.0,0.0,singleton,,0.0
180,166,166,,,,0.0,0.0,singleton,,0.0
181,167,167,,,,0.0,0.0,singleton,,0.0
182,168,168,,,,0.0,0.0,singleton,,0.0
183,169,169,,,,0.0,0.0,singleton,,0.0
184,170,170,,,,0.0,0.0,singleton,,0.0
185,171,171,,,,0.0,0.0,singleton,,0.0
186,175,175,,,,0.0,0.0,singleton,,0.0
187,179,179,,,,0.0,0.0,singleton,,0.0
188,180,180,,,,0.0,0.0,singleton,,0.0
189,182,182,,,,0.0,0.0,singleton,,0.0
190,183,183,,,,0.0,0.0,singleton,,0.0
191,184,184,,,,0.0,0.0,singleton,,0.0
192,185,185,,,,0.0,0.0,singleton,,0.0
193,186,186,,,,0.0,0.0,singleton,,0.0
194,190,190,,,,0.0,0.0,singleton,,0.0
195,191,191,,,,0.0,0.0,singleton,,0.0
196,192,192,,,,0.0,0.0,singleton,,0.0
197,193,193,,,,0.0,0.0,singleton,,0.0
198,195,195,,,,0.0,0.0,singleton,,0.0
199,196,196,,,,0.0,0.0,singleton,,0.0
200,197,197,,,,0.0,0.0,singleton,,0.0
201,199,199,,,,0.0,0.0,singleton,,0.0
202,200,200,,,,0.0,0.0,singleton,,0.0
203,201,201,,,,0.0,0.0,singleton,,0.0
204,202,202,,,,0.0,0.0,singleton,,0.0
205,203,203,,,,0.0,0.0,singleton,,0.0
206,204,204,,,,0.0,0.0,singleton,,0.0
207,205,205,,,,0.0,0.0,singleton,,0.0
208,206,206,,,,0.0,0.0,singleton,,0.0
209,207,207,,,,0.0,0.0,singleton,,0.0
210,208,208,,,,0.0,0.0,singleton,,0.0
211,209,209,,,,0.0,0.0,singleton,,0.0
212,210,210,,,,0.0,0.0,singleton,,0.0
213,212,212,,,,0.0,0.0,singleton,,0.0
214,213,213,,,,0.0,0.0,singleton,,0.0
215,214,214,,,,0.0,0.0,singleton,,0.0
216,215,215,,,,0.0,0.0,singleton,,0.0
217,216,216,,,,0.0,0.0,singleton,,0.0
218,217,217,,,,0.0,0.0,singleton,,0.0
219,218,218,,,,0.0,0.0,singleton,,0.0
220,219,219,,,,0.0,0.0,singleton,,0.0
221,220,220,,,,0.0,0.0,singleton,,0.0
222,221,221,,,,0.0,0.0,singleton,,0.0
223,222,222,,,,0.0,0.0,singleton,,0.0
224,223,223,,,,0.0,0.0,singleton,,0.0
225,224,224,,,,0.0,0.0,singleton,,0.0
226,225,225,,,,0.0,0.0,singleton,,0.0
227,226,226,,,,0.0,0.0,singleton,,0.0
228,227,227,,,,0.0,0.0,singleton,,0.0
229,228,228,,,,0.0,0.0,singleton,,0.0
230,229,229,,,,0.0,0.0,singleton,,0.0
