Index,feature_id,mz,rt,TIC,charge,status
0,4.0,195.8102,507.308,7044000.0,1.0,singleton
1,8.0,199.8041,507.308,3041000.0,1.0,singleton
2,10.0,235.9255,512.206,902000.0,-1.0,precursor
3,13.0,205.839,507.446,2666400.0,1.0,singleton
4,15.0,207.9305,513.335,1112000.0,-1.0,singleton
5,17.0,190.9275,512.959,2713000.0,1.0,fragment
6,19.0,231.9311,505.605,918200.0,-1.0,fragment
7,20.0,507.1213,370.013,8398000.0,-1.0,singleton
8,24.0,174.955,5.587,784000.0,1.0,fragment
9,25.0,304.9139,505.773,366900.0,-1.0,precursor
10,29.0,194.0815,222.231,720000.0,-1.0,singleton
11,39.0,461.1159,369.974,1362000.0,-1.0,singleton
12,43.0,192.9279,505.542,440600.0,1.0,fragment
13,49.0,206.972,510.907,414000.0,1.0,singleton
14,50.0,145.9296,512.903,130800.0,1.0,fragment
15,51.0,187.9409,505.597,471100.0,-1.0,fragment
16,53.0,187.9278,510.262,889500.0,-1.0,precursor
17,59.0,182.9019,509.951,383100.0,1.0,singleton
18,63.0,352.8534,512.792,247500.0,-1.0,precursor
19,68.0,248.9599,13.921,439100.0,1.0,singleton
20,69.0,239.9024,515.825,172000.0,1.0,singleton
21,70.0,316.9477,13.891,756400.0,-1.0,singleton
22,71.0,143.938,510.509,339100.0,1.0,fragment
23,73.0,239.9024,533.667,137300.0,-1.0,fragment
24,78.0,184.9289,452.287,649000.0,-1.0,singleton
25,80.0,567.0881,457.874,155800.0,-1.0,singleton
26,81.0,394.8904,13.873,208200.0,-1.0,singleton
27,84.0,326.9032,14.074,192200.0,-1.0,singleton
28,85.0,893.1561,435.599,426500.0,-1.0,singleton
29,88.0,293.1767,205.107,475100.0,-1.0,singleton
30,92.0,384.935,13.895,532300.0,-1.0,singleton
31,93.0,142.9278,505.003,731100.0,1.0,singleton
32,94.0,743.1395,484.47,240800.0,-1.0,singleton
33,95.0,239.9025,4.147,107300.0,-1.0,singleton
34,99.0,160.9171,504.354,328600.0,-1.0,singleton
35,101.0,244.8482,504.285,321300.0,-1.0,singleton
36,103.0,378.918,13.89,155700.0,-1.0,singleton
37,114.0,151.039,6.59,326100.0,-1.0,singleton
38,116.0,186.1125,75.61,78400.0,-1.0,singleton
39,119.0,228.9938,500.033,142500.0,-1.0,singleton
40,121.0,134.864,15.72,563500.0,1.0,singleton
41,122.0,132.8665,15.528,246300.0,1.0,singleton
42,123.0,180.9725,3.988,114700.0,1.0,singleton
43,124.0,1025.1626,476.545,335300.0,-1.0,singleton
44,127.0,452.9224,13.904,402500.0,-1.0,singleton
45,133.0,162.8379,15.51,53200.0,-1.0,singleton
46,134.0,160.8409,15.602,158900.0,-1.0,singleton
47,135.0,146.9599,7.064,170500.0,1.0,singleton
48,138.0,313.0791,501.754,616500.0,1.0,precursor
49,144.0,521.083,402.739,100600.0,-1.0,singleton
50,146.0,217.8093,15.338,60000.0,1.0,singleton
51,147.0,817.1593,476.564,160900.0,-1.0,singleton
52,150.0,215.868,15.57,171100.0,1.0,singleton
53,151.0,191.9453,16.481,170800.0,1.0,singleton
54,159.0,165.04,501.754,75100.0,-1.0,singleton
55,169.0,951.2352,460.193,696200.0,-1.0,singleton
56,174.0,1025.2547,494.407,327200.0,-1.0,singleton
57,175.0,250.1446,294.442,165800.0,-1.0,singleton
58,180.0,435.0822,275.707,216900.0,-1.0,singleton
59,182.0,285.2073,246.432,104200.0,-1.0,singleton
60,184.0,441.1922,259.525,3111000.0,-1.0,singleton
61,186.0,255.2326,375.743,126800.0,-1.0,singleton
62,192.0,312.8363,444.291,417000.0,-1.0,singleton
63,196.0,521.0831,403.296,223700.0,-1.0,singleton
64,203.0,657.139,394.54,302500.0,-1.0,singleton
65,204.0,611.1332,394.453,300400.0,-1.0,singleton
66,221.0,265.1477,266.382,442000.0,1.0,singleton
67,226.0,215.1649,246.872,14970000.0,-1.0,singleton
68,241.0,235.9255,534.496,273500.0,-1.0,singleton
69,242.0,212.9102,504.809,104900.0,-1.0,singleton
70,249.0,320.8862,535.199,145300.0,-1.0,precursor
71,256.0,178.9767,4.799,114600.0,1.0,singleton
72,270.0,463.152,377.239,151200.0,-1.0,precursor
73,272.0,195.0643,81.08,136300.0,-1.0,singleton
74,274.0,275.1689,280.029,134300.0,-1.0,singleton
75,277.0,197.8072,507.196,10203500.0,1.0,singleton
76,278.0,593.1213,448.027,5341000.0,-1.0,fragment
77,283.0,729.1778,446.621,3172000.0,-1.0,precursor
78,284.0,743.1392,438.104,2821000.0,-1.0,singleton
79,290.0,207.9309,532.13,1084000.0,-1.0,singleton
