Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,1,16,18.0,56.0,0.32,-0.5020000000000095,41.0265,frag_edge,,41.0265
1,1,214,5.0,35.0,0.14,-0.6960000000000264,44.997600000000006,frag_edge,,44.9976
2,3,229,3.0,28.0,0.11,0.12100000000000932,76.00820000000002,frag_edge,,76.0082
3,6,214,7.0,20.0,0.35,-0.3210000000000264,41.026700000000005,frag_edge,,41.0267
4,11,5,9.0,50.0,0.18,-4.900999999999954,0.15149999999999864,frag_edge,,0.1515
5,16,214,7.0,53.0,0.13,-0.19400000000001683,3.971100000000007,frag_edge,,3.9711
6,36,127,8.0,59.0,0.14,2.865000000000009,53.04769999999999,frag_edge,,53.0477
7,47,289,8.0,41.0,0.2,-5.394999999999982,92.02940000000001,frag_edge,,92.0294
8,50,207,5.0,34.0,0.15,-1.1399999999999864,46.00550000000001,frag_edge,HCOOH,HCOOH
9,59,337,4.0,29.0,0.14,0.43600000000003547,74.07300000000004,frag_edge,,74.073
10,108,256,6.0,20.0,0.3,-3.2379999999999995,41.0266,frag_edge,,41.0266
11,133,135,13.0,35.0,0.37,-0.4410000000000025,18.010599999999982,frag_edge,H2O,H2O
12,133,151,6.0,25.0,0.24,-2.3950000000000102,46.005799999999994,frag_edge,HCOOH,HCOOH
13,134,138,15.0,40.0,0.38,5.621999999999986,18.009900000000016,frag_edge,H2O,H2O
14,135,151,8.0,26.0,0.31,-1.9540000000000077,27.99520000000001,frag_edge,CO,CO
15,141,140,4.0,27.0,0.15,0.0,41.026400000000024,frag_edge,,41.0264
16,167,146,15.0,39.0,0.38,4.913,18.01060000000001,frag_edge,H2O,H2O
17,230,50,17.0,45.0,0.38,-0.23900000000000432,18.010599999999982,frag_edge,H2O,H2O
18,230,207,4.0,31.0,0.13,-1.3789999999999907,64.0161,frag_edge,,64.0161
19,241,81,6.0,27.0,0.22,-0.25400000000000134,33.0343,frag_edge,,33.0343
20,244,252,21.0,50.0,0.42,0.24200000000001864,17.026700000000005,frag_edge,,17.0267
21,247,22,26.0,59.0,0.44,1.5470000000000006,18.010399999999976,frag_edge,H2O,H2O
22,257,249,10.0,36.0,0.28,-0.1290000000000191,257.0946,frag_edge,,257.0946
23,259,7,15.0,35.0,0.43,-2.501000000000033,41.02659999999997,frag_edge,,41.0266
24,263,271,14.0,61.0,0.23,0.3769999999999527,41.02679999999998,frag_edge,,41.0268
25,275,289,7.0,40.0,0.17,-5.392999999999972,109.05610000000001,frag_edge,,109.0561
26,292,249,7.0,28.0,0.25,-0.0030000000000427463,240.06680000000006,frag_edge,,240.0668
27,296,218,9.0,25.0,0.36,0.33600000000001273,32.02630000000002,frag_edge,CH3OH,CH3OH
28,305,1,23.0,57.0,0.4,-0.20099999999996498,41.02709999999999,frag_edge,,41.0271
29,305,16,21.0,59.0,0.36,-0.7029999999999745,82.05359999999999,frag_edge,,82.0536
30,305,214,6.0,41.0,0.15,-0.8969999999999914,86.0247,frag_edge,,86.0247
31,317,266,14.0,52.0,0.27,-0.24799999999999045,18.010599999999982,frag_edge,H2O,H2O
32,329,96,5.0,25.0,0.2,-0.05699999999998795,56.0625,frag_edge,C4H8,C4H8
33,0,0,,,,0.0,0.0,singleton,,0.0
34,2,2,,,,0.0,0.0,singleton,,0.0
35,4,4,,,,0.0,0.0,singleton,,0.0
36,8,8,,,,0.0,0.0,singleton,,0.0
37,9,9,,,,0.0,0.0,singleton,,0.0
38,10,10,,,,0.0,0.0,singleton,,0.0
39,12,12,,,,0.0,0.0,singleton,,0.0
40,13,13,,,,0.0,0.0,singleton,,0.0
41,14,14,,,,0.0,0.0,singleton,,0.0
42,15,15,,,,0.0,0.0,singleton,,0.0
43,17,17,,,,0.0,0.0,singleton,,0.0
44,18,18,,,,0.0,0.0,singleton,,0.0
45,19,19,,,,0.0,0.0,singleton,,0.0
46,20,20,,,,0.0,0.0,singleton,,0.0
47,21,21,,,,0.0,0.0,singleton,,0.0
48,23,23,,,,0.0,0.0,singleton,,0.0
49,24,24,,,,0.0,0.0,singleton,,0.0
50,25,25,,,,0.0,0.0,singleton,,0.0
51,26,26,,,,0.0,0.0,singleton,,0.0
52,27,27,,,,0.0,0.0,singleton,,0.0
53,28,28,,,,0.0,0.0,singleton,,0.0
54,29,29,,,,0.0,0.0,singleton,,0.0
55,30,30,,,,0.0,0.0,singleton,,0.0
56,31,31,,,,0.0,0.0,singleton,,0.0
57,32,32,,,,0.0,0.0,singleton,,0.0
58,33,33,,,,0.0,0.0,singleton,,0.0
59,34,34,,,,0.0,0.0,singleton,,0.0
60,35,35,,,,0.0,0.0,singleton,,0.0
61,37,37,,,,0.0,0.0,singleton,,0.0
62,38,38,,,,0.0,0.0,singleton,,0.0
63,39,39,,,,0.0,0.0,singleton,,0.0
64,40,40,,,,0.0,0.0,singleton,,0.0
65,41,41,,,,0.0,0.0,singleton,,0.0
66,42,42,,,,0.0,0.0,singleton,,0.0
67,43,43,,,,0.0,0.0,singleton,,0.0
68,44,44,,,,0.0,0.0,singleton,,0.0
69,45,45,,,,0.0,0.0,singleton,,0.0
70,46,46,,,,0.0,0.0,singleton,,0.0
71,48,48,,,,0.0,0.0,singleton,,0.0
72,49,49,,,,0.0,0.0,singleton,,0.0
73,51,51,,,,0.0,0.0,singleton,,0.0
74,52,52,,,,0.0,0.0,singleton,,0.0
75,53,53,,,,0.0,0.0,singleton,,0.0
76,54,54,,,,0.0,0.0,singleton,,0.0
77,55,55,,,,0.0,0.0,singleton,,0.0
78,56,56,,,,0.0,0.0,singleton,,0.0
79,57,57,,,,0.0,0.0,singleton,,0.0
80,58,58,,,,0.0,0.0,singleton,,0.0
81,60,60,,,,0.0,0.0,singleton,,0.0
82,61,61,,,,0.0,0.0,singleton,,0.0
83,62,62,,,,0.0,0.0,singleton,,0.0
84,63,63,,,,0.0,0.0,singleton,,0.0
85,64,64,,,,0.0,0.0,singleton,,0.0
86,65,65,,,,0.0,0.0,singleton,,0.0
87,66,66,,,,0.0,0.0,singleton,,0.0
88,67,67,,,,0.0,0.0,singleton,,0.0
89,68,68,,,,0.0,0.0,singleton,,0.0
90,69,69,,,,0.0,0.0,singleton,,0.0
91,70,70,,,,0.0,0.0,singleton,,0.0
