Index,feature_id,mz,rt,TIC,charge,status
0,2.0,274.2741,195.295,9868000.0,1.0,singleton
1,3.0,184.9857,505.046,19007000.0,1.0,fragment
2,7.0,776.234,439.832,17316000.0,1.0,singleton
3,12.0,327.0085,209.923,5175000.0,1.0,precursor
4,13.0,852.2316,457.666,15601000.0,1.0,singleton
5,18.0,144.9823,509.816,8781800.0,1.0,fragment
6,28.0,287.8888,513.32,2380600.0,1.0,fragment
7,32.0,332.9167,505.59,963400.0,1.0,singleton
8,34.0,926.2693,472.492,212800.0,1.0,singleton
9,37.0,145.1338,504.915,2810800.0,1.0,precursor
10,38.0,762.1805,437.891,773800.0,1.0,singleton
11,41.0,331.0023,209.539,1477600.0,1.0,singleton
12,43.0,146.9804,509.652,3492300.0,1.0,singleton
13,46.0,143.9592,505.548,2567700.0,1.0,fragment
14,48.0,912.1972,435.542,1085900.0,1.0,singleton
15,49.0,354.2852,238.194,1173200.0,1.0,singleton
16,50.0,786.2537,465.603,49500.0,1.0,singleton
17,54.0,138.9954,509.247,1314600.0,1.0,singleton
18,58.0,799.2485,465.842,720500.0,1.0,singleton
19,63.0,172.9772,16.839,2581300.0,1.0,fragment
20,70.0,195.9937,506.853,1502100.0,1.0,singleton
21,71.0,686.2193,458.889,286100.0,1.0,singleton
22,72.0,984.2378,500.747,1656600.0,1.0,singleton
23,76.0,201.0083,30.768,1612100.0,1.0,singleton
24,77.0,880.2629,457.477,214100.0,1.0,singleton
25,82.0,633.1496,399.992,1169200.0,1.0,singleton
26,86.0,485.1128,334.687,153000.0,1.0,singleton
27,90.0,183.0782,111.275,1805100.0,1.0,singleton
28,92.0,612.2013,442.375,770300.0,1.0,singleton
29,103.0,307.1882,238.241,170100.0,1.0,singleton
30,105.0,882.2608,457.407,93800.0,1.0,singleton
31,107.0,228.196,181.619,837900.0,1.0,singleton
32,109.0,207.1592,95.465,565700.0,1.0,singleton
33,112.0,680.4809,483.644,585500.0,1.0,singleton
34,118.0,302.2329,237.998,408700.0,1.0,singleton
35,119.0,270.2793,349.158,345500.0,1.0,singleton
36,120.0,772.2381,465.313,126400.0,1.0,singleton
37,124.0,402.3577,274.363,511600.0,1.0,singleton
38,132.0,230.2483,205.941,593200.0,1.0,singleton
39,134.0,817.1951,457.191,668800.0,1.0,singleton
40,140.0,984.2356,480.214,434600.0,1.0,singleton
41,143.0,226.1802,158.52,4503000.0,1.0,fragment
42,148.0,251.1618,149.987,174600.0,1.0,singleton
43,151.0,393.2975,409.43,134600.0,1.0,singleton
44,155.0,686.184,447.753,2243100.0,1.0,singleton
45,157.0,708.5125,483.186,642600.0,1.0,singleton
46,159.0,284.3313,276.665,266000.0,1.0,singleton
47,160.0,279.1591,290.069,3544000.0,1.0,precursor
48,168.0,779.151,465.752,97900.0,1.0,singleton
49,171.0,878.2841,455.435,125400.0,1.0,singleton
50,172.0,191.1043,125.605,25700.0,1.0,singleton
51,175.0,341.0939,278.848,331000.0,1.0,singleton
52,176.0,430.3894,300.533,278700.0,1.0,singleton
53,179.0,575.1058,370.553,153600.0,1.0,singleton
54,182.0,380.3373,327.985,407600.0,1.0,singleton
55,185.0,424.3635,322.92,348300.0,1.0,singleton
56,187.0,163.133,101.749,320000.0,1.0,singleton
57,189.0,245.1514,229.712,41200.0,1.0,singleton
58,199.0,598.1487,426.498,482100.0,1.0,singleton
59,200.0,309.2272,119.19,117700.0,1.0,singleton
60,202.0,305.2092,205.732,161700.0,1.0,singleton
61,203.0,614.1816,475.985,10643000.0,1.0,singleton
62,207.0,269.1361,109.865,113700.0,1.0,singleton
63,209.0,952.3005,472.197,119900.0,1.0,singleton
64,216.0,626.2162,449.383,710000.0,1.0,singleton
65,223.0,965.296,472.642,51300.0,1.0,singleton
66,227.0,1177.2096,486.64,545000.0,1.0,singleton
67,229.0,151.1119,126.71,353900.0,1.0,singleton
68,232.0,372.1361,260.991,48900.0,1.0,singleton
69,237.0,224.1857,95.296,233200.0,1.0,singleton
70,238.0,291.2531,276.361,211500.0,1.0,singleton
71,240.0,540.1629,457.26,844800.0,1.0,singleton
72,241.0,295.1517,99.804,518200.0,1.0,singleton
73,243.0,873.2676,458.731,120100.0,1.0,singleton
74,245.0,239.089,89.319,914000.0,1.0,singleton
75,249.0,386.1519,278.953,83700.0,1.0,singleton
