Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,1,17,18.0,56.0,0.32,-0.5020000000000095,41.0265,frag_edge,,41.0265
1,1,221,5.0,35.0,0.14,-0.6960000000000264,44.997600000000006,frag_edge,,44.9976
2,3,236,3.0,28.0,0.11,0.12100000000000932,76.00820000000002,frag_edge,,76.0082
3,6,221,7.0,20.0,0.35,-0.3210000000000264,41.026700000000005,frag_edge,,41.0267
4,7,123,15.0,47.0,0.32,0.3129999999999882,294.2198,frag_edge,,294.2198
5,12,5,9.0,50.0,0.18,-4.900999999999954,0.15149999999999864,frag_edge,,0.1515
6,17,221,7.0,53.0,0.13,-0.19400000000001683,3.971100000000007,frag_edge,,3.9711
7,26,34,29.0,62.0,0.47,-0.038000000000010914,17.027000000000044,frag_edge,,17.027
8,35,123,12.0,41.0,0.29,0.575999999999965,336.2296,frag_edge,,336.2296
9,41,123,12.0,35.0,0.34,0.8349999999999795,354.24070000000006,frag_edge,,354.2407
10,50,169,25.0,59.0,0.42,5.070999999999998,17.026600000000002,frag_edge,,17.0266
11,50,205,8.0,59.0,0.14,2.865000000000009,53.04769999999999,frag_edge,,53.0477
12,67,295,8.0,41.0,0.2,-5.394999999999982,92.02940000000001,frag_edge,,92.0294
13,79,346,4.0,29.0,0.14,0.43600000000003547,74.07300000000004,frag_edge,,74.073
14,113,124,38.0,80.0,0.47,0.6240000000000236,17.026800000000037,frag_edge,,17.0268
15,163,261,6.0,20.0,0.3,-3.2379999999999995,41.0266,frag_edge,,41.0266
16,169,205,8.0,37.0,0.22,-2.205999999999989,36.02109999999999,frag_edge,H4O2,H4O2
17,173,157,6.0,36.0,0.17,0.7909999999999968,28.031299999999987,frag_edge,C2H4,C2H4
18,223,257,5.0,42.0,0.12,-0.7290000000000418,331.1136,frag_edge,,331.1136
19,237,70,17.0,45.0,0.38,-0.23900000000000432,18.010599999999982,frag_edge,H2O,H2O
20,247,116,6.0,27.0,0.22,-0.25400000000000134,33.0343,frag_edge,,33.0343
21,250,256,21.0,50.0,0.42,0.24200000000001864,17.026700000000005,frag_edge,,17.0267
22,251,27,26.0,59.0,0.44,1.5470000000000006,18.010399999999976,frag_edge,H2O,H2O
23,262,253,10.0,36.0,0.28,-0.1290000000000191,257.0946,frag_edge,,257.0946
24,264,8,15.0,35.0,0.43,-2.501000000000033,41.02659999999997,frag_edge,,41.0266
25,267,176,9.0,33.0,0.27,-0.8610000000000042,44.027000000000015,frag_edge,,44.027
26,268,276,14.0,61.0,0.23,0.3769999999999527,41.02679999999998,frag_edge,,41.0268
27,280,295,7.0,40.0,0.17,-5.392999999999972,109.05610000000001,frag_edge,,109.0561
28,298,253,7.0,28.0,0.25,-0.0030000000000427463,240.06680000000006,frag_edge,,240.0668
29,303,225,9.0,25.0,0.36,0.33600000000001273,32.02630000000002,frag_edge,CH3OH,CH3OH
30,313,1,23.0,57.0,0.4,-0.20099999999996498,41.02709999999999,frag_edge,,41.0271
31,313,17,21.0,59.0,0.36,-0.7029999999999745,82.05359999999999,frag_edge,,82.0536
32,313,221,6.0,41.0,0.15,-0.8969999999999914,86.0247,frag_edge,,86.0247
33,325,271,14.0,52.0,0.27,-0.24799999999999045,18.010599999999982,frag_edge,H2O,H2O
34,338,141,5.0,25.0,0.2,-0.05699999999998795,56.0625,frag_edge,C4H8,C4H8
35,0,0,,,,0.0,0.0,singleton,,0.0
36,2,2,,,,0.0,0.0,singleton,,0.0
37,4,4,,,,0.0,0.0,singleton,,0.0
38,9,9,,,,0.0,0.0,singleton,,0.0
39,10,10,,,,0.0,0.0,singleton,,0.0
40,11,11,,,,0.0,0.0,singleton,,0.0
41,13,13,,,,0.0,0.0,singleton,,0.0
42,14,14,,,,0.0,0.0,singleton,,0.0
43,15,15,,,,0.0,0.0,singleton,,0.0
44,16,16,,,,0.0,0.0,singleton,,0.0
45,18,18,,,,0.0,0.0,singleton,,0.0
46,19,19,,,,0.0,0.0,singleton,,0.0
47,20,20,,,,0.0,0.0,singleton,,0.0
48,21,21,,,,0.0,0.0,singleton,,0.0
49,22,22,,,,0.0,0.0,singleton,,0.0
50,23,23,,,,0.0,0.0,singleton,,0.0
51,24,24,,,,0.0,0.0,singleton,,0.0
52,25,25,,,,0.0,0.0,singleton,,0.0
53,28,28,,,,0.0,0.0,singleton,,0.0
54,29,29,,,,0.0,0.0,singleton,,0.0
55,30,30,,,,0.0,0.0,singleton,,0.0
56,31,31,,,,0.0,0.0,singleton,,0.0
57,32,32,,,,0.0,0.0,singleton,,0.0
58,33,33,,,,0.0,0.0,singleton,,0.0
59,36,36,,,,0.0,0.0,singleton,,0.0
60,37,37,,,,0.0,0.0,singleton,,0.0
61,38,38,,,,0.0,0.0,singleton,,0.0
62,39,39,,,,0.0,0.0,singleton,,0.0
63,40,40,,,,0.0,0.0,singleton,,0.0
64,42,42,,,,0.0,0.0,singleton,,0.0
65,43,43,,,,0.0,0.0,singleton,,0.0
66,44,44,,,,0.0,0.0,singleton,,0.0
67,45,45,,,,0.0,0.0,singleton,,0.0
68,46,46,,,,0.0,0.0,singleton,,0.0
69,47,47,,,,0.0,0.0,singleton,,0.0
70,48,48,,,,0.0,0.0,singleton,,0.0
71,49,49,,,,0.0,0.0,singleton,,0.0
72,51,51,,,,0.0,0.0,singleton,,0.0
73,52,52,,,,0.0,0.0,singleton,,0.0
