Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,Fragnotation,All_annotations
0,1,16,18.0,56.0,0.32,-0.5020000000000095,41.0265,frag_edge,,41.0265
1,1,206,5.0,35.0,0.14,-0.6960000000000264,44.997600000000006,frag_edge,,44.9976
2,3,222,3.0,28.0,0.11,0.12100000000000932,76.00820000000002,frag_edge,,76.0082
3,6,206,7.0,20.0,0.35,-0.3210000000000264,41.026700000000005,frag_edge,,41.0267
4,11,5,9.0,50.0,0.18,-4.900999999999954,0.15149999999999864,frag_edge,,0.1515
5,16,206,7.0,53.0,0.13,-0.19400000000001683,3.971100000000007,frag_edge,,3.9711
6,22,29,29.0,62.0,0.47,-0.038000000000010914,17.027000000000044,frag_edge,,17.027
7,39,141,8.0,59.0,0.14,2.865000000000009,53.04769999999999,frag_edge,,53.0477
8,50,283,8.0,41.0,0.2,-5.394999999999982,92.02940000000001,frag_edge,,92.0294
9,62,335,4.0,29.0,0.14,0.43600000000003547,74.07300000000004,frag_edge,,74.073
10,84,93,38.0,80.0,0.47,0.6240000000000236,17.026800000000037,frag_edge,,17.0268
11,107,193,4.0,32.0,0.12,0.5330000000000013,75.06869999999998,frag_edge,,75.0687
12,119,250,6.0,20.0,0.3,-3.2379999999999995,41.0266,frag_edge,,41.0266
13,123,114,6.0,36.0,0.17,0.7909999999999968,28.031299999999987,frag_edge,C2H4,C2H4
14,158,160,41.0,78.0,0.53,-0.5459999999999923,18.011500000000012,frag_edge,H2O,H2O
15,158,165,12.0,53.0,0.23,-0.17199999999996862,252.2091,frag_edge,,252.2091
16,158,170,10.0,67.0,0.15,0.12400000000002365,36.021000000000015,frag_edge,H4O2,H4O2
17,158,179,7.0,52.0,0.13,0.12400000000002365,226.1933,frag_edge,,226.1933
18,160,165,13.0,62.0,0.21,0.37400000000002365,234.1976,frag_edge,,234.1976
19,160,170,10.0,79.0,0.13,0.6700000000000159,18.009500000000003,frag_edge,,18.0095
20,160,179,7.0,64.0,0.11,0.6700000000000159,208.18179999999998,frag_edge,,208.1818
21,161,158,40.0,76.0,0.53,-0.12400000000002365,18.01049999999998,frag_edge,H2O,H2O
22,161,165,12.0,57.0,0.21,-0.29599999999999227,270.2196,frag_edge,,270.2196
23,161,171,10.0,48.0,0.21,-1.035000000000025,318.2922,frag_edge,,318.2922
24,161,179,7.0,59.0,0.12,0.0,244.20379999999997,frag_edge,,244.2038
25,181,165,5.0,30.0,0.17,1.1970000000000027,287.246,frag_edge,,287.246
26,189,184,12.0,38.0,0.32,-3.240000000000009,41.0265,frag_edge,,41.0265
27,190,218,7.0,16.0,0.44,4.004000000000019,82.05319999999999,frag_edge,,82.0532
28,196,165,9.0,45.0,0.2,-8.43199999999996,283.2161,frag_edge,,283.2161
29,208,246,5.0,42.0,0.12,-0.7290000000000418,331.1136,frag_edge,,331.1136
30,223,53,17.0,45.0,0.38,-0.23900000000000432,18.010599999999982,frag_edge,H2O,H2O
31,235,87,6.0,27.0,0.22,-0.25400000000000134,33.0343,frag_edge,,33.0343
32,238,245,21.0,50.0,0.42,0.24200000000001864,17.026700000000005,frag_edge,,17.0267
33,240,23,26.0,59.0,0.44,1.5470000000000006,18.010399999999976,frag_edge,H2O,H2O
34,251,242,10.0,36.0,0.28,-0.1290000000000191,257.0946,frag_edge,,257.0946
35,253,7,15.0,35.0,0.43,-2.501000000000033,41.02659999999997,frag_edge,,41.0266
36,257,264,14.0,61.0,0.23,0.3769999999999527,41.02679999999998,frag_edge,,41.0268
37,268,283,7.0,40.0,0.17,-5.392999999999972,109.05610000000001,frag_edge,,109.0561
38,286,242,7.0,28.0,0.25,-0.0030000000000427463,240.06680000000006,frag_edge,,240.0668
39,292,210,9.0,25.0,0.36,0.33600000000001273,32.02630000000002,frag_edge,CH3OH,CH3OH
40,301,1,23.0,57.0,0.4,-0.20099999999996498,41.02709999999999,frag_edge,,41.0271
41,301,16,21.0,59.0,0.36,-0.7029999999999745,82.05359999999999,frag_edge,,82.0536
42,301,206,6.0,41.0,0.15,-0.8969999999999914,86.0247,frag_edge,,86.0247
43,313,260,14.0,52.0,0.27,-0.24799999999999045,18.010599999999982,frag_edge,H2O,H2O
44,327,106,5.0,25.0,0.2,-0.05699999999998795,56.0625,frag_edge,C4H8,C4H8
45,0,0,,,,0.0,0.0,singleton,,0.0
46,2,2,,,,0.0,0.0,singleton,,0.0
47,4,4,,,,0.0,0.0,singleton,,0.0
48,8,8,,,,0.0,0.0,singleton,,0.0
49,9,9,,,,0.0,0.0,singleton,,0.0
50,10,10,,,,0.0,0.0,singleton,,0.0
51,12,12,,,,0.0,0.0,singleton,,0.0
52,13,13,,,,0.0,0.0,singleton,,0.0
53,14,14,,,,0.0,0.0,singleton,,0.0
54,15,15,,,,0.0,0.0,singleton,,0.0
55,17,17,,,,0.0,0.0,singleton,,0.0
56,18,18,,,,0.0,0.0,singleton,,0.0
57,19,19,,,,0.0,0.0,singleton,,0.0
58,20,20,,,,0.0,0.0,singleton,,0.0
59,21,21,,,,0.0,0.0,singleton,,0.0
60,24,24,,,,0.0,0.0,singleton,,0.0
61,25,25,,,,0.0,0.0,singleton,,0.0
62,26,26,,,,0.0,0.0,singleton,,0.0
63,27,27,,,,0.0,0.0,singleton,,0.0
64,28,28,,,,0.0,0.0,singleton,,0.0
65,30,30,,,,0.0,0.0,singleton,,0.0
66,31,31,,,,0.0,0.0,singleton,,0.0
67,32,32,,,,0.0,0.0,singleton,,0.0
68,33,33,,,,0.0,0.0,singleton,,0.0
69,34,34,,,,0.0,0.0,singleton,,0.0
70,35,35,,,,0.0,0.0,singleton,,0.0
71,36,36,,,,0.0,0.0,singleton,,0.0
72,37,37,,,,0.0,0.0,singleton,,0.0
73,38,38,,,,0.0,0.0,singleton,,0.0
74,40,40,,,,0.0,0.0,singleton,,0.0
75,41,41,,,,0.0,0.0,singleton,,0.0
76,42,42,,,,0.0,0.0,singleton,,0.0
77,43,43,,,,0.0,0.0,singleton,,0.0
78,44,44,,,,0.0,0.0,singleton,,0.0
79,45,45,,,,0.0,0.0,singleton,,0.0
80,46,46,,,,0.0,0.0,singleton,,0.0
81,47,47,,,,0.0,0.0,singleton,,0.0
