Index,feature_id,mz,rt,TIC,charge,status
0,2.0,274.2741,195.295,9868000.0,1.0,singleton
1,3.0,184.9857,505.046,19007000.0,1.0,fragment
2,7.0,776.234,439.832,17316000.0,1.0,singleton
3,12.0,327.0085,209.923,5175000.0,1.0,precursor
4,13.0,852.2316,457.666,15601000.0,1.0,singleton
5,28.0,287.8888,513.32,2380600.0,1.0,fragment
6,32.0,332.9167,505.59,963400.0,1.0,singleton
7,37.0,145.1338,504.915,2810800.0,1.0,singleton
8,38.0,762.1805,437.891,773800.0,1.0,singleton
9,41.0,331.0023,209.539,1477600.0,1.0,singleton
10,43.0,146.9804,509.652,3492300.0,1.0,singleton
11,46.0,143.9592,505.548,2567700.0,1.0,fragment
12,48.0,912.1972,435.542,1085900.0,1.0,singleton
13,49.0,354.2852,238.194,1173200.0,1.0,singleton
14,51.0,199.9879,511.438,2747300.0,1.0,singleton
15,54.0,138.9954,509.247,1314600.0,1.0,singleton
16,58.0,799.2485,465.842,720500.0,1.0,singleton
17,63.0,172.9772,16.839,2581300.0,1.0,fragment
18,70.0,195.9937,506.853,1502100.0,1.0,singleton
19,72.0,984.2378,500.747,1656600.0,1.0,singleton
20,76.0,201.0083,30.768,1612100.0,1.0,singleton
21,82.0,633.1496,399.992,1169200.0,1.0,singleton
22,83.0,906.2595,487.207,26740000.0,1.0,singleton
23,90.0,183.0782,111.275,1805100.0,1.0,singleton
24,92.0,612.2013,442.375,770300.0,1.0,singleton
25,101.0,158.1542,178.255,1560700.0,1.0,singleton
26,103.0,307.1882,238.241,170100.0,1.0,singleton
27,107.0,228.196,181.619,837900.0,1.0,fragment
28,109.0,207.1592,95.465,565700.0,1.0,singleton
29,118.0,302.2329,237.998,408700.0,1.0,singleton
30,119.0,270.2793,349.158,345500.0,1.0,singleton
31,124.0,402.3577,274.363,511600.0,1.0,singleton
32,129.0,804.2647,440.318,79100.0,1.0,singleton
33,132.0,230.2483,205.941,593200.0,1.0,singleton
34,148.0,251.1618,149.987,174600.0,1.0,singleton
35,154.0,700.2356,465.954,647200.0,1.0,singleton
36,155.0,686.184,447.753,2243100.0,1.0,singleton
37,157.0,708.5125,483.186,642600.0,1.0,singleton
38,159.0,284.3313,276.665,266000.0,1.0,singleton
39,160.0,279.1591,290.069,3544000.0,1.0,precursor
40,175.0,341.0939,278.848,331000.0,1.0,singleton
41,176.0,430.3894,300.533,278700.0,1.0,singleton
42,178.0,178.1228,504.52,245900.0,1.0,singleton
43,180.0,419.3158,429.271,160300.0,1.0,singleton
44,181.0,744.2063,446.886,717700.0,1.0,singleton
45,202.0,305.2092,205.732,161700.0,1.0,singleton
46,203.0,614.1816,475.985,10643000.0,1.0,singleton
47,207.0,269.1361,109.865,113700.0,1.0,singleton
48,214.0,391.2462,276.817,28060000.0,1.0,singleton
49,216.0,626.2162,449.383,710000.0,1.0,singleton
50,221.0,797.1627,440.232,114300.0,1.0,singleton
51,245.0,239.089,89.319,914000.0,1.0,singleton
52,248.0,672.1684,443.365,328500.0,1.0,singleton
53,250.0,389.1119,293.24,575900.0,1.0,singleton
54,256.0,330.2641,280.78,230500.0,1.0,singleton
55,281.0,670.1885,489.236,1397500.0,1.0,singleton
56,282.0,149.0235,193.374,372800.0,1.0,fragment
57,290.0,938.2855,475.128,999300.0,1.0,singleton
58,291.0,167.013,502.391,23279000.0,1.0,precursor
59,302.0,940.2276,435.979,50300.0,1.0,singleton
60,304.0,177.0548,194.165,477100.0,1.0,precursor
61,308.0,173.0802,90.128,422200.0,1.0,fragment
62,316.0,372.1361,262.561,80300.0,1.0,singleton
63,341.0,175.1483,178.754,129700.0,1.0,fragment
64,354.0,205.1436,300.085,346100.0,1.0,singleton
65,412.0,1012.3068,468.668,1526300.0,1.0,singleton
66,441.0,762.1797,422.218,463700.0,1.0,singleton
67,444.0,159.0653,99.893,992300.0,1.0,singleton
68,445.0,277.1415,127.726,1480100.0,1.0,singleton
69,446.0,659.2871,356.188,238400.0,1.0,singleton
70,449.0,832.2411,456.957,55120000.0,1.0,singleton
71,476.0,125.9865,315.009,1550800.0,1.0,singleton
72,500.0,297.2404,322.966,71600.0,1.0,singleton
73,508.0,182.9853,510.117,20850000.0,1.0,singleton
74,510.0,139.9881,505.742,4143300.0,1.0,fragment
