Index,feature_id,mz,rt,TIC,charge,status
0,2.0,274.2741,195.295,9868000.0,1.0,singleton
1,3.0,184.9857,505.046,19007000.0,1.0,precursor
2,7.0,776.234,439.832,17316000.0,1.0,singleton
3,12.0,327.0085,209.923,5175000.0,1.0,precursor
4,13.0,852.2316,457.666,15601000.0,1.0,singleton
5,18.0,144.9823,509.816,8781800.0,1.0,fragment
6,28.0,287.8888,513.32,2380600.0,1.0,fragment
7,32.0,332.9167,505.59,963400.0,1.0,singleton
8,36.0,247.1669,504.994,1412200.0,1.0,singleton
9,37.0,145.1338,504.915,2810800.0,1.0,precursor
10,38.0,762.1805,437.891,773800.0,1.0,singleton
11,41.0,331.0023,209.539,1477600.0,1.0,singleton
12,43.0,146.9804,509.652,3492300.0,1.0,singleton
13,46.0,143.9592,505.548,2567700.0,1.0,fragment
14,49.0,354.2852,238.194,1173200.0,1.0,singleton
15,54.0,138.9954,509.247,1314600.0,1.0,singleton
16,58.0,799.2485,465.842,720500.0,1.0,singleton
17,63.0,172.9772,16.839,2581300.0,1.0,fragment
18,70.0,195.9937,506.853,1502100.0,1.0,singleton
19,71.0,686.2193,458.889,286100.0,1.0,singleton
20,76.0,201.0083,30.768,1612100.0,1.0,singleton
21,77.0,880.2629,457.477,214100.0,1.0,singleton
22,82.0,633.1496,399.992,1169200.0,1.0,singleton
23,83.0,906.2595,487.207,26740000.0,1.0,singleton
24,86.0,485.1128,334.687,153000.0,1.0,singleton
25,90.0,183.0782,111.275,1805100.0,1.0,singleton
26,92.0,612.2013,442.375,770300.0,1.0,singleton
27,101.0,158.1542,178.255,1560700.0,1.0,singleton
28,103.0,307.1882,238.241,170100.0,1.0,singleton
29,104.0,1074.3084,453.497,6850000.0,1.0,singleton
30,105.0,882.2608,457.407,93800.0,1.0,singleton
31,107.0,228.196,181.619,837900.0,1.0,singleton
32,109.0,207.1592,95.465,565700.0,1.0,singleton
33,118.0,302.2329,237.998,408700.0,1.0,singleton
34,119.0,270.2793,349.158,345500.0,1.0,singleton
35,124.0,402.3577,274.363,511600.0,1.0,singleton
36,129.0,804.2647,440.318,79100.0,1.0,singleton
37,132.0,230.2483,205.941,593200.0,1.0,singleton
38,134.0,817.1951,457.191,668800.0,1.0,singleton
39,138.0,463.1306,334.783,2080300.0,1.0,precursor
40,148.0,251.1618,149.987,174600.0,1.0,singleton
41,151.0,393.2975,409.43,134600.0,1.0,singleton
42,154.0,700.2356,465.954,647200.0,1.0,singleton
43,155.0,686.184,447.753,2243100.0,1.0,singleton
44,157.0,708.5125,483.186,642600.0,1.0,singleton
45,159.0,284.3313,276.665,266000.0,1.0,singleton
46,160.0,279.1591,290.069,3544000.0,1.0,precursor
47,171.0,878.2841,455.435,125400.0,1.0,singleton
48,175.0,341.0939,278.848,331000.0,1.0,singleton
49,176.0,430.3894,300.533,278700.0,1.0,singleton
50,178.0,178.1228,504.52,245900.0,1.0,singleton
51,179.0,575.1058,370.553,153600.0,1.0,singleton
52,180.0,419.3158,429.271,160300.0,1.0,singleton
