Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
4,,,,,,
5,,M1|m1H|pHCOOH,,,,
8,M3|m1H|,M3|m1H|,M3|m1H|,M3|m1H|,M3|m1H|,M3|m1H|
9,,,,,,
10,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH
13,M2|p1Cl|,M2|p1Cl|,M2|p1Cl|,M2|p1Cl|,M2|p1Cl|,M2|p1Cl|
15,,,,,,
17,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH
19,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|
20,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH
24,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,,,
25,M1|m2Hp1Na|,M1|m2Hp1Na|,M1|m2Hp1Na|,M1|m2Hp1Na|,M1|m2Hp1Na|,M1|m2Hp1Na|
29,,,,,,
31,,M1|p1Cl|,,,,
35,,,,,,
39,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|
40,,M1|m1H|pHCOOH,,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH
41,,,,,,
43,,,,,M1|m2Hp1Na|pHCOOH,
46,,M1|m1H|pHCOOH,M1|m1H|pHCOOH,,M1|m1H|pHCOOH,
47,,M1|m2Hp1Na|pHCOOH,,M1|m2Hp1Na|pHCOOH,M1|m2Hp1Na|pHCOOH,M1|m2Hp1Na|pHCOOH
49,,,,,,
50,,,,,,
51,,,,,,
53,,,,,,
59,,,,,,
60,,,,,,
63,,,,,,
68,,,M1|m1H|,,,
69,M1|m1H|,,,,,
70,,,M1|m2Hp1Na|pHCOOH,,,M1|m1H|
71,,,,,,
73,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|
75,,,,,,
77,,,,,,
78,,,,,,M1|m1H|
80,M1|m1H|pHCOOH,M1|m1H|pHCOOH,,,M1|m1H|pHCOOH,M1|m1H|pHCOOH
81,M1|m2Hp1Na|pHCOOH,M1|m2Hp1Na|pHCOOH,,M1|m2Hp1Na|pHCOOH,,M1|m2Hp1Na|pHCOOH
82,,M2|m2Hp1Na|,,M2|m2Hp1Na|,,M2|m2Hp1Na|
83,,M2|m2Hp1K|,,M2|m2Hp1K|,,M2|m2Hp1K|
84,M1|m1H|,M1|m1H|,,M1|m1H|,,M1|m1H|
85,,,,,,
86,,,,,,
88,,,,,,
89,,,,,,
91,,,,,,
92,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m1H|,M1|m2Hp1Na|pHCOOH
93,,,,,,
94,,,,,,
95,,,M1|m1H|,M1|m1H|,,
96,,M1|m2Hp1K|,,,,
97,,,,,,
98,,,,,,
99,,,,,M1|p1Cl|,
100,,,,,,
101,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,M2|m1H|pHCOOH,,M2|m1H|pHCOOH
103,,,,,,
105,,M1|p1Cl|,,,,
107,,,,,,
113,,,,,,
114,,,,,,
116,,,,,,
117,,M1|m1H|,,,M1|m1H|,M1|m1H|
119,M1|m1H|pHCOOH,M1|m1H|pHCOOH,M1|m1H|pHCOOH,,,
120,,,,,,
