Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
4,,,,,,
5,,15,,,,
8,20,16,17,18,12,13
9,,,,,,
10,2,1,3,1,1,1
13,2,1,3,1,1,1
15,,,,,,
17,1,0,2,0,0,0
19,30,20,25,24,13,18
20,17,14,15,16,11,6
24,0,19,20,,,
25,1,0,2,0,0,0
29,,,,,,
31,,15,,,,
35,,,,,,
39,17,14,15,16,11,6
40,,12,,15,10,12
41,,,,,,
43,,,,,19,
46,,10,14,,9,
47,,20,,24,13,18
49,,,,,,
50,,,,,,
51,,,,,,
53,,,,,,
59,,,,,,
60,,,,,,
63,,,,,,
68,,,0,,,
69,18,,,,,
70,,,0,,,4
71,,,,,,
73,16,9,13,14,7,8
75,,,,,,
77,,,,,,
78,,,,,,17
80,15,8,,,6,10
81,0,7,,3,,11
82,,3,,4,,2
83,,4,,12,,5
84,0,7,,3,,11
85,,,,,,
86,,,,,,
88,,,,,,
89,,,,,,
91,,,,,,
92,3,2,0,2,2,4
93,,,,,,
94,,,,,,
95,,,12,13,,
96,,21,,,,
97,,,,,,
98,,,,,,
99,,,,,19,
100,,,,,,
101,14,4,5,12,,5
103,,,,,,
105,,21,,,,
107,,,,,,
113,,,,,,
114,,,,,,
116,,,,,,
117,,8,,,6,10
119,19,5,7,,,
120,,,,,,
121,32,24,27,,20,
122,,,,,,
123,,,,,,
124,,,,,,
127,3,2,0,2,2,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
138,,,,,,
139,,,,,,
141,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
150,21,,,7,,
151,,,,,,
152,,15,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,17,,5,15,
159,,,,,,
161,,,,,,
162,,,,,,
164,,,,,,
165,,11,,,5,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,16,16
190,,,,,,
191,,,,,,
192,,,,,,14
