Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
4,,,,,,
5,,352.1888,,,,
8,66.9373,66.9373,66.9373,66.9373,66.9373,66.9373
9,,,,,,
10,95.4639,95.4639,95.4639,95.4639,95.4639,95.4639
13,85.4351,85.4351,85.4351,85.4351,85.4351,85.4351
15,,,,,,
17,145.9298,145.9298,145.9298,145.9298,145.9298,145.9298
19,232.9389,232.9389,232.9389,232.9389,232.9389,232.9389
20,462.1236,462.1236,462.1236,462.1236,462.1236,462.1236
24,129.9573,129.9573,129.9573,,,
25,283.9398,283.9398,283.9398,283.9398,283.9398,283.9398
29,,,,,,
31,,352.189,,,,
35,,,,,,
39,462.1237,462.1237,462.1237,462.1237,462.1237,462.1237
40,,744.1466,,744.1466,744.1466,744.1466
41,,,,,,
43,,,,,125.9483,
46,,744.1469,744.1469,,744.1469,
47,,232.9394,,232.9394,232.9394,232.9394
49,,,,,,
50,,,,,,
51,,,,,,
53,,,,,,
59,,,,,,
60,,,,,,
63,,,,,,
68,,,249.9677,,,
69,240.9102,,,,,
70,,,249.9681,,,317.9555
71,,,,,,
73,240.9102,240.9102,240.9102,240.9102,240.9102,240.9102
75,,,,,,
77,,,,,,
78,,,,,,185.9367
80,522.0904,522.0904,,,522.0904,522.0904
81,327.9108,327.9108,,327.9108,,327.9108
82,,100.9331,,100.9331,,100.9331
83,,145.931,,145.931,,145.931
84,327.911,327.911,,327.911,,327.911
85,,,,,,
86,,,,,,
88,,,,,,
89,,,,,,
91,,,,,,
92,385.9428,385.9428,385.9428,385.9428,385.9428,317.9554
93,,,,,,
94,,,,,,
95,,,240.9103,240.9103,,
96,,136.9772,,,,
97,,,,,,
98,,,,,,
99,,,,,125.9482,
100,,,,,,
101,99.9253,99.9253,99.9253,99.9253,,99.9253
103,,,,,,
105,,136.9773,,,,
107,,,,,,
113,,,,,,
114,,,,,,
116,,,,,,
117,,522.089,,,522.089,522.089
119,183.9961,183.9961,183.9961,,,
120,,,,,,
121,97.9159,97.9159,97.9159,,97.9159,
122,,,,,,
123,,,,,,
124,,,,,,
127,385.9428,385.9428,385.9428,385.9428,385.9428,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
138,,,,,,
139,,,,,,
141,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
150,170.8703,,,170.8703,,
151,,,,,,
152,,352.1908,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,145.9309,,145.9309,299.9113,
159,,,,,,
161,,,,,,
162,,,,,,
164,,,,,,
165,,306.0706,,,306.0706,
168,,,,,,
169,,,,,,
