Feature_ID,012_Caperatic_acid,004_Acetylportentol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,008_12_Desoxypyxinol,007_12_Desoxydiacetylpyxinol
4,,,,,,
5,,0,,,,
8,0,0,0,0,0,0
9,,,,,,
10,0,0,0,0,0,0
13,0,0,0,0,0,0
15,,,,,,
17,0,0,0,0,0,0
19,0,0,0,0,0,0
20,1,1,1,1,1,1
24,0,0,0,,,
25,0,0,0,0,0,0
29,,,,,,
31,,0,,,,
35,,,,,,
39,0,0,0,0,0,0
40,,1,,1,1,1
41,,,,,,
43,,,,,1,
46,,0,0,,0,
47,,1,,1,1,1
49,,,,,,
50,,,,,,
51,,,,,,
53,,,,,,
59,,,,,,
60,,,,,,
63,,,,,,
68,,,0,,,
69,0,,,,,
70,,,0,,,0
71,,,,,,
73,0,0,0,0,0,0
75,,,,,,
77,,,,,,
78,,,,,,0
80,1,1,,,1,1
81,0,0,,0,,0
82,,1,,1,,1
83,,1,,1,,1
84,0,0,,0,,0
85,,,,,,
86,,,,,,
88,,,,,,
89,,,,,,
91,,,,,,
92,0,0,0,0,0,0
93,,,,,,
94,,,,,,
95,,,0,0,,
96,,0,,,,
97,,,,,,
98,,,,,,
99,,,,,0,
100,,,,,,
101,0,0,0,0,,0
103,,,,,,
105,,0,,,,
107,,,,,,
113,,,,,,
114,,,,,,
116,,,,,,
117,,0,,,0,0
119,1,1,1,,,
120,,,,,,
121,0,0,0,,0,
122,,,,,,
123,,,,,,
124,,,,,,
127,0,0,0,0,0,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
138,,,,,,
139,,,,,,
141,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
150,0,,,0,,
151,,,,,,
152,,0,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,1,,1,0,
159,,,,,,
161,,,,,,
162,,,,,,
164,,,,,,
165,,1,,,1,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
