Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
2,,,,M1|p1H|,,
3,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|pCH3CN
7,M1|p1H|pCH3OH,M1|p1NH4|,M1|p1NH4|,M1|p1H|pCH3OH,M1|p1NH4|,M1|p1H|pCH3OH
12,M1|p1H|,M2|p1K|,M2|p1K|,M1|p1H|,M1|p1H|,M1|p1H|
13,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|
18,,,,,,
23,M1|p1H|pCH3CN,,M1|p1H|pCH3CN,,M1|p1H|pCH3CN,
26,,,,,,
28,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
32,,,,,,
34,,,,,,
36,M2|p1H|,,M2|p1H|,,M2|p1H|,M2|p1H|
37,,,,,,
38,,,,,,
39,,,,,,
41,,,,,,
43,,,,,,
46,,,,,,M1|p1H|
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
54,,,,,,
55,,,,,,
58,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN,,,,M1|p1NH4|pCH3CN
61,M1|p1NH4|,,M1|p1NH4|,,,
63,,,,,,
67,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
76,,,,,,
77,,,,,,
78,M1|p1H|,,M1|p1H|,,,
79,,,,,,
80,,,,,,
82,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|
83,,,,,,
84,,,,,,
86,M1|p1Na|,M1|p1Na|,M1|p1Na|,,M1|p1Na|,M1|p1Na|
89,,,,,,
90,,,,,,
92,,,,,,
96,,,,,,
100,M1|p1K|,,M1|p1K|,,M1|p1K|,
101,,,,,,
103,M1|p1Na|,M1|p1NH4|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1NH4|
104,,,,,,
105,,,,,,
107,M3|p1NH4|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
109,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,
111,,,,,,
112,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,,M1|p1NH4|,
114,,,,,,
118,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|
119,,,,,,
120,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
129,,,,,,
132,,,,,,
134,,,,,,
136,,,,,,
137,,,,,,
138,M1|p1H|,,M1|p1H|,,M1|p1H|,M1|p1H|
140,,,,,,
142,,,,,,
143,,,,,,
146,,,,,,
148,,M1|p1H|pCH3OH,,,,
151,M1|p1Na|,M1|p1Na|,M1|p1Na|,,M1|p1Na|,
152,,,,,,
154,,,,,,
155,,,,,,
157,,,,,,
159,M1|p1Na|,M1|p1Na|,M1|p1Na|,,M1|p1Na|,
160,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
163,,,,,,
164,,,,,,
168,M1|p1K|,M1|p1K|,,,,
170,,,,,,
171,,,,,,
172,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,M1|p1K|,M1|p1K|,,,M1|p1K|,M1|p1K|
180,,,,,,
181,M1|p1H|,,,M1|p1H|,,M1|p1H|
182,,,,,,
185,,,,,,
187,,,,,,
189,,,,,,
190,,,,,,
192,,,,,,
199,,,,,,
200,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
207,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,M1|p1Na|,,M1|p1Na|,,,
216,,,,,,
217,,,,,,
220,M1|p1NH4|,,M1|p1NH4|,,,
221,M1|p1K|,,M1|p1K|,M1|p1K|,M1|p1K|,M1|p1K|
223,,,,,,
224,M1|p1Na|pCH3CN,,M1|p1Na|pCH3CN,,M1|p1Na|pCH3CN,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,M1|p1NH4|pCH3CN,
230,,,,,,
232,,,,,,
233,,,,,,
234,M1|p1H|,,M1|p1H|,,,
235,,,,,,
237,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,,M1|p1NH4|,
238,,,,,,
240,,M1|p1Na|,M1|p1Na|,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|
248,,,,,,
249,,,,,,
250,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
252,,,,,,
255,,,,,,
256,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,
257,,,,,,
258,,,,,,
259,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,,M1|p1NH4|,
260,M1|p1K|pCH3OH,M1|p1K|pCH3OH,M1|p1K|pCH3OH,,M1|p1K|pCH3OH,
262,,,,,,
263,M1|p1Na|,M1|p1Na|,M1|p1Na|,,M1|p1Na|,
264,,,,,,
265,,,,,,
267,,,,,,
269,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
275,M1|p1NH4|pCH3CN,,,,,
276,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
284,,,,,,
286,,,,,,
287,,,,,,
288,M1|p1K|,M1|p1K|,M1|p1K|,,M1|p1K|,
290,,,,,,
291,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN
292,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,
293,,,,,,
294,,,,,,
295,,M1|p1NH4|,,,,
297,,,,,,
298,M3|p1H|,,,,,
299,,,,,,
301,M1|p1Na|,,,,,
302,,,,,,
304,,M1|p1H|pCH3OH,M1|p1H|pCH3OH,,,
305,,,,,,
306,,,,,,
308,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,M1|p1NH4|,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
324,,,,,,
325,M1|p1Na|,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,M1|p1K|,M1|p1K|,M1|p1K|,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
336,M1|p1Na|,M1|p1Na|,M1|p1Na|,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
347,,,,,,
348,M1|p1NH4|,M1|p1NH4|,,,M1|p1NH4|,
349,,,,,,
351,,,,,,
352,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,
353,M1|p1NH4|pCH3CN,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,M1|p1H|pCH3CN,
361,,,,,,
362,,,M1|p1H|pCH3CN,,,
363,,,,,M1|p1H|pCH3CN,
364,,,M1|p1H|pCH3CN,,,
365,,,,,M1|p1H|,
366,,,,,M1|p1H|pCH3CN,
367,,,,,M1|p1H|pCH3CN,
368,,,,,M1|p1K|,
370,,,,,,
371,,,,,M1|p1NH4|,
372,,,,,M1|p1H|,
373,,,,,,
374,,,,,M1|p1Na|pCH3CN,
375,,,,,,
376,,,,,,
377,,,,,M1|p1H|pCH3OH,
378,,,,,M1|p1Na|,
379,,,,,M1|p1H|,
382,,,,,,
384,,,,,M2|p1Na|,
385,,,,,,
386,,,,,,
387,,,,,M1|p1NH4|,
388,,,,,,
389,,,,,,
390,,,,,,
392,,,,,,
393,,,,,,
394,,,,,M1|p1H|pCH3OH,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,M1|p1K|,
403,,,,,,
404,,,,,,
405,,,,,M1|p1K|pCH3OH,
406,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,M1|p1NH4|,
418,,,,,,
419,,,,,,
420,,,,,M1|p1Na|,
421,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
430,,,,,,
431,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,M1|p1Na|,M1|p1Na|,M1|p1Na|,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,M1|p1H|,,,
452,,,M1|p1Na|,,,
453,,,M1|p1NH4|,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,M1|p1Na|,
458,,,,,,
459,,,,,,
460,,,,,,
462,,,,,,
463,,,M1|p1NH4|,,,
464,,,,,,
465,,,,,,
466,,M2|p1K|,M2|p1K|,,,
467,,,,,,
469,,,M1|p1Na|pCH3CN,,,
470,,,,,,
471,,,,,,
472,,,,,,
474,,,M1|p1NH4|,,,
475,,,,,,
476,,,,,,
478,,,M1|p1H|,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,M1|p1H|pCH3CN,,,
484,,,M1|p1Na|pCH3CN,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
493,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,M2|p1Na|,,,,
504,,M1|p1NH4|,,,,
506,,M1|p1Na|,,,,
508,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN,M1|p1H|pCH3CN
510,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
512,,M1|p1H|,,,,
514,,,,,,
515,,M2|p1Na|,,,,
517,,,,,,
521,M2|p1NH4|,M1|p1NH4|,M2|p1NH4|,M1|p1NH4|,M2|p1NH4|,M1|p1NH4|
523,,,,,,
526,,,,,,
527,,M1|p1Na|pCH3CN,,,,
528,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
530,,M2|p1H|,,,,
531,,M1|p1NH4|,,,,
532,M1|p1H|,,M1|p1H|,M1|p1H|,M1|p1H|,
533,,,,,,
534,,,,,,
535,,,,,,
544,,M1|p1K|,,,,
545,,M1|p1H|pCH3CN,,,,
547,,M1|p1H|pCH3CN,,,,
549,M1|p1NH4|,M1|p1NH4|,,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|
550,,M1|p1H|pCH3CN,,,,M1|p1Na|
551,,,,,,
553,,,,,,
556,,M1|p1H|pCH3CN,,,,M1|p1H|pCH3CN
558,,,,,,
560,,,,,,
566,,,,,,M2|p1Na|
567,,M1|p1H|pCH3CN,,,,M1|p1H|pCH3CN
569,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
576,M1|p1Na|,,,M1|p1Na|,M1|p1Na|,M1|p1Na|
578,,M1|p1H|,,,,
579,,,,,,
582,,M1|p1H|,,,,
583,,M1|p1H|,,,,
585,,,,,,
586,,M1|p1H|,,,,
587,,,,,,
590,,,,,,
591,,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|,M1|p1Na|
592,,,,,,
595,,,,,,
596,,M2|p1Na|,,,,
599,,,,,,
601,,M1|p1Na|,,,,
603,M3|p1H|,M3|p1H|,M3|p1H|,,M3|p1H|,
604,,,,,,
606,,M1|p1Na|,,,,
607,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,M1|p1NH4|,,,,
616,,,,,,
619,,,,,,
621,,,,,,
622,,,,,,
626,,,,,,
627,,M1|p1K|,M1|p1K|,,,
629,,,,,,
630,,,,,,M1|p1H|
631,,,,,,M1|p1NH4|
632,,M3|p1NH4|,,,,
634,,,,,,
635,,,,,,
636,,M1|p1H|,,,,
637,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,
640,,,,,,
641,,M1|p1H|,,,,
642,,,,,,
644,,,,,,
647,,M1|p1K|,,M1|p1K|,,M1|p1K|
648,,M1|p1NH4|,,,,
649,,M2|p1K|,,,,
650,,,,,,
651,,,,,,
654,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN,M1|p1NH4|pCH3CN
655,M1|p1H|pCH3OH,,M1|p1H|pCH3OH,,M1|p1H|pCH3OH,
657,,,,,,
659,,,,,,
661,,,,,,
662,,,,,,
663,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|,M1|p1NH4|
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
669,,,,,,
671,,,,,M1|p1H|pCH3OH,
673,,,,,,
674,,,,,,
675,,,,,,
678,,,,,,
679,,,,,,
681,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,M2|p1K|,,,,
689,,,,,,
691,,,,M2|p1Na|,,
692,,,,,,
693,M3|p1Na|,M3|p1Na|,M3|p1Na|,,M3|p1Na|,
695,,,,,,
697,,M1|p1H|,,,,
698,,M1|p1K|,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,M1|p1Na|,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,M1|p1H|,,,,
707,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,M1|p1H|pCH3OH,,,,
718,,,,,,
719,,,,,,
720,,,,,,
723,,,,,,
724,,,,,,
725,,M1|p1NH4|,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,M1|p1K|,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,M1|p1H|,M1|p1H|,M1|p1H|,,M1|p1H|,M1|p1H|
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,M1|p1K|,,M1|p1K|,,M1|p1K|
742,,,,,,
743,,,,,,
744,,,,,,
746,,,,,,
747,,,,,,
748,,M1|p1Na|pCH3CN,,,,
749,,,,,,
750,,,,,,
751,,,,,,
754,,,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,M1|p1NH4|,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,M1|p1Na|,,,,M1|p1H|
766,,,,,,
767,,,,,,
769,,M1|p1K|pCH3OH,,,,
770,,,,,,
772,,,,,,
773,,,,,,M1|p1NH4|
774,,,,,,M1|p1Na|
775,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|,M1|p1H|
776,,,,,,M1|p1NH4|
777,,,,,,
