Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
2,,,,17,,
3,7,7,4,4,2,30
7,9,40,30,11,32,12
12,21,1,10,3,23,27
13,31,39,33,36,34,35
18,,,,,,
23,4,,3,,1,
26,,,,,,
28,30,35,27,35,26,32
32,,,,,,
34,,,,,,
36,32,,32,,37,36
37,,,,,,
38,,,,,,
39,,,,,,
41,,,,,,
43,,,,,,
46,,,,,,30
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
54,,,,,,
55,,,,,,
58,27,24,,,,25
61,0,,0,,,
63,,,,,,
67,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
76,,,,,,
77,,,,,,
78,0,,0,,,
79,,,,,,
80,,,,,,
82,8,25,8,7,8,7
83,,,,,,
84,,,,,,
86,26,29,23,,21,8
89,,,,,,
90,,,,,,
92,,,,,,
96,,,,,,
100,8,,8,,8,
101,,,,,,
103,25,0,22,26,6,1
104,,,,,,
105,,,,,,
107,3,26,21,27,5,24
109,2,2,2,,20,
111,,,,,,
112,24,27,20,,19,
114,,,,,,
118,25,0,22,26,6,1
119,,,,,,
120,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
129,,,,,,
132,,,,,,
134,,,,,,
136,,,,,,
137,,,,,,
138,26,,23,,21,8
140,,,,,,
142,,,,,,
143,,,,,,
146,,,,,,
148,,46,,,,
151,23,28,18,,18,
152,,,,,,
154,,,,,,
155,,,,,,
157,,,,,,
159,34,44,38,,42,
160,11,10,11,10,17,10
163,,,,,,
164,,,,,,
168,27,24,,,,
170,,,,,,
171,,,,,,
172,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,22,23,,,9,23
180,,,,,,
181,9,,,11,,12
182,,,,,,
185,,,,,,
187,,,,,,
189,,,,,,
190,,,,,,
192,,,,,,
