Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
2,,,,0,,
3,0,0,0,0,0,0
7,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
18,,,,,,
23,0,,0,,0,
26,,,,,,
28,0,0,0,0,0,0
32,,,,,,
34,,,,,,
36,0,,0,,0,0
37,,,,,,
38,,,,,,
39,,,,,,
41,,,,,,
43,,,,,,
46,,,,,,0
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
54,,,,,,
55,,,,,,
58,0,0,,,,0
61,0,,0,,,
63,,,,,,
67,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
76,,,,,,
77,,,,,,
78,0,,0,,,
79,,,,,,
80,,,,,,
82,0,0,0,0,0,0
83,,,,,,
84,,,,,,
86,0,0,0,,0,0
89,,,,,,
90,,,,,,
92,,,,,,
96,,,,,,
100,0,,0,,0,
101,,,,,,
103,0,0,0,0,0,0
104,,,,,,
105,,,,,,
107,0,0,0,0,0,0
109,0,0,0,,0,
111,,,,,,
112,0,0,0,,0,
114,,,,,,
118,0,0,0,0,0,0
119,,,,,,
120,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
129,,,,,,
132,,,,,,
134,,,,,,
136,,,,,,
137,,,,,,
138,0,,0,,0,0
140,,,,,,
142,,,,,,
143,,,,,,
146,,,,,,
148,,0,,,,
151,0,0,0,,0,
152,,,,,,
154,,,,,,
155,,,,,,
157,,,,,,
159,0,0,0,,0,
160,0,0,0,0,0,0
163,,,,,,
164,,,,,,
168,0,0,,,,
170,,,,,,
171,,,,,,
172,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,0,0,,,0,0
180,,,,,,
181,0,,,0,,0
182,,,,,,
185,,,,,,
187,,,,,,
189,,,,,,
190,,,,,,
192,,,,,,
199,,,,,,
200,0,0,0,,0,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
207,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,0,,0,,,
216,,,,,,
217,,,,,,
220,0,,0,,,
221,0,,0,0,0,0
223,,,,,,
224,0,,0,,0,
226,,,,,,
227,,,,,,
228,,,,,,
