Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
2,,,,273.2663,,
3,183.9779,183.9779,183.9779,183.9779,183.9779,142.9513
7,743.2,758.1996,758.1996,743.2,758.1996,743.2
12,326.0007,144.0224,144.0224,326.0007,326.0007,326.0007
13,834.1972,834.1972,834.1972,834.1972,834.1972,834.1972
18,,,,,,
23,138.9804,,138.9804,,138.9804,
26,,,,,,
28,286.881,286.881,286.881,286.881,286.881,286.881
32,,,,,,
34,,,,,,
36,123.0795,,123.0795,,123.0795,123.0795
37,,,,,,
38,,,,,,
39,,,,,,
41,,,,,,
43,,,,,,
46,,,,,,142.9514
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
54,,,,,,
55,,,,,,
58,740.1876,740.1876,,,,740.1876
61,368.2565,,368.2565,,,
63,,,,,,
67,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
76,,,,,,
77,,,,,,
78,368.2561,,368.2561,,,
79,,,,,,
80,,,,,,
82,610.1598,610.1598,610.1598,610.1598,610.1598,610.1598
83,,,,,,
84,,,,,,
86,462.123,462.123,462.123,,462.123,462.123
89,,,,,,
90,,,,,,
92,,,,,,
96,,,,,,
100,610.1609,,610.1609,,610.1609,
101,,,,,,
103,284.1984,289.1538,284.1984,284.1984,284.1984,289.1538
104,,,,,,
105,,,,,,
107,70.0539,227.1882,227.1882,227.1882,227.1882,227.1882
109,206.1514,206.1514,206.1514,,206.1514,
111,,,,,,
112,662.4465,662.4465,662.4465,,662.4465,
114,,,,,,
118,284.1985,284.1985,284.1985,284.1985,284.1985,284.1985
119,,,,,,
120,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
129,,,,,,
132,,,,,,
134,,,,,,
136,,,,,,
137,,,,,,
138,462.1228,,462.1228,,462.1228,462.1228
140,,,,,,
142,,,,,,
143,,,,,,
146,,,,,,
148,,218.1278,,,,
151,370.3077,370.3077,370.3077,,370.3077,
152,,,,,,
154,,,,,,
155,,,,,,
157,,,,,,
159,261.3415,261.3415,261.3415,,261.3415,
160,278.1513,278.1513,278.1513,278.1513,278.1513,278.1513
163,,,,,,
164,,,,,,
168,740.1873,740.1873,,,,
170,,,,,,
171,,,,,,
172,,,,,,
175,,,,,,
176,,,,,,
178,,,,,,
179,536.1421,536.1421,,,536.1421,536.1421
180,,,,,,
181,743.1985,,,743.1985,,743.1985
182,,,,,,
185,,,,,,
187,,,,,,
189,,,,,,
190,,,,,,
192,,,,,,
199,,,,,,
200,308.2194,308.2194,308.2194,,308.2194,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
207,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,368.2564,,368.2564,,,
216,,,,,,
217,,,,,,
220,366.2404,,366.2404,,,
221,758.199,,758.199,758.199,758.199,758.199
223,,,,,,
224,121.9683,,121.9683,,121.9683,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,92.051,
230,,,,,,
232,,,,,,
233,,,,,,
234,366.2402,,366.2402,,,
235,,,,,,
237,206.1513,206.1513,206.1513,,206.1513,
238,,,,,,
240,,517.1731,517.1731,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,216.0992,216.0992,216.0992,216.0992,216.0992,216.0992
248,,,,,,
249,,,,,,
250,388.1041,388.1041,388.1041,388.1041,388.1041,388.1041
252,,,,,,
255,,,,,,
256,312.2297,312.2297,312.2297,312.2297,312.2297,
257,,,,,,
258,,,,,,
259,308.2193,308.2193,308.2193,,308.2193,
260,261.3414,261.3414,261.3414,,261.3414,
262,,,,,,
263,314.1151,314.1151,314.1151,,314.1151,
264,,,,,,
265,,,,,,
267,,,,,,
269,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
275,368.2583,,,,,
276,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
284,,,,,,
286,,,,,,
287,,,,,,
288,388.1043,388.1043,388.1043,,388.1043,
290,,,,,,
