Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,0,210,3.0,0.0,0.0,492.029,1.9969,neg_singcos_edge,cosine_edge,,,0.95,NEG,0.95
1,0,2,3.0,0.0,0.0,0.0,3.9939,neg_singcos_edge,cosine_edge,,,0.7,NEG,0.7
2,0,192,3.0,0.0,0.0,0.112,1.997,neg_singcos_edge,cosine_edge,,,0.95,NEG,0.95
3,0,212,2.0,0.0,0.0,492.029,0.0,neg_singcos_edge,cosine_edge,,,1.0,NEG,1.0
4,0,258,2.0,0.0,0.0,3.303,39.0092,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
5,2,192,2.0,0.0,0.0,0.112,1.9969,neg_singcos_edge,cosine_edge,,,0.79,NEG,0.79
6,2,210,2.0,0.0,0.0,492.029,1.997,neg_singcos_edge,cosine_edge,,,0.79,NEG,0.79
7,2,212,2.0,0.0,0.0,492.029,3.9939,neg_singcos_edge,cosine_edge,,,0.68,NEG,0.68
8,4,22,4.0,21.0,0.19,-0.697,89.9959,neg_frag_edge,frag_edge,,,89.9959,NEG,0.0
9,4,315,3.0,26.0,0.12,-1.636,88.9881,neg_frag_edge,frag_edge,,,88.9881,NEG,0.0
10,7,324,0.0,0.0,0.0,0.019,-145.9312,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
11,7,315,3.0,24.0,0.12,-0.883,43.9901,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
12,8,53,3.0,0.0,0.0,1.251,71.014,neg_singcos_edge,singcos_edge,,,0.64,NEG,0.64
13,8,20,0.0,0.0,0.0,0.407,-67.9879,neg_cos_edge,cos_edge,,,0.68,NEG,0.68
14,8,303,5.0,28.0,0.18,0.809,87.0089,neg_frag_edge,frag_edge,,,87.0089,NEG,0.0
15,8,23,9.0,42.0,0.21,0.008,43.9902,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
16,9,108,4.0,0.0,0.0,94.306,72.0391,neg_singcos_edge,singcos_edge,,,0.6,NEG,0.6
17,9,15,0.0,0.0,0.0,0.039,46.0054,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
18,11,362,0.0,0.0,0.0,-5.317,-15.9723,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
19,11,292,3.0,0.0,0.0,316.237,6.0176,neg_singcos_edge,singcos_edge,,,0.93,NEG,0.93
20,11,302,3.0,18.0,0.17,0.054,129.959,neg_frag_edge,frag_edge,,,129.959,NEG,0.0
21,16,196,0.0,0.0,0.0,7.535,46.0051,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
22,16,48,6.0,0.0,0.0,38.831,46.0048,neg_singcos_edge,singcos_edge,,,0.98,NEG,0.98
23,16,518,0.0,0.0,0.0,13.295,-0.0011,neg_cos_edge,cos_edge,,,0.96,NEG,0.96
24,16,196,8.0,40.0,0.2,7.535,46.0051,neg_frag_edge,frag_edge,HCOOH,,HCOOH,NEG,0.0
25,20,8,9.0,36.0,0.25,-0.407,67.9879,neg_frag_edge,frag_edge,,,67.9879,NEG,0.0
26,20,23,6.0,35.0,0.17,-0.399,111.9781,neg_frag_edge,frag_edge,,,111.9781,NEG,0.0
27,22,77,2.0,0.0,0.0,509.162,0.0,neg_singcos_edge,singcos_edge,,,0.77,NEG,0.77
28,22,134,2.0,0.0,0.0,24.406,0.0001,neg_singcos_edge,singcos_edge,,,0.83,NEG,0.83
29,23,303,5.0,31.0,0.16,0.801,43.0187,neg_frag_edge,frag_edge,,,43.0187,NEG,0.0
30,23,24,12.0,0.0,0.0,4.665,0.0131,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
31,24,31,4.0,28.0,0.14,-0.247,43.9898,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
32,27,315,3.0,26.0,0.12,-1.05,205.916,neg_frag_edge,frag_edge,,,205.916,NEG,0.0
33,27,7,4.0,17.0,0.24,-0.167,161.9259,neg_frag_edge,frag_edge,,,161.9259,NEG,0.0
34,27,255,4.0,0.0,0.0,23.682,0.0007,neg_singcos_edge,singcos_edge,,,0.9,NEG,0.9
