Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,002_2_Hydroxy_4_6_dimethoxyacetophenone
0,195.8102,507.308,7044000.0,1,0.0,0,neg_cossingleton,cossingleton,0,,NEG,4.0,130,,,,,,,,,,,,,,,,,,,,,30452995.05
2,199.8041,507.308,3041000.0,1,2.0,0,neg_cossingleton,cossingleton,0,,NEG,8.0,130,,,,,,,,,,,,,,,,,,,,,18094447.01
4,235.9255,512.206,902000.0,-1,4.0,0,neg_precursor,precursor,0,,NEG,10.0,18,,,,,,,,,,,,,,,,,,,,,102187320.9
5,205.839,507.446,2666400.0,1,5.0,0,neg_adduct,adduct,0,[2M+Cl]-,NEG,13.0,62,,,,,,,,,,,,,,,,,,,,,14774168.92
7,190.9275,512.959,2713000.0,1,7.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,17.0,18,,,,,,,,,,,,,,,,,,,,,70343491.06
8,231.9311,505.605,918200.0,-1,8.0,0,neg_adduct,adduct,0,[M-H]-,NEG,19.0,1,,,,,,,,,,,,,,,,,,,,,27563440.16
9,507.1213,370.013,8398000.0,-1,9.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,20.0,47,,,,,,,,,,,,,,,,,,,,,27123822.0
11,304.9139,505.773,366900.0,-1,11.0,0,neg_adduct,adduct,0,[M-2H+Na]-,NEG,25.0,15,,,,,,,,,,,,,,,,,,,,,4089846.386
12,194.0815,222.231,720000.0,-1,12.0,0,neg_cossingleton,cossingleton,0,,NEG,29.0,108,,,,,,,,,,,,,,,,,,,,,13521112.07
15,461.1159,369.974,1362000.0,-1,15.0,0,neg_adduct,adduct,0,[M-H]-,NEG,39.0,47,,,,,,,,,,,,,,,,,,,,,11160028.3
