Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
0,195.8102,507.308,7044000.0,1,0.0,0,neg_cossingleton,cossingleton,0,,NEG,4.0,130,,,,,,,,,,,,,,,,,,,,,25542073.03
1,397.1865,211.637,326000.0,-1,1.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,5.0,3,,,,,,,,,,,,,,,,,,,,,83400694.48
2,199.8041,507.308,3041000.0,1,2.0,0,neg_cossingleton,cossingleton,0,,NEG,8.0,130,,,,,,,,,,,,,,,,,,,,,14886236.19
3,595.1202,448.511,1863000.0,-1,3.0,0,neg_cossingleton,cossingleton,0,,NEG,9.0,11,,,,,,,,,,,,,,,,,,,,,38451831.22
4,235.9255,512.206,902000.0,-1,4.0,0,neg_precursor,precursor,0,,NEG,10.0,18,,,,,,,,,,,,,,,,,,,,,105347327.0
5,205.839,507.446,2666400.0,1,5.0,0,neg_adduct,adduct,0,[2M+Cl]-,NEG,13.0,62,,,,,,,,,,,,,,,,,,,,,13264041.51
7,190.9275,512.959,2713000.0,1,7.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,17.0,18,,,,,,,,,,,,,,,,,,,,,79384329.01
8,231.9311,505.605,918200.0,-1,8.0,0,neg_adduct,adduct,0,[M-H]-,NEG,19.0,1,,,,,,,,,,,,,,,,,,,,,30183717.7
9,507.1213,370.013,8398000.0,-1,9.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,20.0,47,,,,,,,,,,,,,,,,,,,,,14526374.58
10,174.955,5.587,784000.0,1,10.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,24.0,10,,,,,,,,,,,,,,,,,,,,,33418905.81
11,304.9139,505.773,366900.0,-1,11.0,0,neg_adduct,adduct,0,[M-2H+Na]-,NEG,25.0,15,,,,,,,,,,,,,,,,,,,,,4779400.213
13,387.1579,211.169,71300.0,-1,13.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,31.0,3,,,,,,,,,,,,,,,,,,,,,15404837.07
14,369.1918,168.02,520100.0,-1,14.0,0,neg_cossingleton,cossingleton,0,,NEG,35.0,141,,,,,,,,,,,,,,,,,,,,,17134526.16
15,461.1159,369.974,1362000.0,-1,15.0,0,neg_adduct,adduct,0,[M-H]-,NEG,39.0,47,,,,,,,,,,,,,,,,,,,,,6521008.191000001
16,789.1443,445.639,574700.0,-1,16.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,40.0,17,,,,,,,,,,,,,,,,,,,,,5432813.938999999
17,414.1767,211.637,504500.0,-1,17.0,0,neg_singleton,singleton,0,,NEG,41.0,-1,,,,,,,,,,,,,,,,,,,,,17223268.11
18,192.9279,505.542,440600.0,1,18.0,0,neg_fragment,fragment,0,,NEG,43.0,1,,,,,,,,,,,,,,,,,,,,,4800151.233
19,789.1446,457.418,542200.0,-1,19.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,46.0,50,,,,,,,,,,,,,,,,,,,,,6813728.029
20,299.919,505.198,163600.0,-1,20.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,47.0,1,,,,,,,,,,,,,,,,,,,,,3807884.002
21,206.972,510.907,414000.0,1,21.0,0,neg_cossingleton,cossingleton,0,,NEG,49.0,107,,,,,,,,,,,,,,,,,,,,,15933704.64
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,16406919.62
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,8125076.061000001
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,14556180.66
26,369.1917,211.637,190000.0,-1,26.0,0,neg_cossingleton,cossingleton,0,,NEG,60.0,141,,,,,,,,,,,,,,,,,,,,,5158639.717
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,11026854.42
29,239.9024,515.825,172000.0,1,29.0,0,neg_adduct,adduct,0,[M-H]-,NEG,69.0,51,,,,,,,,,,,,,,,,,,,,,9814719.021
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,1245348.555
31,143.938,510.509,339100.0,1,31.0,0,neg_fragment,fragment,0,,NEG,71.0,99,,,,,,,,,,,,,,,,,,,,,8204516.172999999
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,7261337.005
33,413.1816,164.306,32000.0,-1,33.0,0,neg_singleton,singleton,0,,NEG,75.0,-1,,,,,,,,,,,,,,,,,,,,,2628795.821
34,369.1917,122.475,95800.0,-1,34.0,0,neg_cossingleton,cossingleton,0,,NEG,77.0,141,,,,,,,,,,,,,,,,,,,,,3114641.03
35,184.9289,452.287,649000.0,-1,35.0,0,neg_cossingleton,cossingleton,0,,NEG,78.0,1,,,,,,,,,,,,,,,,,,,,,3468910.6560000004
