Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,007_12_Desoxydiacetylpyxinol
0,195.8102,507.308,7044000.0,1,0.0,0,neg_cossingleton,cossingleton,0,,NEG,4.0,130,,,,,,,,,,,,,,,,,,,,,28075800.93
2,199.8041,507.308,3041000.0,1,2.0,0,neg_cossingleton,cossingleton,0,,NEG,8.0,130,,,,,,,,,,,,,,,,,,,,,16603504.42
3,595.1202,448.511,1863000.0,-1,3.0,0,neg_cossingleton,cossingleton,0,,NEG,9.0,11,,,,,,,,,,,,,,,,,,,,,39983089.46
4,235.9255,512.206,902000.0,-1,4.0,0,neg_precursor,precursor,0,,NEG,10.0,18,,,,,,,,,,,,,,,,,,,,,105777568.7
5,205.839,507.446,2666400.0,1,5.0,0,neg_adduct,adduct,0,[2M+Cl]-,NEG,13.0,62,,,,,,,,,,,,,,,,,,,,,15531663.54
7,190.9275,512.959,2713000.0,1,7.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,17.0,18,,,,,,,,,,,,,,,,,,,,,75943451.13
8,231.9311,505.605,918200.0,-1,8.0,0,neg_adduct,adduct,0,[M-H]-,NEG,19.0,1,,,,,,,,,,,,,,,,,,,,,30066740.2
9,507.1213,370.013,8398000.0,-1,9.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,20.0,47,,,,,,,,,,,,,,,,,,,,,11382145.22
11,304.9139,505.773,366900.0,-1,11.0,0,neg_adduct,adduct,0,[M-2H+Na]-,NEG,25.0,15,,,,,,,,,,,,,,,,,,,,,4736984.324
15,461.1159,369.974,1362000.0,-1,15.0,0,neg_adduct,adduct,0,[M-H]-,NEG,39.0,47,,,,,,,,,,,,,,,,,,,,,4526343.716
