Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,0,2,3.0,0.0,0.0,0.0,3.9939,neg_singcos_edge,cosine_edge,,,0.7,NEG,0.7
1,0,192,3.0,0.0,0.0,0.112,1.997,neg_singcos_edge,cosine_edge,,,0.95,NEG,0.95
2,2,192,2.0,0.0,0.0,0.112,1.9969,neg_singcos_edge,cosine_edge,,,0.79,NEG,0.79
3,4,22,4.0,21.0,0.19,-0.697,89.9959,neg_frag_edge,frag_edge,,,89.9959,NEG,0.0
4,4,315,3.0,26.0,0.12,-1.636,88.9881,neg_frag_edge,frag_edge,,,88.9881,NEG,0.0
5,7,324,0.0,0.0,0.0,0.019,-145.9312,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
6,7,315,3.0,24.0,0.12,-0.883,43.9901,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
7,8,303,5.0,28.0,0.18,0.809,87.0089,neg_frag_edge,frag_edge,,,87.0089,NEG,0.0
8,8,53,3.0,0.0,0.0,1.251,71.014,neg_singcos_edge,singcos_edge,,,0.64,NEG,0.64
9,8,23,9.0,42.0,0.21,0.008,43.9902,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
10,8,20,0.0,0.0,0.0,0.407,-67.9879,neg_cos_edge,cos_edge,,,0.68,NEG,0.68
11,9,15,0.0,0.0,0.0,0.039,46.0054,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
12,9,108,4.0,0.0,0.0,94.306,72.0391,neg_singcos_edge,singcos_edge,,,0.6,NEG,0.6
13,11,362,0.0,0.0,0.0,-5.317,-15.9723,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
14,11,302,3.0,18.0,0.17,0.054,129.959,neg_frag_edge,frag_edge,,,129.959,NEG,0.0
15,15,94,5.0,0.0,0.0,30.743,74.0192,neg_singcos_edge,singcos_edge,,,0.94,NEG,0.94
16,16,196,8.0,40.0,0.2,7.535,46.0051,neg_frag_edge,frag_edge,HCOOH,,HCOOH,NEG,0.0
17,16,196,0.0,0.0,0.0,7.535,46.0051,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
18,16,48,6.0,0.0,0.0,38.831,46.0048,neg_singcos_edge,singcos_edge,,,0.98,NEG,0.98
19,19,318,0.0,0.0,0.0,-0.03,46.0052,neg_cos_edge,cos_edge,,,0.97,NEG,0.97
20,20,8,9.0,36.0,0.25,-0.407,67.9879,neg_frag_edge,frag_edge,,,67.9879,NEG,0.0
21,20,23,6.0,35.0,0.17,-0.399,111.9781,neg_frag_edge,frag_edge,,,111.9781,NEG,0.0
22,22,77,2.0,0.0,0.0,509.162,0.0,neg_singcos_edge,singcos_edge,,,0.77,NEG,0.77
23,23,303,5.0,31.0,0.16,0.801,43.0187,neg_frag_edge,frag_edge,,,43.0187,NEG,0.0
