Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,008_12_Desoxypyxinol
0,195.8102,507.308,7044000.0,1,0.0,0,neg_cossingleton,cossingleton,0,,NEG,4.0,130,,,,,,,,,,,,,,,,,,,,,29621181.79
2,199.8041,507.308,3041000.0,1,2.0,0,neg_cossingleton,cossingleton,0,,NEG,8.0,130,,,,,,,,,,,,,,,,,,,,,17655864.78
3,595.1202,448.511,1863000.0,-1,3.0,0,neg_cossingleton,cossingleton,0,,NEG,9.0,11,,,,,,,,,,,,,,,,,,,,,59578805.42
4,235.9255,512.206,902000.0,-1,4.0,0,neg_precursor,precursor,0,,NEG,10.0,18,,,,,,,,,,,,,,,,,,,,,116689068.0
5,205.839,507.446,2666400.0,1,5.0,0,neg_adduct,adduct,0,[2M+Cl]-,NEG,13.0,62,,,,,,,,,,,,,,,,,,,,,15587825.62
6,207.9305,513.335,1112000.0,-1,6.0,0,neg_cossingleton,cossingleton,0,,NEG,15.0,31,,,,,,,,,,,,,,,,,,,,,76718170.42
7,190.9275,512.959,2713000.0,1,7.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,17.0,18,,,,,,,,,,,,,,,,,,,,,79088634.73
8,231.9311,505.605,918200.0,-1,8.0,0,neg_adduct,adduct,0,[M-H]-,NEG,19.0,1,,,,,,,,,,,,,,,,,,,,,31007834.44
9,507.1213,370.013,8398000.0,-1,9.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,20.0,47,,,,,,,,,,,,,,,,,,,,,121596812.8
11,304.9139,505.773,366900.0,-1,11.0,0,neg_adduct,adduct,0,[M-2H+Na]-,NEG,25.0,15,,,,,,,,,,,,,,,,,,,,,4162834.33
15,461.1159,369.974,1362000.0,-1,15.0,0,neg_adduct,adduct,0,[M-H]-,NEG,39.0,47,,,,,,,,,,,,,,,,,,,,,49357644.78
16,789.1443,445.639,574700.0,-1,16.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,40.0,17,,,,,,,,,,,,,,,,,,,,,6878906.112000001
19,789.1446,457.418,542200.0,-1,19.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,46.0,50,,,,,,,,,,,,,,,,,,,,,7875055.171
20,299.919,505.198,163600.0,-1,20.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,47.0,1,,,,,,,,,,,,,,,,,,,,,3289658.228
21,206.972,510.907,414000.0,1,21.0,0,neg_cossingleton,cossingleton,0,,NEG,49.0,107,,,,,,,,,,,,,,,,,,,,,15815449.03
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,17197762.86
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,8040894.663
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,16499260.88
25,182.9019,509.951,383100.0,1,25.0,0,neg_cossingleton,cossingleton,0,,NEG,59.0,126,,,,,,,,,,,,,,,,,,,,,6124598.051
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,10834724.12
29,239.9024,515.825,172000.0,1,29.0,0,neg_adduct,adduct,0,[M-H]-,NEG,69.0,51,,,,,,,,,,,,,,,,,,,,,10372402.78
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,1118111.029
31,143.938,510.509,339100.0,1,31.0,0,neg_fragment,fragment,0,,NEG,71.0,99,,,,,,,,,,,,,,,,,,,,,8807667.115
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,7504447.081
36,567.0881,457.874,155800.0,-1,36.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,80.0,22,,,,,,,,,,,,,,,,,,,,,3915002.46
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,4084721.731
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,475606.2096
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,1513087.295
48,743.1395,484.47,240800.0,-1,48.0,0,neg_cossingleton,cossingleton,0,,NEG,94.0,17,,,,,,,,,,,,,,,,,,,,,2874533.204
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,3666570.433
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,1586460.41
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1366579.404
59,184.8629,504.339,467400.0,1,59.0,0,neg_cossingleton,cossingleton,0,,NEG,113.0,28,,,,,,,,,,,,,,,,,,,,,991800.7423
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,724778.1218
62,521.0812,448.137,108900.0,-1,62.0,0,neg_adduct,adduct,0,[M-H]-,NEG,117.0,22,,,,,,,,,,,,,,,,,,,,,3096238.539
65,134.864,15.72,563500.0,1,65.0,0,neg_cossingleton,cossingleton,0,,NEG,121.0,123,,,,,,,,,,,,,,,,,,,,,1404425.0880000002
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,1443545.737
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,243836.537
72,160.8409,15.602,158900.0,-1,72.0,0,neg_singleton,singleton,0,,NEG,134.0,-1,,,,,,,,,,,,,,,,,,,,,198717.2803
74,815.1791,457.848,167500.0,-1,74.0,0,neg_adduct,adduct,0,[M-H]-,NEG,136.0,103,,,,,,,,,,,,,,,,,,,,,1806060.644
75,313.0791,501.754,616500.0,1,75.0,0,neg_precursor,precursor,0,,NEG,138.0,1,,,,,,,,,,,,,,,,,,,,,494844.3904
77,145.9296,3.741,32100.0,1,77.0,0,neg_cossingleton,cossingleton,0,,NEG,141.0,18,,,,,,,,,,,,,,,,,,,,,1643201.971
81,217.8093,15.338,60000.0,1,81.0,0,neg_singleton,singleton,0,,NEG,146.0,-1,,,,,,,,,,,,,,,,,,,,,196264.2367
82,817.1593,476.564,160900.0,-1,82.0,0,neg_cossingleton,cossingleton,0,,NEG,147.0,34,,,,,,,,,,,,,,,,,,,,,1260364.321
83,239.0589,440.199,80200.0,-1,83.0,0,neg_cossingleton,cossingleton,0,,NEG,148.0,109,,,,,,,,,,,,,,,,,,,,,682285.7963
85,191.9453,16.481,170800.0,1,85.0,0,neg_cossingleton,cossingleton,0,,NEG,151.0,142,,,,,,,,,,,,,,,,,,,,,545513.9943
88,803.1961,439.993,240200.0,-1,88.0,0,neg_cossingleton,cossingleton,0,,NEG,154.0,109,,,,,,,,,,,,,,,,,,,,,530599.2129
90,671.1,420.672,229800.0,-1,90.0,0,neg_singleton,singleton,0,,NEG,156.0,-1,,,,,,,,,,,,,,,,,,,,,913260.3607
91,697.1454,392.945,180400.0,-1,91.0,0,neg_singleton,singleton,0,,NEG,157.0,-1,,,,,,,,,,,,,,,,,,,,,538477.7124
92,336.8594,1.751,107700.0,-1,92.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,158.0,30,,,,,,,,,,,,,,,,,,,,,568847.164
93,165.04,501.754,75100.0,-1,93.0,0,neg_singleton,singleton,0,,NEG,159.0,-1,,,,,,,,,,,,,,,,,,,,,363403.6031
94,535.1351,400.717,165600.0,-1,94.0,0,neg_cossingleton,cossingleton,0,,NEG,161.0,47,,,,,,,,,,,,,,,,,,,,,759471.4920000001
96,381.174,381.466,160200.0,-1,96.0,0,neg_cossingleton,cossingleton,0,,NEG,164.0,28,,,,,,,,,,,,,,,,,,,,,2187859.418
97,611.1334,392.702,226100.0,-1,97.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,165.0,21,,,,,,,,,,,,,,,,,,,,,926820.274
99,951.2352,460.193,696200.0,-1,99.0,0,neg_cossingleton,cossingleton,0,,NEG,169.0,11,,,,,,,,,,,,,,,,,,,,,1659391.322
100,126.9036,16.918,1006300.0,1,100.0,0,neg_singleton,singleton,0,,NEG,170.0,-1,,,,,,,,,,,,,,,,,,,,,215354.7573
101,224.803,16.551,199800.0,1,101.0,0,neg_cossingleton,cossingleton,0,,NEG,171.0,131,,,,,,,,,,,,,,,,,,,,,135361.3651
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,208536.7318
105,226.8007,16.549,129100.0,1,105.0,0,neg_cossingleton,cossingleton,0,,NEG,176.0,131,,,,,,,,,,,,,,,,,,,,,107170.809
108,435.0822,275.707,216900.0,-1,108.0,0,neg_cossingleton,cossingleton,0,,NEG,180.0,47,,,,,,,,,,,,,,,,,,,,,135835.3574
110,285.2073,246.432,104200.0,-1,110.0,0,neg_adduct,adduct,0,[M-H]-,NEG,182.0,104,,,,,,,,,,,,,,,,,,,,,132383.755
114,255.2326,375.743,126800.0,-1,114.0,0,neg_singleton,singleton,0,,NEG,186.0,-1,,,,,,,,,,,,,,,,,,,,,6349199.297
117,367.2487,276.806,97200000.0,-1,117.0,0,neg_adduct,adduct,0,[M-H]-,NEG,189.0,7,Dihydromuronic acid,367.2484,275.695007,[M-H]-,C21H36O5,CC(=O)CCCCCCCCCCCCC[C@@H]1C(C(C)C(=O)O1)C(=O)O,"InChI=1S/C21H36O5/c1-16(22)14-12-10-8-6-4-3-5-7-9-11-13-15-18-19(20(23)24)17(2)21(25)26-18/h17-19H,3-15H2,1-2H3,(H,23,24)/t17?,18-,19?/m1/s1",SPGPUDJMXMJNCU-JLAWEPINSA-N,Paraconic acids,Thermo Q-Exactive Focus,0.95,4,0.3,,,,,,,,2862873.539
119,297.7332,507.512,60900.0,-1,119.0,0,neg_singleton,singleton,0,,NEG,191.0,-1,,,,,,,,,,,,,,,,,,,,,2335215.349
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,958202.6104
140,435.2374,274.963,471000.0,-1,140.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,218.0,7,,,,,,,,,,,,,,,,,,,,,115912.1411
142,212.9101,443.642,72600.0,-1,142.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,220.0,46,,,,,,,,,,,,,,,,,,,,,1194459.406
148,215.1649,246.872,14970000.0,-1,148.0,0,neg_cossingleton,cossingleton,0,,NEG,226.0,123,,,,,,,,,,,,,,,,,,,,,1176269.681
162,235.9255,534.496,273500.0,-1,162.0,0,neg_precursor,precursor,0,,NEG,241.0,31,,,,,,,,,,,,,,,,,,,,,35329824.55
163,212.9102,504.809,104900.0,-1,163.0,0,neg_cossingleton,cossingleton,0,,NEG,242.0,46,,,,,,,,,,,,,,,,,,,,,2722505.205
164,192.9976,340.007,398100.0,-1,164.0,0,neg_cossingleton,cossingleton,0,,NEG,243.0,126,,,,,,,,,,,,,,,,,,,,,9134710.206
165,559.3093,370.399,372900.0,-1,165.0,0,neg_cossingleton,cossingleton,0,,NEG,244.0,1,,,,,,,,,,,,,,,,,,,,,7413781.557999999
166,505.3898,369.897,57600.0,1,166.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,245.0,4,,,,,,,,,,,,,,,,,,,,,4212342.402
167,471.349,333.339,146100.0,-1,167.0,0,neg_cossingleton,cossingleton,0,,NEG,248.0,123,,,,,,,,,,,,,,,,,,,,,1992815.669
169,367.2487,352.421,185100.0,-1,169.0,0,neg_cossingleton,cossingleton,0,,NEG,250.0,7,,,,,,,,,,,,,,,,,,,,,2874454.58
170,248.9607,374.757,72500.0,-1,170.0,0,neg_singleton,singleton,0,,NEG,251.0,-1,,,,,,,,,,,,,,,,,,,,,4442758.267
171,316.9486,339.464,67500.0,-1,171.0,0,neg_singleton,singleton,0,,NEG,252.0,-1,,,,,,,,,,,,,,,,,,,,,4031160.584
172,339.2005,366.059,107600.0,-1,172.0,0,neg_cossingleton,cossingleton,0,,NEG,253.0,148,,,,,,,,,,,,,,,,,,,,,3396374.778
