Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,0,2,3.0,0.0,0.0,0.0,3.9939,neg_singcos_edge,cosine_edge,,,0.7,NEG,0.7
1,0,192,3.0,0.0,0.0,0.112,1.997,neg_singcos_edge,cosine_edge,,,0.95,NEG,0.95
2,0,258,2.0,0.0,0.0,3.303,39.0092,neg_singcos_edge,cosine_edge,,,0.66,NEG,0.66
3,2,192,2.0,0.0,0.0,0.112,1.9969,neg_singcos_edge,cosine_edge,,,0.79,NEG,0.79
4,4,22,4.0,21.0,0.19,-0.697,89.9959,neg_frag_edge,frag_edge,,,89.9959,NEG,0.0
5,4,315,3.0,26.0,0.12,-1.636,88.9881,neg_frag_edge,frag_edge,,,88.9881,NEG,0.0
6,7,315,3.0,24.0,0.12,-0.883,43.9901,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
7,7,324,0.0,0.0,0.0,0.019,-145.9312,neg_cos_edge,cos_edge,,,0.9,NEG,0.9
8,8,23,9.0,42.0,0.21,0.008,43.9902,neg_frag_edge,frag_edge,CO2,,CO2,NEG,0.0
9,8,303,5.0,28.0,0.18,0.809,87.0089,neg_frag_edge,frag_edge,,,87.0089,NEG,0.0
10,8,375,5.0,30.0,0.17,-0.471,101.9961,neg_frag_edge,frag_edge,,,101.9961,NEG,0.0
11,8,348,0.0,0.0,0.0,0.586,-67.988,neg_cos_edge,cos_edge,,,0.53,NEG,0.53
12,8,53,3.0,0.0,0.0,1.251,71.014,neg_singcos_edge,singcos_edge,,,0.64,NEG,0.64
13,9,401,9.0,0.0,0.0,39.403,46.0051,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
14,9,15,0.0,0.0,0.0,0.039,46.0054,neg_cos_edge,cos_edge,,,0.98,NEG,0.98
15,10,429,0.0,0.0,0.0,-9.595,10.0289,neg_cos_edge,cos_edge,,,0.93,NEG,0.93
16,10,270,0.0,0.0,0.0,-3.461,-129.9591,neg_cos_edge,cos_edge,,,0.78,NEG,0.78
17,11,302,3.0,18.0,0.17,0.054,129.959,neg_frag_edge,frag_edge,,,129.959,NEG,0.0
18,11,362,0.0,0.0,0.0,-5.317,-15.9723,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
19,15,422,6.0,0.0,0.0,128.093,46.0055,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
20,19,318,0.0,0.0,0.0,-0.03,46.0052,neg_cos_edge,cos_edge,,,0.97,NEG,0.97
21,22,421,3.0,0.0,0.0,509.786,0.0,neg_singcos_edge,singcos_edge,,,0.63,NEG,0.63
22,23,24,12.0,0.0,0.0,4.665,0.0131,neg_singcos_edge,singcos_edge,,,0.96,NEG,0.96
23,23,375,4.0,31.0,0.13,-0.479,58.0059,neg_frag_edge,frag_edge,,,58.0059,NEG,0.0
