Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,1563,40,0.0,0.0,0.0,0.0,-1.0077,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
1,1563,37,0.0,0.0,0.0,0.0,66.9795,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
2,1564,211,0.0,0.0,0.0,0.0,44.9971,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
3,1564,92,0.0,0.0,0.0,0.0,190.929,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
4,1565,221,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
5,1565,231,0.0,0.0,0.0,0.0,66.9797,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
6,1566,10,0.0,0.0,0.0,0.0,44.9974,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
7,1566,429,0.0,0.0,0.0,0.0,34.9685,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
8,1566,270,0.0,0.0,0.0,0.0,174.9565,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
9,1567,303,0.0,0.0,0.0,0.0,-1.0086,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
10,1567,307,0.0,0.0,0.0,0.0,166.9055,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
11,1567,39,0.0,0.0,0.0,0.0,182.8793,neg_add_edge,add_edge,,[2M-2H+K]-,[2M-2H+K]-,NEG,0.0
12,1567,361,0.0,0.0,0.0,0.0,182.8794,neg_add_edge,add_edge,,[2M-2H+K]-,[2M-2H+K]-,NEG,0.0
13,1568,7,0.0,0.0,0.0,0.0,44.9973,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
14,1568,324,0.0,0.0,0.0,0.0,190.9285,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
15,1569,11,0.0,0.0,0.0,0.0,20.9749,neg_add_edge,add_edge,,[M-2H+Na]-,[M-2H+Na]-,NEG,0.0
16,1569,362,0.0,0.0,0.0,0.0,36.9472,neg_add_edge,add_edge,,[M-2H+K]-,[M-2H+K]-,NEG,0.0
17,1570,302,0.0,0.0,0.0,0.0,-1.0081,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
18,1570,330,0.0,0.0,0.0,0.0,66.98,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
19,1571,46,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
20,1571,69,0.0,0.0,0.0,0.0,66.9796,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
21,1559,398,0.0,0.0,0.0,0.0,44.9979,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
22,1559,298,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
23,1559,309,0.0,0.0,0.0,0.0,66.9796,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
24,1559,300,0.0,0.0,0.0,0.0,371.2799,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
25,1559,304,0.0,0.0,0.0,0.0,393.2615,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
26,1560,295,0.0,0.0,0.0,0.0,-1.0078,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
27,1560,327,0.0,0.0,0.0,0.0,34.9692,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
28,1560,317,0.0,0.0,0.0,0.0,66.9797,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
29,1560,296,0.0,0.0,0.0,0.0,385.2954,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
30,1560,301,0.0,0.0,0.0,0.0,407.2771,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
31,1572,16,0.0,0.0,0.0,0.0,44.9976,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
32,1572,386,0.0,0.0,0.0,0.0,44.9974,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
33,1572,503,0.0,0.0,0.0,0.0,44.9966,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
34,1572,518,0.0,0.0,0.0,0.0,44.9987,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
35,1572,196,0.0,0.0,0.0,0.0,-1.0075,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
36,1573,36,0.0,0.0,0.0,0.0,44.9984,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
37,1573,222,0.0,0.0,0.0,0.0,44.9982,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
38,1573,62,0.0,0.0,0.0,0.0,-1.0085,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
39,1573,247,0.0,0.0,0.0,0.0,-1.0084,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
40,1574,312,0.0,0.0,0.0,0.0,130.4329,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
41,1574,5,0.0,0.0,0.0,0.0,120.4039,neg_add_edge,add_edge,,[2M+Cl]-,[2M+Cl]-,NEG,0.0
42,1575,338,0.0,0.0,0.0,0.0,34.9686,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
43,1575,125,0.0,0.0,0.0,0.0,230.8766,neg_add_edge,add_edge,,[3M+Cl]-,[3M+Cl]-,NEG,0.0
44,1575,373,0.0,0.0,0.0,0.0,230.8767,neg_add_edge,add_edge,,[3M+Cl]-,[3M+Cl]-,NEG,0.0
45,1561,476,0.0,0.0,0.0,0.0,-1.0081,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
46,1561,493,0.0,0.0,0.0,0.0,66.9804,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
47,1561,477,0.0,0.0,0.0,0.0,401.2541,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
48,1561,482,0.0,0.0,0.0,0.0,423.2356,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
49,1576,311,0.0,0.0,0.0,0.0,99.9251,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
50,1576,38,0.0,0.0,0.0,0.0,121.9072,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
51,1576,377,0.0,0.0,0.0,0.0,121.9072,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
52,1577,306,0.0,0.0,0.0,0.0,-1.0077,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
53,1577,419,0.0,0.0,0.0,0.0,66.9794,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
54,1577,417,0.0,0.0,0.0,0.0,377.14,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
55,1578,19,0.0,0.0,0.0,0.0,44.9973,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
56,1578,508,0.0,0.0,0.0,0.0,44.9982,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
57,1578,318,0.0,0.0,0.0,0.0,-1.0079,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
58,1579,142,0.0,0.0,0.0,0.0,66.9792,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
59,1579,120,0.0,0.0,0.0,0.0,166.9054,neg_add_edge,add_edge,,[2M-2H+Na]-,[2M-2H+Na]-,NEG,0.0
60,1579,137,0.0,0.0,0.0,0.0,182.8796,neg_add_edge,add_edge,,[2M-2H+K]-,[2M-2H+K]-,NEG,0.0
61,1580,128,0.0,0.0,0.0,0.0,351.0684,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
62,1580,97,0.0,0.0,0.0,0.0,305.0628,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
63,1580,129,0.0,0.0,0.0,0.0,305.0626,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
64,1581,195,0.0,0.0,0.0,0.0,387.0878,neg_add_edge,add_edge,,[2M-H+HCOOH]-,[2M-H+HCOOH]-,NEG,0.0
65,1581,194,0.0,0.0,0.0,0.0,341.0819,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
66,1581,480,0.0,0.0,0.0,0.0,341.0822,neg_add_edge,add_edge,,[2M-H]-,[2M-H]-,NEG,0.0
67,1582,319,0.0,0.0,0.0,0.0,44.9978,neg_add_edge,add_edge,,[M-H+HCOOH]-,[M-H+HCOOH]-,NEG,0.0
68,1582,308,0.0,0.0,0.0,0.0,34.9688,neg_add_edge,add_edge,,[M+Cl]-,[M+Cl]-,NEG,0.0
69,1583,8,0.0,0.0,0.0,0.0,-1.0082,neg_add_edge,add_edge,,[M-H]-,[M-H]-,NEG,0.0
70,1583,20,0.0,0.0,0.0,0.0,66.9797,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
71,1583,348,0.0,0.0,0.0,0.0,66.9798,neg_add_edge,add_edge,,[M-2H+Na+HCOOH]-,[M-2H+Na+HCOOH]-,NEG,0.0
