Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,004_Acetylportentol.mzXML Peak area,007_12_Desoxydiacetylpyxinol.mzXML Peak area,008_12_Desoxypyxinol.mzXML Peak area,011_Bourgeanic_acid.mzXML Peak area,012_Caperatic_acid.mzXML Peak area
1,397.1865,211.637,326000.0,-1,1.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,5.0,3,,,,,,,,,,,,,,,,,,,,,0.0,83400694.48,0.0,0.0,0.0,0.0
5,205.839,507.446,2666400.0,1,5.0,0,neg_adduct,adduct,0,[2M+Cl]-,NEG,13.0,62,,,,,,,,,,,,,,,,,,,,,14774168.92,13264041.51,15531663.54,15587825.62,15875961.97,15261666.22
7,190.9275,512.959,2713000.0,1,7.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,17.0,18,,,,,,,,,,,,,,,,,,,,,70343491.06,79384329.01,75943451.13,79088634.73,79105131.51,74517877.74
8,231.9311,505.605,918200.0,-1,8.0,0,neg_adduct,adduct,0,[M-H]-,NEG,19.0,1,,,,,,,,,,,,,,,,,,,,,27563440.16,30183717.7,30066740.2,31007834.44,29767519.34,30410217.0
9,507.1213,370.013,8398000.0,-1,9.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,20.0,47,,,,,,,,,,,,,,,,,,,,,27123822.0,14526374.58,11382145.22,121596812.8,3065080.8039999995,11428838.79
10,174.955,5.587,784000.0,1,10.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,24.0,10,,,,,,,,,,,,,,,,,,,,,0.0,33418905.81,0.0,0.0,27564182.34,29341640.44
11,304.9139,505.773,366900.0,-1,11.0,0,neg_adduct,adduct,0,[M-2H+Na]-,NEG,25.0,15,,,,,,,,,,,,,,,,,,,,,4089846.386,4779400.213,4736984.324,4162834.33,4313824.915,4756948.637
13,387.1579,211.169,71300.0,-1,13.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,31.0,3,,,,,,,,,,,,,,,,,,,,,0.0,15404837.07,0.0,0.0,0.0,0.0
15,461.1159,369.974,1362000.0,-1,15.0,0,neg_adduct,adduct,0,[M-H]-,NEG,39.0,47,,,,,,,,,,,,,,,,,,,,,11160028.3,6521008.191000001,4526343.716,49357644.78,1198728.562,2729015.251
16,789.1443,445.639,574700.0,-1,16.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,40.0,17,,,,,,,,,,,,,,,,,,,,,8013658.153,5432813.938999999,10098912.25,6878906.112000001,0.0,0.0
