feature_id,row m/z,rtinseconds,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
1,758.2228016,7.762328571,804427827.2,553307429.9,7576323.857000001,0.0,0.0,0.0
2,274.27412030000005,3.254916667,0.0,105207187.0,107861267.0,95621919.01,0.0,0.0
3,184.985714,8.417435000000001,0.0,49623329.68,44988623.12,44828960.84,0.0,0.0
4,167.0132939,8.428119697,0.0,31713612.93,33382685.92,32492614.57,0.0,0.0
5,182.9852898,8.50026,0.0,179698529.7,172658102.9,178844345.9,0.0,0.0
6,139.9880694,8.423721569,0.0,34594494.27,32925582.58,30742260.58,0.0,0.0
7,776.2340156,7.330525926,0.0,38483278.91,14860199.19,9600507.057,17749490.88,0.0
8,702.2141667999999,7.040525757999999,0.0,31438116.45,13585393.6,10521414.12,0.0,0.0
9,628.1955667999999,6.663811111,0.0,28368894.39,13095032.54,10413614.62,0.0,0.0
10,186.98116530000001,8.422,0.0,16376598.38,17726370.05,15959071.62,0.0,0.0
11,125.9866308,8.427472222,0.0,14995046.79,18242953.31,17160120.76,0.0,0.0
12,327.0084724,3.498708333,0.0,52907849.66,54408326.21,52438898.56,0.0,0.0
13,852.2315892000001,7.627770237999999,19981183.63,35206818.2,22311805.61,12068087.97,0.0,38997568.68
14,314.94410710000005,8.425520833,0.0,7104848.402000001,6963140.919,6819007.413,0.0,0.0
15,246.24281919999999,2.631863333,0.0,22579529.48,21945786.54,20275174.56,0.0,0.0
16,273.9172974,8.427254167000001,0.0,8423150.946,7169155.757,7489138.552999999,0.0,0.0
17,226.0124216,8.421116667,0.0,7589296.283,7565634.438999999,6190131.351,0.0,0.0
18,144.98227769999997,8.496935,0.0,32801790.98,0.0,0.0,0.0,0.0
19,850.2515231000001,7.588289393999999,0.0,15413506.24,9834295.575,6888782.932,0.0,16816804.11
20,163.0390636,2.357292857,0.0,32196128.77,32786961.13,31950170.45,33610694.83,33041363.32
21,854.2305139,7.621252173999999,14058514.5,25596767.82,15726846.29,8352391.938999999,0.0,26560841.59
22,554.1765015,6.178636667,0.0,14112128.32,13564035.57,5187908.903,0.0,0.0
23,181.01482980000003,8.423690741,0.0,6454643.307999999,5951090.352000001,5299324.538,0.0,0.0
24,223.98855079999998,8.422027778,0.0,17744636.29,18055276.97,20753518.66,0.0,0.0
25,255.94450759999998,8.426879167000001,0.0,5309902.963,4916756.58,4169349.07,0.0,0.0
26,485.39924620000005,7.224153332999999,0.0,21447687.11,0.0,0.0,0.0,0.0
27,924.2696935,7.871684847999999,7276094.946,12326058.79,8415113.265,5142566.367,0.0,0.0
28,287.888773,8.555329167,0.0,45704342.6,46650369.41,43596229.92,0.0,0.0
29,610.1848332000001,7.934767948999999,53188187.28,12105885.17,32109659.46,14353784.99,0.0,0.0
30,536.16606,7.624654545,27397165.0,12292625.52,20452547.33,12909973.07,0.0,73479628.58
31,328.91540269999996,8.517236111,0.0,28417369.08,26682003.34,28185939.75,0.0,0.0
32,332.9167252,8.426504167000001,0.0,4733674.66,4377405.977,4063865.145,0.0,0.0
33,207.0179554,8.428713636,0.0,4775559.694,4175471.562,5199511.4,0.0,0.0
34,926.2692870999999,7.8748649120000005,6193908.596,11324160.57,6809941.447000001,4156282.938,0.0,0.0
35,296.9708165,8.42812381,0.0,3299979.606,3055296.288,2514569.0209999997,0.0,0.0
36,247.1668633,8.416564815,0.0,3479856.508,3254065.92,2459358.273,0.0,0.0
37,145.1338255,8.415253704,0.0,4151271.005,4149593.808,2841750.318,0.0,0.0
38,762.1804657,7.2981777779999994,0.0,5223893.013,1500805.2769999998,969474.9026,0.0,0.0
39,656.2266032000001,6.661416667,0.0,8288997.501,4385458.569,3312601.4560000002,0.0,0.0
40,154.99031069999998,8.517102778,0.0,24642060.97,22676129.33,24830622.84,0.0,0.0
41,331.0023397,3.492316667,0.0,16134221.52,16604934.17,16248361.1,0.0,0.0
42,194.1176885,0.268222222,0.0,5909799.305,5657107.683999999,6426947.417,0.0,0.0
43,146.980427,8.494194927999999,0.0,15654853.49,0.0,11768195.72,0.0,0.0
44,702.2142918999999,7.4731430560000005,0.0,8387002.94,5420146.207,3500847.633,5871973.539,0.0
45,299.9126587,8.516897222,0.0,18244588.9,17516766.69,17581059.59,0.0,0.0
46,143.9592056,8.425794444,0.0,4736233.85,5223556.368,4617911.723,0.0,0.0
47,730.2454136,7.040128571,0.0,5984644.049,2846208.7569999998,2295016.148,0.0,0.0
48,912.1971523,7.2590357139999995,0.0,6242580.705,1102647.932,1203739.639,0.0,0.0
49,354.2852037,3.969894444,13284556.8,8088241.357999999,7602520.4120000005,17192658.88,0.0,0.0
50,786.2537028,7.760051852,19421403.01,11152753.97,0.0,0.0,0.0,0.0
51,199.9879214,8.523969444,0.0,19851734.55,0.0,0.0,0.0,0.0
52,684.2038025,8.343176667,0.0,8786381.116,22695674.68,9321237.266,0.0,0.0
53,302.3053807,3.825714286,5317414.944,7025590.122,7107535.869,4566271.754,0.0,0.0
54,138.9953918,8.487444444,0.0,12369129.06,11819649.04,12622083.7,0.0,0.0
55,582.2072245,6.171366667000001,0.0,6400628.36,280732.364,2560007.346,0.0,0.0
56,404.81644950000003,8.531011111,0.0,15859908.06,15049829.64,15907051.73,0.0,0.0
57,612.1834217,7.930425757999999,22923050.09,5062301.992,13742645.78,6116905.525,0.0,0.0
58,799.2485221,7.764036905,13422652.76,8588268.635,0.0,0.0,0.0,0.0
59,832.2411019,7.601052381000001,0.0,15188101.94,0.0,0.0,0.0,8331194.345
60,372.06641129999997,3.492316667,0.0,10891935.62,11882840.4,11136152.51,0.0,0.0
61,386.2908829,4.601595,0.0,6653937.356000001,1281998.219,0.0,0.0,0.0
62,998.2895812999999,8.255614583,0.0,7138440.478999999,4398637.548,3091649.097,0.0,0.0
63,172.97715380000002,0.280654167,0.0,11309586.3,11829222.48,16201181.8,0.0,0.0
64,230.2479477,3.2812541669999997,0.0,5375499.826,5345432.326,5355346.131,0.0,0.0
65,218.21160509999999,1.89345,6042786.225,6413918.396000001,6190194.365,5580950.63,0.0,0.0
66,290.26914469999997,3.313333333,0.0,4775410.688,4861779.623,4394332.38,0.0,0.0
67,194.1180385,3.392915152,0.0,8675402.318,0.0,0.0,0.0,0.0
68,282.9103241,8.467722222,0.0,5101400.941000001,5372028.497,5176228.893999999,0.0,0.0
69,251.1618624,2.0145854169999997,4511161.036,4740652.28,4737038.172,3812039.6939999997,0.0,0.0
70,195.9936707,8.447553333,0.0,7589282.641,6804345.226,7888915.465,0.0,0.0
71,686.2192505,7.648142222000001,2116455.446,3729622.2010000004,3018208.752,983038.0622,0.0,4410323.877
72,984.2378235,8.345781481,0.0,9449339.691,5200141.364,2647074.637,0.0,0.0
73,235.1669693,2.934086667,0.0,5012519.541,4821580.797,5330465.721,0.0,0.0
74,177.1638927,2.934075,0.0,6053678.347,4735282.702,5945799.341,0.0,0.0
75,180.98994059999998,8.503925,0.0,11100178.91,11109427.48,10957171.7,0.0,0.0
76,201.00833,0.512805556,0.0,7138842.416,7037526.489,10346539.9,0.0,0.0
77,880.2629111,7.624622619,2892199.387,6151597.161,4332149.2530000005,1885786.865,0.0,6695957.779
78,369.2639347,4.602238889,0.0,4564536.664,833908.9709999999,0.0,0.0,0.0
79,527.4090068,7.228538889,0.0,5310719.567,0.0,0.0,0.0,0.0
80,504.3605041999999,6.902320832999999,0.0,5249174.287,4903164.17,4829939.714,0.0,0.0
81,686.2023349,8.331135185,0.0,4626802.838,11580525.84,4726465.326,0.0,0.0
82,633.1495583,6.6665348479999995,0.0,2959981.353,1490074.509,752632.9288,0.0,0.0
83,906.2595045,8.120112963,0.0,10927575.9,7698806.467,0.0,0.0,0.0
84,684.2036743,6.960566667,0.0,3400381.284,0.0,0.0,0.0,0.0
85,195.17447280000002,2.935095833,0.0,5066158.933,3712841.168,5010087.278,0.0,0.0
86,485.1128159,5.578111111,0.0,3670423.0089999996,1889563.4630000002,1489445.491,0.0,0.0
87,267.1719319,4.392906061000001,4650063.823,4998144.634,5352643.317,5071310.321,0.0,0.0
88,348.9903641,3.500604167,0.0,6483422.592999999,7239361.72,6130226.028,0.0,0.0
89,545.4201253,7.2328444439999995,0.0,5109840.129,0.0,0.0,0.0,0.0
90,183.0781996,1.8545833330000001,6383523.136,6706401.376,6702133.384,6740991.88,0.0,0.0
91,124.08731270000001,8.414758333,0.0,3280715.79,5152046.0,3240340.272,0.0,0.0
92,612.2013114,7.372914286,0.0,2332575.56,1288437.672,543335.2318,0.0,0.0
93,350.987606,3.4901375,0.0,6364656.438999999,6666287.533,5800545.756,0.0,0.0
94,559.131897,6.177808333,0.0,3299393.222,0.0,1120354.551,0.0,0.0
95,195.0652878,2.3565866669999997,0.0,6328617.022999999,6718356.642000001,6916737.159,0.0,6096326.687000001
96,303.8834473,8.946093333,0.0,4160584.0130000003,0.0,0.0,0.0,0.0
97,1072.309774,7.560098148,10201053.21,4754403.859,4809080.735,0.0,0.0,3104272.1939999997
98,158.1543274,8.373081667000001,0.0,4184027.776,4587641.454,4141107.33,0.0,0.0
99,363.7895861,8.572811404,0.0,9792512.776,9410077.765,9173951.742999999,0.0,0.0
100,649.124644,6.661383333,0.0,2308478.742,1054436.36,605840.9236,0.0,0.0
101,158.15415190000002,2.970923333,0.0,6296531.205,0.0,0.0,0.0,0.0
102,371.1012543,6.179663333,0.0,2597446.873,2334730.603,857026.9072,0.0,0.0
103,307.188238,3.9706878789999998,8109771.717999999,9449425.069,9805486.32,5554478.909,0.0,0.0
104,1074.308365,7.55828125,0.0,4790522.956,0.0,0.0,0.0,3240485.61
105,882.2607747000002,7.6234466670000005,2242146.105,4274873.777,2898780.8839999996,1353757.4330000002,0.0,4673216.01
106,612.1637329,7.217816667,0.0,2344570.461,1635289.2719999999,819426.4027,0.0,0.0
107,228.19598309999998,3.026991667,0.0,5878530.653,5537213.017999999,12525942.11,0.0,0.0
108,668.6194763,6.62257619,0.0,2526596.213,2634471.809,2376414.095,0.0,0.0
109,207.15917969999998,1.591085606,6145555.37,6233003.407000001,6495076.617000001,6092581.078,0.0,0.0
110,613.183342,7.9346361110000005,9173606.765,2035728.1709999999,5530419.476,2500101.3140000002,0.0,0.0
111,881.7554626,7.216133332999999,0.0,3629750.398,0.0,0.0,0.0,0.0
112,680.4809113,8.060728333,4370660.297,4337794.261,4338777.791999999,4089231.273,0.0,0.0
113,399.250853,4.71497,4194535.89,3169509.88,3112971.04,4812495.211,0.0,0.0
114,879.7414551,7.216133332999999,0.0,3622870.8460000004,0.0,0.0,0.0,0.0
115,251.1853625,1.5842972219999998,4770628.291999999,4843477.201,5043577.5819999995,4718280.287,0.0,0.0
116,251.0003815,3.492316667,0.0,4588760.645,4615281.914,4048526.042,0.0,0.0
117,250.17777,3.022227778,0.0,5179720.523,5144784.83,10028461.43,0.0,0.0
118,302.2328938,3.966634524,6756464.25,7563710.664,8411224.396,5414834.472,0.0,0.0
119,270.2793172,5.819294444,0.0,3708989.376,3348531.367,7426563.749,0.0,0.0
120,772.2381125,7.7552156860000006,4500586.586,3066538.545,0.0,0.0,0.0,0.0
121,663.4540086000001,8.057231061,3796638.7810000004,3840974.0530000003,3880603.369,3321253.0810000002,0.0,0.0
122,272.2587077,3.362566667,0.0,2341517.6380000003,2105522.85,2223063.98,0.0,0.0
123,723.1432342999999,7.041488889,0.0,1643477.688,728848.7563,457157.6088,0.0,0.0
124,402.3577147,4.572723958,2314014.4359999998,2525338.026,2870853.7989999996,2289333.671,0.0,0.0
125,707.1653595,7.039791667,0.0,1443818.78,611617.726,425939.4698,0.0,0.0
126,984.2332038999999,7.524052083,0.0,5834444.41,0.0,0.0,0.0,0.0
127,144.98231090000002,6.971121212000001,0.0,2368682.03,0.0,0.0,0.0,0.0
128,327.0781479,4.3513645830000005,3341271.603,3323237.856,3355720.7939999998,2866627.315,0.0,0.0
129,804.264712,7.338627777999999,0.0,2008849.783,2023333.3059999999,1269653.33,2330030.004,3070720.986
130,538.1448212,6.8735875,0.0,1945177.731,1292485.1909999999,527308.1912,0.0,0.0
