row ID,row m/z,row retention time,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
1,593.1217485,7.476393939,91641655.33,94438330.58,142002975.5,0,0,0
2,197.8070984,8.455138889,31560378.14,34660923.34,36290939.49,0,0,0
3,174.9549516,8.428297222,48312328.08,46290440.37,60157455.93,52447520.82,0,55929344.18
4,195.8101705,8.455138889,25542073.03,28075800.93,29621181.79,0,0,0
5,397.1864929,3.527283333,83400694.48,0,0,0,0,0
6,683.1721976,7.47685,43976698.35,47181128.21,70086845.76,0,0,0
7,743.13915,7.626116667,60456725.89,45587719.61,85043217.31,0,0,0
8,199.8041153,8.455138889,14886236.19,16603504.42,17655864.78,0,0,0
9,595.120185,7.475188889,38451831.22,39983089.46,59578805.42,0,0,0
10,235.9255142,8.536766667,105347327,105777568.7,116689068,0,0,0
11,729.1777954,7.446916667,37216014.67,0,54564811.92,0,0,0
12,144.9222031,8.4144,49275049.3,50931285.62,30794555.51,42719317.72,0,0
13,205.8390249,8.457427778,13264041.51,15531663.54,15587825.62,0,0,0
14,743.1393433,7.299744444,23354531.89,36467344.11,28956869.25,0,0,0
15,207.9304504,8.555575,78472386.85,76939752.17,76718170.42,0,0,0
16,207.8360367,8.457427778,12575546.75,14624751.63,14738786.97,0,0,0
17,190.9274996,8.549309259,79384329.01,75943451.13,79088634.73,0,0,0
18,312.8361015,8.414260417,12129917.69,13770895,11086439.62,13362272.19,0,0
19,231.9310997,8.426743333,30183717.7,30066740.2,31007834.44,27563440.16,0,30410217
20,507.1212921,6.166883333,14526374.58,0,121596812.8,0,0,0
21,307.855835,8.551703333,48113302.14,47907694.41,52906926.85,0,0,0
22,146.9374041,8.547016667,53877961.76,53848560.3,54302566.03,0,0,0
23,322.8866577,8.429488889,5546418.091,5464455.331,5026708.752,4713584.098,0,0
24,174.9550079,0.093116667,33418905.81,0,0,0,0,0
25,304.913854,8.429544444,4779400.213,4736984.324,4162834.33,4089846.386,0,0
26,200.8580924,8.407361111,10849985.88,13150568.48,12689417.27,11747838.41,0,0
27,215.8679256,8.4747125,9051693.748,10710782.86,11370965.33,0,0,0
28,336.8586311,8.557604167,37473394.72,33102705.55,35163601.37,0,0,0
29,194.0814601,3.703842857,13954586.78,14299256.72,11830474.09,0,0,0
30,225.8967743,8.479108333,15192954.91,16376615.3,16433343.3,0,0,0
31,387.1578522,3.519483333,15404837.07,0,0,0,0,0
32,134.8640308,8.486683333,8091613.729,8444804.081,8114565.425,0,0,0
33,134.8933163,8.4189125,8787823.45,5661646.661,0,0,0,0
34,132.8664907,8.486366667,8291207.497,8301382.162,8058481.135,0,0,0
35,369.1917725,2.800333333,17134526.16,0,0,0,0,0
36,178.9766439,8.532994444,24410492.07,24564643.16,29199587.04,0,0,0
37,507.1216456,6.163511111,14526374.58,11382145.22,0,0,0,0
38,242.9429817,8.422458333,4168086.056,4074778.156,4313127.632,3820793.441,0,0
39,461.1158791,6.166233333,6521008.191,4526343.716,49357644.78,0,0,0
40,789.1442627,7.42732,5432813.939,10098912.25,6878906.112,0,0,0
41,414.1767273,3.527283333,17223268.11,0,0,0,0,0
42,209.8330205,8.457427778,4038554.447,4751973.45,4815356.818,0,0,0
43,192.9279424,8.425698485,4800151.233,4594236.654,4737537.914,4804602.72,0,4312828.164
44,180.9723511,8.530438889,18181399.9,18474036.66,18788723.18,0,0,0
45,833.1898102,7.630336667,9349205.508,6684408.735,13099057.25,0,0,0
46,789.1445719,7.623627778,6813728.029,0,7875055.171,0,0,0
47,299.9189575,8.419966667,3807884.002,3435357.286,3289658.228,3327480.416,0,0
48,235.9255707,0.051876667,17179532.3,0,16306796.72,0,0,0
49,206.9720417,8.515122222,15933704.64,16256157.33,15815449.03,0,0,0
50,145.9295872,8.548383333,16406919.62,17994698.71,17197762.86,0,0,0
51,187.9408592,8.426623333,8125076.061,7749184.648,8040894.663,6995345.406,0,8017046.976
52,125.8717537,8.462995833,4266223.801,5170488.617,5157610.451,5015742.464,0,0
53,187.9278158,8.504361111,14556180.66,17042775.67,16499260.88,0,0,0
54,187.0966326,1.751961111,7780260.933,7283707.085,7034971.867,0,0,0
55,207.9304199,0.048777778,14040192.66,0,13302580.47,0,0,0
56,222.8293381,8.463191667,1989088.261,2385649.24,0,0,0,0
57,190.9274902,0.027633333,12110333.52,9460212.297,0,0,0,0
58,132.9221172,8.424841667,2049602.059,2048967.457,2195321.549,2161176.049,0,0
59,182.9018784,8.499183333,5323029.455,5760751.708,6124598.051,0,0,0
60,369.1917419,3.527283333,5158639.717,0,0,0,0,0
61,173.9250641,8.437316667,3757453.054,3611951.727,3701425.692,0,0,0
62,243.1597137,3.161383333,4901534.141,4681616.962,4150862.488,0,0,0
63,352.8534058,8.546526667,11026854.42,10906005.22,10834724.12,0,0,0
64,228.8532117,8.404502778,2772223.339,3352382.982,3201981.899,3088278.069,0,3602843.952
65,320.8862943,8.528001515,10672961.85,11068888.61,11680119.18,9754348.444,0,0
66,453.7862366,8.54709,9936328,9545716.504,10158872.92,0,0,0
67,182.9878239,8.360001754,9660774.42,0,0,8003088.483,0,0
68,248.9599121,0.232016667,1680118.904,2553849.157,1502714.314,2822250.055,0,1527446.332
69,239.9024378,8.597083333,9814719.021,0,10372402.78,0,0,0
70,316.9477081,0.2315125,1245348.555,1853637.789,1118111.029,2424957.631,0,1105467.104
71,143.9379565,8.508477778,8204516.173,9632756.416,8807667.115,0,0,0
72,146.9374784,0.056511111,7540684.551,0,0,0,0,0
73,239.9024099,8.89445,7261337.005,6795429.362,7504447.081,0,0,0
74,355.1583388,6.270535185,3460828.31,2754197.245,8173966.466,0,0,0
75,413.1816254,2.738433333,2628795.821,0,0,0,0,0
76,199.8501778,8.405364583,2782096.573,2874664.102,2900943.766,2706695.44,0,0
77,369.1916809,2.04125,3114641.03,0,0,0,0,0
78,184.9288925,7.538116667,3468910.656,0,0,0,0,4826511.788
79,965.1955261,8.346666667,3275001.34,2201276.221,5145364.078,4910680.781,0,0
80,567.0880814,7.631238889,2884255.417,2241865.082,3915002.46,0,0,0
81,394.8904088,0.231216667,1040356.271,1062671.148,0,1676781.345,0,723763.424
82,222.8402557,8.412825,1352970.769,1402110.067,0,996991.6045,0,0
83,328.8100739,8.413722222,2796214.691,3060784.691,0,1427369.556,0,0
84,326.9031808,0.234559524,1512013.444,1480962.231,0,1834936.393,0,981515.2639
85,893.1560567,7.259977778,2677696.198,5443064.34,4084721.731,0,0,0
86,430.1717224,2.738433333,2220614.741,0,0,0,0,0
87,383.1894226,6.777505556,2662829.458,2797570.019,2968086.845,0,0,0
88,293.1766785,3.418448333,3520210.496,0,0,0,0,0
89,355.1757424,3.194086364,2001599.254,0,0,0,0,0
90,146.9648032,0.277357292,1806755.72,1870238.957,2042102.026,0,0,1652073.264
91,239.0589161,7.588808333,2663090.812,0,0,0,0,0
92,384.9350281,0.231585417,559251.0744,928728.9239,475606.2096,1198268.816,0,442464.6843
93,142.927809,8.416722222,2419293.832,2429605.71,1513087.295,2045350.203,0,0
94,743.1395193,8.074503846,2032641.731,1604778.049,2874533.204,3080594.769,0,0
95,239.9024527,0.069114286,3876803.556,0,3666570.433,4998780.809,0,3829984.057
96,173.9253292,3.483141667,3577987.913,0,0,0,0,0
97,291.160436,3.558988889,2555142.801,0,0,0,0,0
98,265.147998,3.527396667,4126176.891,0,0,592847.4187,0,0
99,160.9171467,8.405902083,1993864.031,1800146.885,1586460.41,1662958.175,0,0
100,258.9158159,8.649665152,4563719.572,0,0,0,0,0
101,244.8481572,8.40475,1181964.74,1466177.222,1366579.404,1265433.72,0,0
102,195.0291245,2.348153333,2450316.768,1156714.913,942595.3101,0,0,0
103,378.9180405,0.231493333,806518.0965,1109234.992,0,1010060.401,0,1130952.579
104,173.0808678,1.3611,2929678.52,3424713.618,2756660.005,0,0,0
105,171.9461835,3.527708333,3324865.026,0,0,0,0,0
106,178.9766647,0.050956667,3222432.281,2929165.593,0,0,0,0
107,194.9053345,3.602986667,3001151.666,0,0,836445.6027,0,0
108,285.9083862,8.893295833,3564573.96,3711310.221,3620918.381,0,0,0
109,667.1411438,7.742783333,1028558.625,761091.5101,1662684.86,0,0,0
110,198.8635883,8.40745,1082487.48,1304901.257,1306218.937,1176849.833,0,0
111,1011.201602,8.296255833,1636028.724,909546.0358,2116533.715,2194722.708,0,1445120.488
112,671.0996323,7.209191667,962072.8862,0,1480121.532,0,0,0
113,184.8628807,8.405647222,829783.4554,951024.9136,991800.7423,918458.4251,0,0
114,151.0389873,0.10982619,2915998.253,0,0,6580351.165,0,0
115,320.8861847,0.038741667,2966451.352,0,2289834.775,0,0,0
116,186.1125463,1.260161111,1078648.038,1502257.027,724778.1218,0,0,0
117,521.0812352,7.468947222,1897552.147,1897308.976,3096238.539,0,0,0
118,218.8087374,0.258530556,756642.3952,0,409613.5553,0,0,2015350.962
119,228.993782,8.333886111,2584467.844,0,0,0,0,0
120,239.0590958,8.3677,1848944.65,0,0,0,0,0
121,134.8640459,0.261994444,1669528.162,0,1404425.088,0,0,2384599.834
122,132.866518,0.258795833,1641685.599,1404790.115,0,0,0,2326193.603
