row ID,row m/z,row retention time,NEG_Cas11.mzXML Peak area,NEG_Cas13.mzXML Peak area,NEG_Cas24.mzXML Peak area,NEG_Cas3.mzXML Peak area,NEG_Cas4.mzXML Peak area,NEG_Cas5.mzXML Peak area,NEG_Cas6.mzXML Peak area,NEG_Extrait2hexane.mzXML Peak area,NEG_YSBlanc_MSMS.mzXML Peak area,NEG_YSC4-512CCP6P_MSMS.mzXML Peak area,NEG_YSC410MCP6P_MSMS.mzXML Peak area,NEG_YSC511MCP6P_MSMS.mzXML Peak area,
1,679.3697509765625,20.978166666666667,6.878662802275304E9,8114211.55874997,0,0,0,0,0,4.481086744262487E8,0,1.128504786321878E8,0,3.9382950178950105E9,
2,385.18616158621654,20.977095238095238,6.343660341873755E9,1.461901525943749E8,0,0,0,3377175.3203125237,9142433.435625026,1.2191645574660923E9,0,2.248275755431259E8,0,2.1958711413549995E9,
3,229.1076017998159,16.44924545454545,4.974329467706017E9,6.604451149200007E8,5.405612124499996E7,2.0806160227421932E7,3.1249861934855483E7,9.20123709603747E7,4.5099158464249945E8,1.881164309650627E8,3.427716698946857E7,8.816255873235977E9,0,4.171754195928057E10,
4,241.07126808166504,9.202764583333332,5.256863074015009E9,6.754729949189489E9,4.1569259619656175E7,0,0,0,1.1880826761140618E7,8.40965624640314E7,0,1.2250840576372E10,7.175223035060486E9,6730010.953984412,
5,257.0663079155816,11.0572,3.169703379927499E9,4.374059617491999E9,1.2110055743453115E7,0,6620443.958500002,4080230.013734353,2.962861110231249E7,9.300451392384382E7,0,8.392002550143429E8,4.0677020957454357E9,0,
6,229.10765252726802,17.680261904761906,2.0396015561950011E9,2.8446949974125046E8,0,0,0,1.112429533125003E7,8.265644593937473E7,1.7459032309531227E7,0,7.065099388075019E8,0,2.576853547352493E9,
7,277.10781669749616,10.040085416666667,3.501298019781749E9,8.952153379278117E7,0,0,5167190.879335934,2.337193223928128E7,5.417529757190629E7,2.5653982862640645E7,0,2.1018302090459362E8,0,8.716547342678127E8,
8,327.21729552658866,18.95140909090909,1.8974557759150054E9,6.225052812476574E7,0,7.040177887403109E8,2.6467449078484374E8,1.7335866714749992E9,2.350929886364381E9,1.844243566747264E9,5.895183728468745E7,8.573397900031242E7,1.0510725620937462E8,8.20707179771876E7,
9,185.11735992431642,16.966901666666665,1.0011110797169414E9,3.1856335030218624E7,0,2.625544774296872E7,3569434.7559687477,2.0995468997387474E9,1.2935764388454369E10,1.0898039832656267E9,0,3.290681676909997E9,5639832.593218771,1.06591473231825E10,
10,459.23947251263786,19.62688888888889,3.279515051969995E9,3.2702447354687374E7,0,0,0,0,1044390.859062528,3.5596801526312506E8,0,4.193604183796876E7,0,2.5872167219718704E8,
11,419.208203125,16.65063333333333,2.4484473757883406E9,4.4509832208624765E7,0,0,0,0,0,3.4428562479312405E7,0,9428772.255125022,0,9.204341172368789E7,
12,183.0289183777648,20.983761904761906,1.9880398648928123E9,4.485317021406241E7,0,0,0,2797291.316328153,3249416.450937531,4.421675323237493E8,0,2.6390250100750113E8,0,2.443311817733437E9,
13,269.0664519495465,13.048590909090906,1.4594131260970314E9,1.1638414103300014E8,2328167.4986718534,5282025.154156227,1.1459889196218763E7,4.163559444528134E7,8.384794741578129E7,1.9794013256071832E9,0,5.757110570635464E8,1.7559727522489076E9,1.7414522671320282E7,
14,265.14432898988116,11.464753333333332,1.4637807521374376E9,7706052.230375032,0,0,0,0,0,5706404.952281252,0,5.235686299630856E7,0,2.839881902222812E8,
15,203.12809371948242,14.220722916666666,9.377469398387516E8,3.52425977138281E7,463844.0365156229,0,0,7227690.180093727,6588989.089156245,3.132081165224998E7,0,1.0177128137364991E9,0,2.7789656164560018E9,
16,445.22181978412704,22.793277777777778,8.148054963909379E8,7979271.267500012,0,0,0,7710624.826874965,9.139561680093749E7,7.074029921250036E7,0,0,0,4.335474541062467E7,
17,271.0279616278571,21.969208333333338,6.87703969836562E8,5289447.273906243,0,0,0,0,3431106.393769508,3249246.5269140387,0,0,0,0,
18,335.2226257324219,15.921295833333334,6.573691054711899E8,2.296848898706255E7,0,0,0,0,0,3.96536132912187E7,0,1.191380405018156E9,0,0,
19,190.05016326904297,11.179837500000001,8.27192537090062E8,0,0,0,0,0,0,0,8807702.35450001,3.30828663685937E7,0,9.398635031054682E7,
20,311.2223786605923,20.92321666666667,3.3771545304499894E8,1.721998269812497E7,0,3.476743321539052E7,1.2699864613046513E9,7.558194638745145E9,5.935302443019752E9,8.53147421466876E8,0,9.460432472968735E7,4.7407079733000135E8,1.1060451675414038E8,
21,275.18629455566406,19.809770833333328,6.878168677640638E8,2.4715577174218684E7,1.4187817819999957E7,0,0,1727242.859374925,1.273709361765621E7,1.9582903068749975E7,0,1.737225916553124E8,0,2.8494853473350005E9,
