row ID,row m/z,row retention time,POS_Cas11.mzXML Peak area,POS_Cas13.mzXML Peak area,POS_Cas24.mzXML Peak area,POS_Cas3.mzXML Peak area,POS_Cas4.mzXML Peak area,POS_Cas5.mzXML Peak area,POS_Cas6.mzXML Peak area,POS_Extrait2hexane.mzXML Peak area,POS_YSBlanc_MSMS.mzXML Peak area,POS_YSC4-512CCP6P_MSMS.mzXML Peak area,POS_YSC410MCP6P_MSMS.mzXML Peak area,POS_YSC511MCP6P_MSMS.mzXML Peak area,
1,282.2784881591797,30.96206944444445,1.936754169882993E10,1.8895731684740013E10,2.624709822220001E10,1.5252450244487494E10,1.1698161180803747E10,1.257853604488001E10,1.6456466820182522E10,1.3571282792000008E10,3.7010800989399767E9,8.699023562583498E10,5.884381379535994E10,3.980174500208009E10,
2,209.08050723110756,11.095974074074073,3.2941270831696865E10,3.789363783360004E8,0,0,0,2.7268114175000027E7,6.761946198831248E7,6.399753230780624E8,3.5544424203681145E9,6.127075967541779E10,1.0479741283287492E8,8.408004614618747E7,
3,227.09093133453928,11.193212500000001,2.528840929769124E10,2.723319740529375E8,0,0,0,1.068850170115617E7,4.045753123475002E7,4.225989528318749E8,1.0642703546555808E9,1.9362646758178497E10,3.1186812251937523E7,0,
4,290.2682800292969,20.413106060606058,2.871349876196876E9,1.4040686216818767E9,4.2576647202250004E8,3.483095899972497E9,3.9191685326156178E9,2.831943924208128E9,2.8530838644968734E9,0,5.37864608843747E8,1.857292513636623E10,1.0450152501129381E10,2.021433498964192E10,
5,280.2628974914551,28.31522222222222,3.0364919509299974E9,3.3327147157037597E9,4323857.007499963,2.8242301195356264E9,2.860629234268752E9,3.0299290587674975E9,2.8084685928675017E9,3.38887065695251E9,6497620.436249965,8.615506194700015E8,8.057045422495019E9,3.8600668151799755E9,
6,230.24735895792642,20.276208333333336,2.441257520717499E9,2.7613874754259353E9,4.023864722350012E8,2.43674590548781E9,2.1387708013978105E9,2.594489570875002E9,2.434678475791872E9,1.6499416080312448E7,8.759958204087491E8,1.1466048780436216E10,6.507509314918095E9,9.356200570847483E9,
7,256.2628428141276,30.695180555555556,2.933056751858753E9,2.3643400422025023E9,4.630414407910006E9,1.9550525950187452E9,1.8674538684375014E9,2.0966883322362466E9,2.378387579761251E9,3.94691022394751E9,5.487367175200007E8,4.254752694200018E10,1.4685355880720028E10,2.517696763647998E10,
8,254.24728647867838,28.230708333333336,2.4741031231921897E9,2.7545234619437504E9,5.435748609496879E9,2.370548985924997E9,2.4300932328306293E9,2.508052783257504E9,2.3288343180356226E9,2.0773813720649936E9,2.146114623062519E8,1.100750805461995E10,7.661880683381272E9,4.0935145606543746E9,
9,207.06483381228395,13.056933333333332,3.364838398976438E9,2.938850505904377E8,1.0003337478687511E8,1.4126346985499982E7,3.146522704631252E7,1.0026933867043747E8,2.2170755498256248E8,5.585153079247253E9,9.641302329955144E8,1.3835794284716629E10,3.651803788047928E10,1.0328383962237515E8,
10,143.0337197891789,11.159580555555555,5.207242508295244E9,6.653887621918741E7,0,0,0,0,1.7879792073421907E7,1.0713912433868751E8,0,8.1098207275062475E9,1.8637068658906274E7,0,
11,341.19505615234374,20.970000000000002,2.1059034663399973E9,5396922.937187425,0,0,0,0,0,1.1204643697312492E8,0,7.093755620093754E7,0,1.6925404021775026E9,
